Time quotient is: 0.49415598674253985| input type: 2| time:78 | latency: 21.742863416671753
Time quotient is: 0.5105333544991233| input type: 2| time:150 | latency: 22.463467597961426
Time quotient is: 0.7590396133336154| input type: 2| time:218 | latency: 33.39774298667908
Time quotient is: 0.545390475880016| input type: 2| time:276 | latency: 23.997180938720703
Time quotient is: 0.5059966553341259| input type: 2| time:333 | latency: 22.263852834701538
Time quotient is: 0.4928255623037165| input type: 2| time:389 | latency: 21.684324741363525
Time quotient is: 0.47741595723412256| input type: 2| time:444 | latency: 21.00630211830139
Time quotient is: 0.5169069929556414| input type: 2| time:501 | latency: 22.743907690048218
Time quotient is: 0.571834304115989| input type: 2| time:561 | latency: 25.160709381103516
Time quotient is: 0.5123765631155535| input type: 2| time:617 | latency: 22.54456877708435
Time quotient is: 0.5020924047990278| input type: 2| time:674 | latency: 22.092065811157227
Time quotient is: 0.46925628727132623| input type: 2| time:729 | latency: 20.647276639938354
Time quotient is: 0.507714336568659| input type: 2| time:786 | latency: 22.339430809020996
Time quotient is: 0.5483919707211581| input type: 2| time:844 | latency: 24.129246711730957
Time quotient is: 0.8800287788564508| input type: 2| time:917 | latency: 38.72126626968384
Time quotient is: 0.9772068099542097| input type: 2| time:999 | latency: 42.99709963798523
Time quotient is: 0.7858766696669839| input type: 2| time:1068 | latency: 34.57857346534729
Time quotient is: 0.5497249310666864| input type: 2| time:1127 | latency: 24.187896966934204
Time quotient is: 0.5113635659217834| input type: 2| time:1183 | latency: 22.49999690055847
Time quotient is: 0.8157335194674405| input type: 2| time:1254 | latency: 35.89227485656738
Time quotient is: 0.8645874207670038| input type: 2| time:1326 | latency: 38.04184651374817
Time quotient is: 0.8387125676328485| input type: 2| time:1397 | latency: 36.90335297584534
Time quotient is: 0.8363682248375632| input type: 2| time:1468 | latency: 36.80020189285278
Time quotient is: 0.5204618031328375| input type: 2| time:1526 | latency: 22.90031933784485
Time quotient is: 0.5351325436071916| input type: 2| time:1584 | latency: 23.54583191871643
Time quotient is: 0.8351022601127625| input type: 2| time:1654 | latency: 36.74449944496155
Time quotient is: 0.8380803032354875| input type: 2| time:1726 | latency: 36.87553334236145
Time quotient is: 0.5205049081282183| input type: 2| time:1783 | latency: 22.9022159576416
