Reward is: 8.119829838926142| input type: 2| time:8237
Reward is: 8.06458776105534| input type: 2| time:8309
Reward is: 8.262780834328044| input type: 2| time:8384
Reward is: 8.100622540170496| input type: 2| time:8456
Reward is: 8.151333196596665| input type: 2| time:8530
Reward is: 8.083140194416046| input type: 2| time:8602
Reward is: 8.149271341887388| input type: 2| time:8675
Reward is: 8.052184755151922| input type: 2| time:8746
Reward is: 6.616724103147334| input type: 2| time:8821
Reward is: 5.9127382194841065| input type: 2| time:8895
Reward is: 5.4961602994889915| input type: 2| time:8968
Reward is: -2| input type: 2| time:8984
Reward is: -2| input type: 2| time:8988
Reward is: -2| input type: 2| time:8992
Reward is: 5.4757535981409475| input type: 2| time:9053
Reward is: 5.4467147353923675| input type: 2| time:9126
Reward is: 5.450499316056569| input type: 2| time:9199
Reward is: 5.44698267994505| input type: 2| time:9272
Reward is: -2| input type: 2| time:9303
Reward is: -2| input type: 2| time:9311
Reward is: 8.172357326204127| input type: 2| time:9372
Reward is: -5.08729727608817| input type: 2| time:9445
Reward is: -5.062821619851249| input type: 2| time:9516
Reward is: -5.078476061139788| input type: 2| time:9588
Reward is: -5.023021718433925| input type: 2| time:9658
Reward is: -5.044435780388969| input type: 2| time:9729
Reward is: -5.014851611001151| input type: 2| time:9799
Reward is: -5.04604537827628| input type: 2| time:9870
Reward is: -5.0403190272195| input type: 2| time:9941
Reward is: -5.042576367514474| input type: 2| time:10011
Reward is: -5.04281838280814| input type: 2| time:10082
Reward is: -5.100714520045689| input type: 2| time:10155
Reward is: -5.0710387025560655| input type: 2| time:10227
Reward is: -5.095659719194685| input type: 2| time:10300
Reward is: -5.045392540522984| input type: 2| time:10371
Reward is: -5.041323259898594| input type: 2| time:10442
Reward is: -5.032658781324114| input type: 2| time:10512
Reward is: -5.0381319659096855| input type: 2| time:10583
Reward is: -5.049782480512347| input type: 2| time:10654
Reward is: 7.974452740805489| input type: 2| time:10723
Reward is: 7.929012748173305| input type: 2| time:10792
Reward is: 7.902584028244019| input type: 2| time:10860
Reward is: 7.889941637856619| input type: 2| time:10928
Reward is: 7.771219791684832| input type: 2| time:10995
Reward is: -5.040151330402919| input type: 2| time:11066
Reward is: -5.058903735024589| input type: 2| time:11137
Reward is: -5.032594387871878| input type: 2| time:11208
Reward is: -5.081969104494368| input type: 2| time:11280
Reward is: -5.064733648300171| input type: 2| time:11352
Reward is: -5.046968037741525| input type: 2| time:11423
Reward is: -5.085450008937291| input type: 2| time:11495
Reward is: -5.070394713538033| input type: 2| time:11567
Reward is: -5.05071142741612| input type: 2| time:11638
Reward is: -5.043468727384295| input type: 2| time:11709
Reward is: -5.0466182368142265| input type: 2| time:11780
Reward is: -5.131650631768363| input type: 2| time:11854
Reward is: -5.071042258398873| input type: 2| time:11926
Reward is: -5.091927201407296| input type: 2| time:11998
Reward is: -5.0715980666024345| input type: 2| time:12070
Reward is: -5.060067244938441| input type: 2| time:12142
Reward is: -5.04433868271964| input type: 2| time:12213
Reward is: -5.042034503391811| input type: 2| time:12283
Reward is: -5.036491666521345| input type: 2| time:12354
Reward is: -5.051912900379726| input type: 2| time:12426
Reward is: -5.0424739973885675| input type: 2| time:12496
Reward is: -5.03584361076355| input type: 2| time:12567
Reward is: 7.396941123689924| input type: 2| time:12624
Reward is: 7.425709874289376| input type: 2| time:12680
Reward is: -5.048183121000017| input type: 2| time:12751
Reward is: -5.025555985314505| input type: 2| time:12822
Reward is: -5.037757737295968| input type: 2| time:12892
Reward is: -5.052013683319092| input type: 2| time:12963
Reward is: -5.031033897399903| input type: 2| time:13034
Reward is: -5.03209342275347| input type: 2| time:13104
Reward is: -5.020843614850725| input type: 2| time:13173
Reward is: -5.049504566192627| input type: 2| time:13244
Reward is: -5.041581664766584| input type: 2| time:13314
Reward is: -5.04834303855896| input type: 2| time:13385
Reward is: -5.038791227340698| input type: 2| time:13455
Reward is: -5.032326112474714| input type: 2| time:13525
Reward is: -5.085556295939854| input type: 2| time:13598
Reward is: -5.087360279900687| input type: 2| time:13670
Reward is: -5.0540160042899| input type: 2| time:13742
Reward is: -5.067765317644392| input type: 2| time:13813
Reward is: -5.04832911491394| input type: 2| time:13885
Reward is: -5.031505720955985| input type: 2| time:13955
Reward is: 6.931713608333043| input type: 2| time:14012
Reward is: 6.871468394143241| input type: 2| time:14068
Reward is: 6.895184026445661| input type: 2| time:14124
Reward is: 6.83818165915353| input type: 2| time:14180
Reward is: 6.821134723935808| input type: 2| time:14236
Reward is: 6.887595203944615| input type: 2| time:14292
Reward is: 7.068389477048601| input type: 2| time:14351
Reward is: 6.911217975616455| input type: 2| time:14407
Reward is: 6.934555748530796| input type: 2| time:14467
Reward is: -5.050290966033936| input type: 2| time:14538
Reward is: -5.047043766294207| input type: 2| time:14609
Reward is: -5.07849268913269| input type: 2| time:14681
Reward is: -5.082998282568795| input type: 2| time:14753
Reward is: -5.125056573322841| input type: 2| time:14827
Reward is: -5.0984576770237515| input type: 2| time:14900
Reward is: -5.103698369434902| input type: 2| time:14973
Reward is: -5.027460997445242| input type: 2| time:15043
Reward is: -5.013114016396659| input type: 2| time:15113
Reward is: 7.980009766987392| input type: 2| time:15182
Reward is: -5.0099394934518| input type: 2| time:15252
Reward is: -5.013312407902308| input type: 2| time:15321
Reward is: 7.805953918184553| input type: 2| time:15388
Reward is: 7.847401108060565| input type: 2| time:15456
Reward is: 7.983580139705113| input type: 2| time:15525
Reward is: 7.840925407409668| input type: 2| time:15593
Reward is: 7.8920912878853935| input type: 2| time:15661
Reward is: 7.807150295802526| input type: 2| time:15729
Reward is: 7.957986164093017| input type: 2| time:15798
Reward is: 7.863276188714163| input type: 2| time:15866
Reward is: 7.876244163513183| input type: 2| time:15934
Reward is: 7.930450432641166| input type: 2| time:16002
Reward is: 7.883766324179513| input type: 2| time:16071
Reward is: 7.058506175449916| input type: 2| time:16129
Reward is: 7.0714147022792275| input type: 2| time:16188
Reward is: 7.073404380253383| input type: 2| time:16246
Reward is: 7.049496793746949| input type: 2| time:16307
Reward is: 7.046389845439366| input type: 2| time:16365
Reward is: 7.026609897613525| input type: 2| time:16424
Reward is: 7.5370354652404785| input type: 2| time:16482
Reward is: 7.0344621998923165| input type: 2| time:16540
Reward is: 7.6671494756426135| input type: 2| time:16600
Reward is: 7.138080317633493| input type: 2| time:16660
Reward is: 7.220584024701799| input type: 2| time:16720
Reward is: 7.239070953641619| input type: 2| time:16780
Reward is: 7.209772729873658| input type: 2| time:16840
Reward is: 7.1258939947400775| input type: 2| time:16899
Reward is: 7.190840114865984| input type: 2| time:16959
Reward is: 6.601058346884591| input type: 2| time:17007
Reward is: 7.580676324026925| input type: 2| time:17065
Reward is: 7.525950738361903| input type: 2| time:17123
Reward is: 7.623212684903826| input type: 2| time:17182
Reward is: 7.5719384125300815| input type: 2| time:17241
Reward is: 7.56145954813276| input type: 2| time:17299
Reward is: 7.559399897711618| input type: 2| time:17358
Reward is: 7.5536808558872774| input type: 2| time:17416
Reward is: 7.1299883638109485| input type: 2| time:17476
Reward is: 7.466354547228132| input type: 2| time:17533
Reward is: 7.027561719076974| input type: 2| time:17591
Reward is: 7.607912322453091| input type: 2| time:17650
Reward is: -5.155296114512852| input type: 2| time:17725
Reward is: -5.151017829350063| input type: 2| time:17800
Reward is: -5.152829810551235| input type: 2| time:17874
Reward is: -5.1442536490304125| input type: 2| time:17949
Reward is: 7.116839245387486| input type: 2| time:18008
Reward is: 7.182272209439959| input type: 2| time:18067
Reward is: 7.034440578733172| input type: 2| time:18126
Reward is: 7.214640821729388| input type: 2| time:18188
Reward is: 7.714868538720268| input type: 2| time:18248
