Time quotient is: 2.094770304361979| input type: 3| time:88 |latency: 31.421554565429688
Time quotient is: 0.6154787540435791| input type: 3| time:152 |latency: 29.542980194091797
Time quotient is: 0.9775842130184174| input type: 3| time:234 |latency: 46.92404222488403
Time quotient is: 0.5845862279335657| input type: 3| time:297 |latency: 28.060138940811157
Time quotient is: 0.5858418395121893| input type: 3| time:360 |latency: 28.120408296585083
Time quotient is: 0.6223063816626867| input type: 3| time:425 |latency: 29.87070631980896
Time quotient is: 0.6014095395803452| input type: 3| time:493 |latency: 28.867657899856567
Time quotient is: 0.595538983742396| input type: 3| time:557 |latency: 28.58587121963501
Time quotient is: 0.6162601361672083| input type: 3| time:621 |latency: 29.580486536026
Time quotient is: 0.6425597767035166| input type: 3| time:687 |latency: 30.8428692817688
Time quotient is: 0.6129497140645981| input type: 3| time:751 |latency: 29.421586275100708
Time quotient is: 0.6233704388141632| input type: 3| time:816 |latency: 29.921781063079834
Time quotient is: 0.6619856009880701| input type: 3| time:883 |latency: 31.775308847427368
Time quotient is: 1.0517537196477253| input type: 3| time:969 |latency: 50.48417854309082
Time quotient is: 1.018216500679652| input type: 3| time:1052 |latency: 48.87439203262329
Time quotient is: 0.626017227768898| input type: 3| time:1122 |latency: 30.048826932907104
Time quotient is: 0.6277817487716675| input type: 3| time:1187 |latency: 30.13352394104004
Time quotient is: 0.6186748842398325| input type: 3| time:1251 |latency: 29.696394443511963
Time quotient is: 0.787511482834816| input type: 3| time:1324 |latency: 37.80055117607117
Time quotient is: 0.7792210380236307| input type: 3| time:1397 |latency: 37.40260982513428
Time quotient is: 0.5830311824878057| input type: 3| time:1460 |latency: 27.985496759414673
Time quotient is: 1.0039928207794826| input type: 3| time:1543 |latency: 48.19165539741516
Time quotient is: 1.0886231809854507| input type: 3| time:1631 |latency: 52.253912687301636
Time quotient is: 1.0149340530236561| input type: 3| time:1714 |latency: 48.7168345451355
Time quotient is: 0.6232230812311172| input type: 3| time:1779 |latency: 29.914707899093628
Time quotient is: 0.6210485398769379| input type: 3| time:1844 |latency: 29.810329914093018
Time quotient is: 0.9842703938484192| input type: 3| time:1927 |latency: 47.24497890472412
Time quotient is: 1.0424058139324188| input type: 3| time:2011 |latency: 50.0354790687561
Time quotient is: 0.9778348505496979| input type: 3| time:2093 |latency: 46.9360728263855
Time quotient is: 1.033913513024648| input type: 3| time:2178 |latency: 49.627848625183105
Time quotient is: 1.0401843686898549| input type: 3| time:2263 |latency: 49.92884969711304
Time quotient is: 1.042181099454562| input type: 3| time:2348 |latency: 50.02469277381897
Time quotient is: 1.0335729966561| input type: 3| time:2432 |latency: 49.6115038394928
Time quotient is: 1.0447715570529301| input type: 3| time:2517 |latency: 50.14903473854065
Time quotient is: 1.025466725230217| input type: 3| time:2604 |latency: 49.222402811050415
Time quotient is: 1.0981650004784267| input type: 3| time:2691 |latency: 52.71192002296448
Time quotient is: 1.036774640281995| input type: 3| time:2776 |latency: 49.76518273353577
Time quotient is: 0.6263110985358556| input type: 3| time:2841 |latency: 30.06293272972107
Time quotient is: 0.6348224927981695| input type: 3| time:2907 |latency: 30.471479654312134
Time quotient is: 0.6289833883444468| input type: 3| time:2972 |latency: 30.191202640533447
Time quotient is: 0.6196067482233047| input type: 3| time:3037 |latency: 29.741123914718628
Time quotient is: 0.6123540898164114| input type: 3| time:3102 |latency: 29.392996311187744
Time quotient is: 0.6251065383354822| input type: 3| time:3167 |latency: 30.00511384010315
Time quotient is: 0.6162799745798111| input type: 3| time:3231 |latency: 29.581438779830933
Time quotient is: 0.614225779970487| input type: 3| time:3300 |latency: 29.482837438583374
Time quotient is: 0.7113406409819921| input type: 3| time:3374 |latency: 34.14435076713562
Time quotient is: 0.709485704700152| input type: 3| time:3443 |latency: 34.0553138256073
Time quotient is: 0.6794065833091736| input type: 3| time:3510 |latency: 32.61151599884033
Time quotient is: 0.6817047496636709| input type: 3| time:3578 |latency: 32.7218279838562
Time quotient is: 0.688117985924085| input type: 3| time:3646 |latency: 33.02966332435608
