Time quotient is: 1.362352689107259| input type: 1| time:78
Time quotient is: 0.6357735308205209| input type: 3| time:140
Time quotient is: 0.6278543612536263| input type: 2| time:196
Time quotient is: 1.2564161618550618| input type: 1| time:255
Time quotient is: 0.6856184712162724| input type: 4| time:328
Time quotient is: 1.1883773663464714| input type: 2| time:385
Time quotient is: 0.6752249134911431| input type: 1| time:439
Time quotient is: 0.18700967192649842| input type: 4| time:512
Time quotient is: 0.16260651397705078| input type: 2| time:568
Time quotient is: 1.1908935070037843| input type: 1| time:621
Time quotient is: 1.3773710602208187| input type: 3| time:682
Time quotient is: 0.16473767323927446| input type: 1| time:736
Time quotient is: 0.17798731684684754| input type: 4| time:807
Time quotient is: 0.6590945720672607| input type: 4| time:878
Time quotient is: 1.4330630588531494| input type: 4| time:953
Time quotient is: 1.3293501577879254| input type: 3| time:1014
Time quotient is: 0.31546203101553566| input type: 3| time:1075
Time quotient is: 0.6476060858479252| input type: 4| time:1145
Time quotient is: 0.20293290406754874| input type: 2| time:1220
Time quotient is: 0.1758715499531139| input type: 1| time:1275
Time quotient is: 1.4330916500091553| input type: 4| time:1346
Time quotient is: 0.1711148652163419| input type: 1| time:1401
Time quotient is: 0.16290243755687367| input type: 1| time:1454
Time quotient is: 0.17715301513671874| input type: 2| time:1512
Time quotient is: 0.17125452613830566| input type: 2| time:1584
Time quotient is: 0.3179369874116851| input type: 3| time:1646
Time quotient is: 0.19266581892967224| input type: 4| time:1720
Time quotient is: 0.15426628228389855| input type: 3| time:1781
Time quotient is: 0.18200418829917908| input type: 4| time:1853
Time quotient is: 0.2967079722363016| input type: 2| time:1909
Time quotient is: 0.18077425479888917| input type: 4| time:1980
Time quotient is: 0.6365453150214219| input type: 3| time:2042
Time quotient is: 0.15892264626242897| input type: 1| time:2094
Time quotient is: 0.15353655670628402| input type: 3| time:2155
Time quotient is: 0.3538639241573857| input type: 4| time:2227
Time quotient is: 0.30170884339705756| input type: 2| time:2283
Time quotient is: 0.35056931598513735| input type: 4| time:2354
Time quotient is: 0.15411943811358828| input type: 3| time:2415
Time quotient is: 0.2030893691535135| input type: 2| time:2471
Time quotient is: 0.2961764715719914| input type: 2| time:2527
Time quotient is: 1.2243020394269157| input type: 2| time:2584
Time quotient is: 1.4547091960906982| input type: 4| time:2655
Time quotient is: 0.18398096680641174| input type: 4| time:2728
Time quotient is: 0.26350280216761995| input type: 4| time:2800
Time quotient is: 0.16147294333486845| input type: 3| time:2865
Time quotient is: 0.2602872065135411| input type: 4| time:2937
Time quotient is: 0.3160605837659138| input type: 3| time:2999
Time quotient is: 0.6808572786825674| input type: 1| time:3053
Time quotient is: 1.2068891684214273| input type: 1| time:3107
Time quotient is: 1.238979143254897| input type: 2| time:3164
Time quotient is: 0.34186565003743985| input type: 3| time:3255
Time quotient is: 0.3227632391280022| input type: 2| time:3313
Time quotient is: 1.3381916723753278| input type: 3| time:3373
Time quotient is: 1.2660646915435791| input type: 1| time:3428
Time quotient is: 0.20873210009406595| input type: 1| time:3481
Time quotient is: 0.6515914775707103| input type: 1| time:3534
Time quotient is: 0.16164568987759678| input type: 1| time:3587
Time quotient is: 0.1862368953227997| input type: 4| time:3660
Time quotient is: 0.6850295331743028| input type: 4| time:3732
Time quotient is: 0.18987234711647033| input type: 4| time:3806
Time quotient is: 0.32127046151594685| input type: 1| time:3859
Time quotient is: 0.1675087292989095| input type: 3| time:3922
Time quotient is: 1.1935418605804444| input type: 1| time:3975
Time quotient is: 0.1621875114440918| input type: 2| time:4031
Time quotient is: 1.1792561213175456| input type: 1| time:4084
Time quotient is: 0.16516652540727095| input type: 1| time:4138
Time quotient is: 0.29867025043653406| input type: 2| time:4194
Time quotient is: 0.15757677627332284| input type: 3| time:4255
Time quotient is: 0.6512347857157389| input type: 1| time:4308
Time quotient is: 0.16357269859313964| input type: 2| time:4364
Time quotient is: 0.18873783230781555| input type: 4| time:4437
Time quotient is: 0.18478163361549377| input type: 4| time:4510
