Time quotient is: 1.5081689993540446| input type: 2| time:87
Time quotient is: 0.167555233001709| input type: 2| time:142
Time quotient is: 1.2261287044076359| input type: 2| time:217
Time quotient is: 0.16656714820861818| input type: 2| time:272
Time quotient is: 0.2968004268148671| input type: 2| time:327
Time quotient is: 0.21182622261417722| input type: 2| time:383
Time quotient is: 0.21337407538034384| input type: 2| time:440
Time quotient is: 0.5796452900942635| input type: 2| time:494
Time quotient is: 1.1885853655198042| input type: 2| time:564
Time quotient is: 0.28814382138459577| input type: 2| time:618
Time quotient is: 0.6268250311122221| input type: 2| time:691
Time quotient is: 0.2979515531788702| input type: 2| time:746
Time quotient is: 0.19758338928222657| input type: 2| time:805
Time quotient is: 0.7733407230938182| input type: 2| time:881
Time quotient is: 0.7181874513626099| input type: 2| time:944
Time quotient is: 0.15709171867370605| input type: 2| time:1002
Time quotient is: 0.6511056914049036| input type: 2| time:1059
Time quotient is: 0.34588217389756354| input type: 2| time:1117
Time quotient is: 0.19794090843200685| input type: 2| time:1177
Time quotient is: 0.19424234008789062| input type: 2| time:1236
Time quotient is: 1.5255120501798742| input type: 2| time:1297
Time quotient is: 0.19938575172424317| input type: 2| time:1356
Time quotient is: 0.7586339712142944| input type: 2| time:1416
Time quotient is: 0.20461297798156738| input type: 2| time:1476
Time quotient is: 0.23804993999814525| input type: 2| time:1535
Time quotient is: 0.6897756282021018| input type: 2| time:1592
Time quotient is: 1.3713760936961454| input type: 2| time:1650
Time quotient is: 0.7075682808371151| input type: 2| time:1724
Time quotient is: 0.23577757715021522| input type: 2| time:1783
Time quotient is: 0.25424710755209323| input type: 2| time:1844
Time quotient is: 0.19155753135681153| input type: 2| time:1902
Time quotient is: 0.188250883102417| input type: 2| time:1960
Time quotient is: 0.18846835708618165| input type: 2| time:2018
Time quotient is: 1.4070109900306254| input type: 2| time:2076
Time quotient is: 0.6930047624251422| input type: 2| time:2134
Time quotient is: 0.18419528007507324| input type: 2| time:2192
Time quotient is: 1.4521628688363468| input type: 2| time:2252
Time quotient is: 0.351003823073014| input type: 2| time:2311
Time quotient is: 0.19476347160339355| input type: 2| time:2370
Time quotient is: 0.3343480151632558| input type: 2| time:2427
Time quotient is: 0.7653639316558838| input type: 2| time:2493
Time quotient is: 1.4907850237453686| input type: 2| time:2555
Time quotient is: 0.19972055625915527| input type: 2| time:2614
Time quotient is: 0.18007507705688477| input type: 2| time:2687
Time quotient is: 0.18548016929626465| input type: 2| time:2745
Time quotient is: 0.7287421997855691| input type: 2| time:2804
Time quotient is: 1.4847073975731344| input type: 2| time:2864
Time quotient is: 0.18908596229553223| input type: 2| time:2922
Time quotient is: 0.2311038554293438| input type: 2| time:2981
Time quotient is: 0.3536397581515105| input type: 2| time:3040
Time quotient is: 0.19149178504943848| input type: 2| time:3098
Time quotient is: 0.23626502509256012| input type: 2| time:3159
Time quotient is: 1.497932139564963| input type: 2| time:3219
Time quotient is: 0.20409580993652343| input type: 2| time:3279
Time quotient is: 0.23078489535063215| input type: 2| time:3337
Time quotient is: 0.18881612968444825| input type: 2| time:3395
Time quotient is: 1.480460854137645| input type: 2| time:3455
Time quotient is: 0.3405477724213531| input type: 2| time:3513
Time quotient is: 0.7491346176932839| input type: 2| time:3573
Time quotient is: 0.3541067406751107| input type: 2| time:3632
Time quotient is: 0.7741867654463824| input type: 2| time:3693
Time quotient is: 0.19903797340393067| input type: 2| time:3778
Time quotient is: 0.34597978730132617| input type: 2| time:3837
Time quotient is: 0.1970566349029541| input type: 2| time:3896
Time quotient is: 0.19513253021240234| input type: 2| time:3954
Time quotient is: 0.2150787773132324| input type: 2| time:4016
Time quotient is: 0.3605857206427533| input type: 2| time:4075
Time quotient is: 1.4187469762914322| input type: 2| time:4134
Time quotient is: 0.19154484176635742| input type: 2| time:4192
Time quotient is: 0.20134506225585938| input type: 2| time:4252
Time quotient is: 1.4466790451722986| input type: 2| time:4311
Time quotient is: 0.19998968696594238| input type: 2| time:4370
Time quotient is: 0.3629016634346782| input type: 2| time:4432
Time quotient is: 0.24395817228891317| input type: 2| time:4491
Time quotient is: 0.35552125391752826| input type: 2| time:4550
Time quotient is: 0.20060039901733398| input type: 2| time:4610
Time quotient is: 0.7170611199210671| input type: 2| time:4669
Time quotient is: 0.7297694753198063| input type: 2| time:4728
Time quotient is: 1.38793664820054| input type: 2| time:4791
Time quotient is: 0.3494154301242552| input type: 2| time:4849
Time quotient is: 1.4314423869637882| input type: 2| time:4908
Time quotient is: 0.2252624626159668| input type: 2| time:4986
Time quotient is: 0.1923937110900879| input type: 2| time:5044
Time quotient is: 0.18419788360595704| input type: 2| time:5102
Time quotient is: 0.19278078651428224| input type: 2| time:5160
Time quotient is: 0.20343520927429198| input type: 2| time:5219
Time quotient is: 0.7257149850620943| input type: 2| time:5294
Time quotient is: 0.1680631980895996| input type: 2| time:5349
