Reward is: 7.782112442213913| input type: 2| time:79
Reward is: 7.706126040425794| input type: 2| time:136
Reward is: 7.672293654803572| input type: 2| time:192
Reward is: 7.715446858570494| input type: 2| time:248
Reward is: 7.6360854609259246| input type: 2| time:304
Reward is: 7.680457756437104| input type: 2| time:360
Reward is: 7.812681337882733| input type: 2| time:417
Reward is: 7.794907824746494| input type: 2| time:474
Reward is: 7.812537028871734| input type: 2| time:531
Reward is: 7.674330777135388| input type: 2| time:587
Reward is: 7.761816098772247| input type: 2| time:643
Reward is: 7.672483986821668| input type: 2| time:699
Reward is: 7.635475347782004| input type: 2| time:755
Reward is: 7.7510511792939285| input type: 2| time:811
Reward is: 7.757021566917157| input type: 2| time:868
Reward is: 7.673130035400391| input type: 2| time:924
Reward is: 7.709401023798975| input type: 2| time:980
Reward is: 7.698694804619098| input type: 2| time:1037
Reward is: 7.680080545359644| input type: 2| time:1093
Reward is: 7.670989546282538| input type: 2| time:1149
Reward is: 7.7498328028054075| input type: 2| time:1205
Reward is: 7.691710726968173| input type: 2| time:1261
Reward is: 7.675757194387502| input type: 2| time:1317
Reward is: 7.781923614699265| input type: 2| time:1374
Reward is: 7.717865064226348| input type: 2| time:1430
Reward is: 7.680948569856842| input type: 2| time:1486
Reward is: 7.715842025033359| input type: 2| time:1543
Reward is: 7.722994064462596| input type: 2| time:1599
Reward is: 7.671599980058341| input type: 2| time:1655
Reward is: 7.759587189246869| input type: 2| time:1712
Reward is: 7.713533253505312| input type: 2| time:1768
Reward is: 7.7343841667833| input type: 2| time:1824
Reward is: 7.661277261273614| input type: 2| time:1880
Reward is: 7.68124796604288| input type: 2| time:1936
Reward is: 7.81451416837758| input type: 2| time:1993
Reward is: 7.744900177265036| input type: 2| time:2049
Reward is: 7.71428814427606| input type: 2| time:2105
Reward is: 7.7459577938606| input type: 2| time:2162
Reward is: 7.639902016212201| input type: 2| time:2217
Reward is: 7.729604704626675| input type: 2| time:2274
Reward is: 7.774395498736151| input type: 2| time:2330
Reward is: 7.710355939536259| input type: 2| time:2387
Reward is: 7.749019384384155| input type: 2| time:2444
Reward is: 7.694958875919211| input type: 2| time:2500
Reward is: 7.785371024033119| input type: 2| time:2557
Reward is: 7.712003790099045| input type: 2| time:2613
Reward is: 7.809120868814403| input type: 2| time:2671
Reward is: 7.70349907875061| input type: 2| time:2727
Reward is: 7.668740708252479| input type: 2| time:2783
Reward is: 7.7227626175716| input type: 2| time:2839
