Time quotient is: 1.813824764887492| input type: 2| time:84 |latency: 27.207371473312378
Time quotient is: 0.9634505347772078| input type: 2| time:162 |latency: 42.391823530197144
Time quotient is: 0.9349819584326311| input type: 2| time:238 |latency: 41.13920617103577
Time quotient is: 0.9776661070910367| input type: 2| time:316 |latency: 43.017308712005615
Time quotient is: 0.9972723559899763| input type: 2| time:395 |latency: 43.87998366355896
Time quotient is: 0.5706478357315063| input type: 2| time:455 |latency: 25.10850477218628
Time quotient is: 0.5533606680956754| input type: 2| time:514 |latency: 24.347869396209717
Time quotient is: 0.5686952363361012| input type: 2| time:574 |latency: 25.022590398788452
Time quotient is: 0.5790033177895979| input type: 2| time:635 |latency: 25.47614598274231
Time quotient is: 0.5913738716732372| input type: 2| time:696 |latency: 26.020450353622437
Time quotient is: 0.550433483990756| input type: 2| time:755 |latency: 24.21907329559326
Time quotient is: 0.5668244741179727| input type: 2| time:815 |latency: 24.940276861190796
Time quotient is: 0.574768684127114| input type: 2| time:876 |latency: 25.289822101593018
Time quotient is: 0.5727641745047136| input type: 2| time:936 |latency: 25.201623678207397
Time quotient is: 0.5176252018321644| input type: 2| time:994 |latency: 22.775508880615234
Time quotient is: 1.0125947486270557| input type: 2| time:1073 |latency: 44.554168939590454
Time quotient is: 0.9731127457185225| input type: 2| time:1151 |latency: 42.81696081161499
Time quotient is: 0.9840970039367676| input type: 2| time:1229 |latency: 43.30026817321777
Time quotient is: 1.069427864118056| input type: 2| time:1311 |latency: 47.05482602119446
Time quotient is: 0.7819455862045288| input type: 2| time:1380 |latency: 34.40560579299927
Time quotient is: 0.5620330951430581| input type: 2| time:1440 |latency: 24.729456186294556
Time quotient is: 0.576029056852514| input type: 2| time:1500 |latency: 25.34527850151062
Time quotient is: 0.5693236047571356| input type: 2| time:1560 |latency: 25.050238609313965
Time quotient is: 0.7647789337418296| input type: 2| time:1629 |latency: 33.6502730846405
Time quotient is: 0.5681681903925809| input type: 2| time:1689 |latency: 24.99940037727356
Time quotient is: 0.5730817805637013| input type: 2| time:1749 |latency: 25.215598344802856
Time quotient is: 0.5258833928541704| input type: 2| time:1807 |latency: 23.138869285583496
Time quotient is: 0.5738725499673323| input type: 2| time:1867 |latency: 25.250392198562622
Time quotient is: 0.5406595468521118| input type: 2| time:1926 |latency: 23.78902006149292
Time quotient is: 0.574636080048301| input type: 2| time:1986 |latency: 25.283987522125244
Time quotient is: 0.6036378958008506| input type: 2| time:2048 |latency: 26.560067415237427
Time quotient is: 0.581023709340529| input type: 2| time:2108 |latency: 25.565043210983276
Time quotient is: 0.5634047009728171| input type: 2| time:2168 |latency: 24.789806842803955
Time quotient is: 0.5645895925435153| input type: 2| time:2228 |latency: 24.841942071914673
Time quotient is: 0.7637253295291554| input type: 2| time:2296 |latency: 33.60391449928284
Time quotient is: 0.7458557107231834| input type: 2| time:2364 |latency: 32.81765127182007
Time quotient is: 0.7634375474669717| input type: 2| time:2432 |latency: 33.59125208854675
Time quotient is: 0.7688769914887168| input type: 2| time:2501 |latency: 33.83058762550354
