Reward is: -5.813824764887492| input type: 2| time:84
Reward is: 7.890351604331624| input type: 2| time:162
Reward is: 7.804945875297893| input type: 2| time:238
Reward is: 8.43299832127311| input type: 2| time:316
Reward is: 8.49181706796993| input type: 2| time:395
Reward is: 7.211943507194519| input type: 2| time:455
Reward is: 6.660082004287027| input type: 2| time:514
Reward is: 7.2060857090083035| input type: 2| time:574
Reward is: 7.237009953368794| input type: 2| time:635
Reward is: 7.274121615019712| input type: 2| time:696
Reward is: 7.1513004519722685| input type: 2| time:755
Reward is: 7.200473422353918| input type: 2| time:815
Reward is: 5.624306052381342| input type: 2| time:876
Reward is: 7.21829252351414| input type: 2| time:936
Reward is: 7.052875605496493| input type: 2| time:994
Reward is: -5.0125947486270555| input type: 2| time:1073
Reward is: 7.919338237155568| input type: 2| time:1151
Reward is: 7.952291011810303| input type: 2| time:1229
Reward is: -5.069427864118056| input type: 2| time:1311
Reward is: 7.845836758613586| input type: 2| time:1380
Reward is: 7.186099285429174| input type: 2| time:1440
Reward is: 7.228087170557542| input type: 2| time:1500
Reward is: 7.207970814271407| input type: 2| time:1560
Reward is: 7.794336801225489| input type: 2| time:1629
Reward is: 7.204504571177743| input type: 2| time:1689
Reward is: 6.719245341691104| input type: 2| time:1749
Reward is: 6.577650178562511| input type: 2| time:1807
Reward is: 7.221617649901997| input type: 2| time:1867
Reward is: 7.1219786405563354| input type: 2| time:1926
Reward is: 8.723908240144903| input type: 2| time:1986
Reward is: 7.310913687402552| input type: 2| time:2048
Reward is: 7.243071128021587| input type: 2| time:2108
Reward is: 7.190214102918452| input type: 2| time:2168
Reward is: 7.193768777630545| input type: 2| time:2228
Reward is: 7.291175988587466| input type: 2| time:2296
Reward is: 7.73756713216955| input type: 2| time:2364
Reward is: 7.790312642400915| input type: 2| time:2432
Reward is: 7.806630974466151| input type: 2| time:2501
