Time quotient is: 1.2718279043833414| input type: 1| time:82
Time quotient is: 0.693794698250003| input type: 3| time:142
Time quotient is: 1.2988518827101763| input type: 2| time:200
Time quotient is: 0.16909906430677935| input type: 1| time:251
Time quotient is: 0.6978851424323188| input type: 1| time:305
Time quotient is: 0.38471858407936843| input type: 4| time:376
Time quotient is: 0.19239736437797547| input type: 4| time:447
Time quotient is: 0.32077123807824176| input type: 2| time:505
Time quotient is: 0.7186899141029075| input type: 4| time:576
Time quotient is: 0.18040498352050782| input type: 2| time:630
Time quotient is: 1.3032117450938505| input type: 2| time:685
Time quotient is: 0.19884772300720216| input type: 4| time:757
Time quotient is: 0.17199142773946127| input type: 3| time:818
Time quotient is: 0.24681104313243518| input type: 3| time:891
Time quotient is: 0.36039333623998304| input type: 1| time:954
Time quotient is: 2.179520431317781| input type: 3| time:1064
Time quotient is: 2.1239834785461427| input type: 1| time:1128
Time quotient is: 0.2599718832969666| input type: 4| time:1212
Time quotient is: 2.060367135440602| input type: 2| time:1280
Time quotient is: 1.1698499608922888| input type: 1| time:1344
Time quotient is: 0.9769247683083139| input type: 3| time:1417
Time quotient is: 0.3719452261924744| input type: 4| time:1501
Time quotient is: 0.25811814665794375| input type: 4| time:1586
Time quotient is: 0.3735201583189123| input type: 1| time:1650
Time quotient is: 0.25410174601005786| input type: 3| time:1724
Time quotient is: 0.2529189976778897| input type: 3| time:1798
Time quotient is: 0.2668563747406006| input type: 4| time:1884
Time quotient is: 0.37759690004236557| input type: 1| time:1949
Time quotient is: 0.9508850442038642| input type: 4| time:2051
Time quotient is: 2.083201345644499| input type: 3| time:2123
Time quotient is: 0.27241709899902344| input type: 2| time:2190
Time quotient is: 0.27110387420654297| input type: 2| time:2256
Time quotient is: 1.0016202786389519| input type: 2| time:2322
Time quotient is: 0.9792772399054633| input type: 4| time:2407
Time quotient is: 0.28015072995966134| input type: 1| time:2477
Time quotient is: 0.362289263520922| input type: 4| time:2560
Time quotient is: 0.49318588298300037| input type: 2| time:2626
Time quotient is: 1.1760792820541948| input type: 1| time:2690
Time quotient is: 2.1380841573079428| input type: 1| time:2755
Time quotient is: 0.5011160817800784| input type: 4| time:2839
Time quotient is: 0.24793130845734568| input type: 3| time:2912
Time quotient is: 0.9524531585198862| input type: 4| time:2996
Time quotient is: 1.1842475114045319| input type: 1| time:3098
Time quotient is: 0.3688529771917007| input type: 1| time:3162
Time quotient is: 0.4982096237294814| input type: 4| time:3245
Time quotient is: 2.060644551327354| input type: 3| time:3317
Time quotient is: 0.33363021924657726| input type: 2| time:3383
Time quotient is: 0.9968433029511395| input type: 2| time:3450
Time quotient is: 0.27325007057189943| input type: 2| time:3516
Time quotient is: 0.2810413187200373| input type: 1| time:3595
Time quotient is: 0.2602075505256653| input type: 4| time:3680
Time quotient is: 2.009244260787964| input type: 4| time:3762
Time quotient is: 0.9509660800298055| input type: 4| time:3846
Time quotient is: 0.35436520241854486| input type: 3| time:3934
Time quotient is: 0.5782585317438299| input type: 1| time:3998
Time quotient is: 0.25637954235076904| input type: 4| time:4082
Time quotient is: 2.034464162938735| input type: 2| time:4149
Time quotient is: 0.281453106620095| input type: 1| time:4212
Time quotient is: 0.28776860427856443| input type: 2| time:4281
Time quotient is: 0.239012437878233| input type: 3| time:4352
Time quotient is: 0.2390320431102406| input type: 3| time:4424
Time quotient is: 0.3267808793817909| input type: 2| time:4490
Time quotient is: 2.0490081310272217| input type: 3| time:4561
Time quotient is: 0.9154059268810131| input type: 4| time:4643
Time quotient is: 1.999943494796753| input type: 4| time:4725
Time quotient is: 1.0209675998222538| input type: 3| time:4799
Time quotient is: 0.4933624129364456| input type: 2| time:4866
Time quotient is: 1.1527848067107025| input type: 1| time:4929
Time quotient is: 2.0841549446708276| input type: 3| time:5001
Time quotient is: 0.9631827168348359| input type: 3| time:5073
Time quotient is: 0.25587182760238647| input type: 4| time:5159
Time quotient is: 0.2716765289306641| input type: 2| time:5225
Time quotient is: 0.3636185322489057| input type: 4| time:5309
