Reward is: -5.265884256362915| input type: 1| time:76
Reward is: -2| input type: 4| time:93
Reward is: 6.006212691650571| input type: 4| time:155
Reward is: -5.435082209737677| input type: 3| time:232
Reward is: -2| input type: 4| time:249
Reward is: -2| input type: 4| time:253
Reward is: -5.659084978103637| input type: 4| time:317
Reward is: -5.52937714677108| input type: 3| time:381
Reward is: 3.2206394179044664| input type: 4| time:459
Reward is: 3.318547670940444| input type: 2| time:519
Reward is: 2.8651307697481108| input type: 1| time:577
Reward is: -5.7074267768859865| input type: 4| time:655
Reward is: 3.221770684109276| input type: 3| time:721
Reward is: 4.792798945445683| input type: 2| time:778
Reward is: 4.7266646667044| input type: 2| time:835
Reward is: -5.27451278368632| input type: 1| time:889
Reward is: 4.512327416480812| input type: 2| time:945
Reward is: 4.342958872141132| input type: 2| time:1001
Reward is: 5.411178175361389| input type: 1| time:1072
Reward is: 5.006062022462172| input type: 4| time:1142
Reward is: -2| input type: 2| time:1158
Reward is: -2| input type: 2| time:1162
Reward is: -2| input type: 2| time:1166
Reward is: -2| input type: 2| time:1170
Reward is: 3.6117337241084053| input type: 2| time:1218
Reward is: 3.506274910751437| input type: 4| time:1293
Reward is: 3.519310462765501| input type: 3| time:1358
Reward is: 3.507398008505915| input type: 3| time:1423
Reward is: 3.588509710440599| input type: 3| time:1487
Reward is: 3.531015810032127| input type: 1| time:1545
Reward is: -5.501203473409017| input type: 1| time:1602
Reward is: 5.012302046510344| input type: 2| time:1659
Reward is: 5.015075215488072| input type: 1| time:1713
Reward is: 5.007277979114918| input type: 3| time:1775
Reward is: 3.5072674870719496| input type: 3| time:1837
Reward is: 3.5114498647146664| input type: 3| time:1899
Reward is: -5.409232250849406| input type: 1| time:1955
Reward is: 5.0277295359518845| input type: 1| time:2009
Reward is: 3.5184691895347964| input type: 3| time:2073
Reward is: 3.5061418917776535| input type: 4| time:2145
Reward is: 3.5063292350171045| input type: 4| time:2222
Reward is: 5.080115544448431| input type: 2| time:2279
Reward is: 5.006222789915282| input type: 4| time:2354
Reward is: 3.515464922780469| input type: 1| time:2410
Reward is: 5.062169765586575| input type: 4| time:2483
Reward is: 3.515111038338717| input type: 1| time:2537
Reward is: 3.5123931547562486| input type: 2| time:2594
Reward is: 5.007223256122924| input type: 3| time:2656
Reward is: 5.01097466597732| input type: 1| time:2710
Reward is: 5.009612984937132| input type: 2| time:2766
Reward is: 5.082929760538987| input type: 2| time:2823
Reward is: 5.015844199570542| input type: 4| time:2898
Reward is: 5.0183616024678726| input type: 3| time:2960
Reward is: -5.369586944580078| input type: 2| time:3019
Reward is: 3.511269719831292| input type: 1| time:3075
Reward is: 5.011011021858817| input type: 1| time:3129
Reward is: 3.5109664222344477| input type: 1| time:3183
Reward is: 5.070888251267623| input type: 3| time:3245
Reward is: 3.5209935038724174| input type: 2| time:3302
Reward is: 5.006183664147477| input type: 4| time:3375
Reward is: 3.510989898803574| input type: 1| time:3430
Reward is: -5.384804566701253| input type: 1| time:3486
Reward is: 3.518175029295469| input type: 3| time:3548
Reward is: 3.5097527983171806| input type: 4| time:3621
Reward is: -5.394281578063965| input type: 1| time:3677
Reward is: 5.407123241843764| input type: 3| time:3737
Reward is: 6.006130068258522| input type: 4| time:3809
Reward is: 4.515919093145052| input type: 1| time:3866
Reward is: 4.512107158331847| input type: 3| time:3932
Reward is: -2| input type: 2| time:3949
Reward is: 6.009802663570203| input type: 2| time:3995
Reward is: 6.011246976816427| input type: 3| time:4055
Reward is: -5.434325280942415| input type: 3| time:4117
Reward is: 4.507399087000848| input type: 3| time:4182
Reward is: 6.007198298127131| input type: 3| time:4243
Reward is: 4.5116788550103015| input type: 1| time:4302
Reward is: 4.510094595314827| input type: 2| time:4363
Reward is: -5.659216541992991| input type: 3| time:4430
Reward is: -2| input type: 1| time:4446
Reward is: -2| input type: 1| time:4451
Reward is: -5.454350376129151| input type: 1| time:4495
Reward is: -2| input type: 3| time:4512
Reward is: 4.598461170951816| input type: 3| time:4566
Reward is: 4.5096986680608| input type: 2| time:4623
Reward is: 6.009714386425829| input type: 2| time:4680
