Time quotient is: 1.0380600724901472| input type: 2| time:93 | latency: 36.33210253715515
Time quotient is: 1.009814405441284| input type: 2| time:164 | latency: 35.343504190444946
Time quotient is: 1.0760547978537423| input type: 2| time:236 | latency: 37.66191792488098
Time quotient is: 0.8162611143929618| input type: 2| time:300 | latency: 28.569139003753662
Time quotient is: 1.1825207778385707| input type: 2| time:376 | latency: 41.388227224349976
Time quotient is: 0.8331601619720459| input type: 2| time:440 | latency: 29.160605669021606
Time quotient is: 0.8487450940268381| input type: 2| time:505 | latency: 29.70607829093933
Time quotient is: 0.7905495711735316| input type: 2| time:568 | latency: 27.66923499107361
Time quotient is: 0.6338557107107979| input type: 2| time:625 | latency: 22.18494987487793
Time quotient is: 0.6075788702283587| input type: 2| time:681 | latency: 21.265260457992554
Time quotient is: 0.6067063876560757| input type: 2| time:737 | latency: 21.234723567962646
Time quotient is: 1.0322920186179025| input type: 2| time:813 | latency: 36.13022065162659
Time quotient is: 1.0716793877737862| input type: 2| time:885 | latency: 37.50877857208252
Time quotient is: 0.6425901481083461| input type: 2| time:942 | latency: 22.490655183792114
Time quotient is: 0.6475972993033273| input type: 2| time:1000 | latency: 22.665905475616455
Time quotient is: 0.6287284578595843| input type: 2| time:1057 | latency: 22.00549602508545
Time quotient is: 0.56233765738351| input type: 2| time:1112 | latency: 19.68181800842285
Time quotient is: 1.0550387382507325| input type: 2| time:1183 | latency: 36.926355838775635
Time quotient is: 1.1201609679630824| input type: 2| time:1258 | latency: 39.205633878707886
Time quotient is: 1.1373972279684885| input type: 2| time:1348 | latency: 39.808902978897095
Time quotient is: 0.7628124986376081| input type: 2| time:1410 | latency: 26.698437452316284
Time quotient is: 0.7346916471208845| input type: 2| time:1471 | latency: 25.714207649230957
Time quotient is: 0.7557948248726981| input type: 2| time:1534 | latency: 26.452818870544434
Time quotient is: 0.7139882700783866| input type: 2| time:1594 | latency: 24.98958945274353
Time quotient is: 0.72251832144601| input type: 2| time:1670 | latency: 25.28814125061035
Time quotient is: 1.076942777633667| input type: 2| time:1742 | latency: 37.692997217178345
Time quotient is: 1.0518813746316091| input type: 2| time:1814 | latency: 36.81584811210632
Time quotient is: 1.106128215789795| input type: 2| time:1888 | latency: 38.71448755264282
Time quotient is: 1.1660599776676723| input type: 2| time:1964 | latency: 40.81209921836853
Time quotient is: 1.1115796429770333| input type: 2| time:2037 | latency: 38.90528750419617
Time quotient is: 0.7661734308515277| input type: 2| time:2099 | latency: 26.816070079803467
Time quotient is: 1.0994688170296805| input type: 2| time:2173 | latency: 38.48140859603882
Time quotient is: 1.0909035614558629| input type: 2| time:2245 | latency: 38.1816246509552
Time quotient is: 1.1306137221200125| input type: 2| time:2320 | latency: 39.57148027420044
Time quotient is: 1.1068622384752547| input type: 2| time:2394 | latency: 38.74017834663391
Time quotient is: 0.7341266087123326| input type: 2| time:2454 | latency: 25.69443130493164
Time quotient is: 0.7437819957733154| input type: 2| time:2515 | latency: 26.03236985206604
Time quotient is: 0.7383949756622314| input type: 2| time:2576 | latency: 25.8438241481781
Time quotient is: 1.0701962947845458| input type: 2| time:2649 | latency: 37.456870317459106
Time quotient is: 0.6061855656760079| input type: 2| time:2705 | latency: 21.21649479866028
Time quotient is: 0.9812160219464984| input type: 2| time:2774 | latency: 34.34256076812744
Time quotient is: 0.5751447200775146| input type: 2| time:2829 | latency: 20.130065202713013
Time quotient is: 0.5839274610791888| input type: 2| time:2885 | latency: 20.437461137771606
Time quotient is: 0.6083695684160505| input type: 2| time:2941 | latency: 21.292934894561768
Time quotient is: 0.601566185270037| input type: 2| time:2997 | latency: 21.054816484451294
Time quotient is: 0.6105772222791399| input type: 2| time:3053 | latency: 21.370202779769897
Time quotient is: 0.6203700065612793| input type: 2| time:3109 | latency: 21.712950229644775
Time quotient is: 0.6575563158307757| input type: 2| time:3167 | latency: 23.01447105407715
Time quotient is: 0.6436814035688128| input type: 2| time:3225 | latency: 22.528849124908447
Time quotient is: 0.5736489704677037| input type: 2| time:3280 | latency: 20.07771396636963
Time quotient is: 0.5861081055232457| input type: 2| time:3335 | latency: 20.5137836933136
Time quotient is: 0.6317774432046073| input type: 2| time:3392 | latency: 22.112210512161255
Time quotient is: 0.5758525780269078| input type: 2| time:3448 | latency: 20.154840230941772
Time quotient is: 0.5707787581852504| input type: 2| time:3502 | latency: 19.977256536483765
Time quotient is: 0.5644064085824149| input type: 2| time:3557 | latency: 19.75422430038452
Time quotient is: 0.580555214200701| input type: 2| time:3613 | latency: 20.319432497024536
Time quotient is: 0.5792587212153844| input type: 2| time:3667 | latency: 20.274055242538452
Time quotient is: 0.6154723031180246| input type: 2| time:3724 | latency: 21.54153060913086
Time quotient is: 0.7630072729928153| input type: 2| time:3785 | latency: 26.705254554748535
Time quotient is: 0.7132893085479737| input type: 2| time:3845 | latency: 24.965125799179077
Time quotient is: 0.7127453327178955| input type: 2| time:3905 | latency: 24.946086645126343
Time quotient is: 0.7275467804500035| input type: 2| time:3966 | latency: 25.464137315750122
Time quotient is: 0.7514486176627023| input type: 2| time:4027 | latency: 26.30070161819458
Time quotient is: 0.6911408628736223| input type: 2| time:4086 | latency: 24.189930200576782
Time quotient is: 0.7327539920806885| input type: 2| time:4147 | latency: 25.646389722824097
Time quotient is: 0.7384045328412737| input type: 2| time:4207 | latency: 25.84415864944458
Time quotient is: 0.719704280580793| input type: 2| time:4267 | latency: 25.18964982032776
Time quotient is: 0.73594833782741| input type: 2| time:4328 | latency: 25.75819182395935
Time quotient is: 0.7382687500544957| input type: 2| time:4389 | latency: 25.83940625190735
Time quotient is: 0.7324858529227121| input type: 2| time:4449 | latency: 25.637004852294922
Time quotient is: 0.7486932413918631| input type: 2| time:4510 | latency: 26.20426344871521
Time quotient is: 0.7312708309718541| input type: 2| time:4571 | latency: 25.594479084014893
