Reward is: 7.4671191760471896| input type: 2| time:81
Reward is: 7.453022262028286| input type: 2| time:138
Reward is: 7.414293984004429| input type: 2| time:195
Reward is: 8.22384409223284| input type: 2| time:261
Reward is: 8.207265404292515| input type: 2| time:327
Reward is: 8.258343226569039| input type: 2| time:393
Reward is: 8.248359523500715| input type: 2| time:460
Reward is: 8.289108419418335| input type: 2| time:527
Reward is: 9.731893845966884| input type: 2| time:593
Reward is: 7.382133838108608| input type: 2| time:649
Reward is: 7.360517460959299| input type: 2| time:705
Reward is: 7.34725136756897| input type: 2| time:761
Reward is: 7.59190457207816| input type: 2| time:820
Reward is: 7.381930889402117| input type: 2| time:876
Reward is: 7.400386571884155| input type: 2| time:933
Reward is: 7.392771019254412| input type: 2| time:989
Reward is: 7.468707840783255| input type: 2| time:1046
Reward is: 7.398267943518503| input type: 2| time:1103
Reward is: 7.4104646274021695| input type: 2| time:1159
Reward is: 7.440745387758527| input type: 2| time:1217
Reward is: 7.3461937291281565| input type: 2| time:1272
Reward is: 7.378226600374495| input type: 2| time:1328
Reward is: 9.751989650726319| input type: 2| time:1395
Reward is: 8.334946339471| input type: 2| time:1462
Reward is: 9.780543558938163| input type: 2| time:1529
Reward is: 7.43369733946664| input type: 2| time:1586
Reward is: 7.37299542427063| input type: 2| time:1642
Reward is: 7.357887077331543| input type: 2| time:1698
Reward is: 7.568468625204904| input type: 2| time:1757
Reward is: 9.8093332358769| input type: 2| time:1824
Reward is: 9.9584274155753| input type: 2| time:1893
Reward is: 8.287468481063843| input type: 2| time:1960
Reward is: 9.786794894082206| input type: 2| time:2027
Reward is: 8.257877697263446| input type: 2| time:2093
Reward is: 9.710993582861764| input type: 2| time:2159
Reward is: 9.788597420283725| input type: 2| time:2225
Reward is: 7.445551988056728| input type: 2| time:2282
Reward is: 7.3789961542402| input type: 2| time:2339
Reward is: 7.397193159375872| input type: 2| time:2395
Reward is: 7.410960912704468| input type: 2| time:2453
Reward is: 7.408093513761248| input type: 2| time:2509
Reward is: 7.380240964889526| input type: 2| time:2566
Reward is: 7.68298636163984| input type: 2| time:2626
Reward is: 7.423849739347185| input type: 2| time:2683
Reward is: 7.387973022460938| input type: 2| time:2739
Reward is: 7.378870637076242| input type: 2| time:2796
Reward is: 7.399652372087751| input type: 2| time:2853
Reward is: 7.383864348275321| input type: 2| time:2909
