Time quotient is: 0.6557063920157297| input type: 2| time:81 | latency: 22.949723720550537
Time quotient is: 0.6510074206760952| input type: 2| time:138 | latency: 22.78525972366333
Time quotient is: 0.6380979946681431| input type: 2| time:195 | latency: 22.33342981338501
Time quotient is: 0.9079480307442801| input type: 2| time:261 | latency: 31.778181076049805
Time quotient is: 0.9024218014308385| input type: 2| time:327 | latency: 31.584763050079346
Time quotient is: 0.9194477421896798| input type: 2| time:393 | latency: 32.180670976638794
Time quotient is: 0.916119841166905| input type: 2| time:460 | latency: 32.064194440841675
Time quotient is: 0.9297028064727784| input type: 2| time:527 | latency: 32.53959822654724
Time quotient is: 0.9106312819889614| input type: 2| time:593 | latency: 31.872094869613647
Time quotient is: 0.6273779460362026| input type: 2| time:649 | latency: 21.95822811126709
Time quotient is: 0.6201724869864328| input type: 2| time:705 | latency: 21.706037044525146
Time quotient is: 0.6157504558563233| input type: 2| time:761 | latency: 21.551265954971313
Time quotient is: 0.6973015240260533| input type: 2| time:820 | latency: 24.405553340911865
Time quotient is: 0.6273102964673724| input type: 2| time:876 | latency: 21.955860376358032
Time quotient is: 0.6334621906280518| input type: 2| time:933 | latency: 22.17117667198181
Time quotient is: 0.630923673084804| input type: 2| time:989 | latency: 22.08232855796814
Time quotient is: 0.6562359469277518| input type: 2| time:1046 | latency: 22.968258142471313
Time quotient is: 0.6327559811728342| input type: 2| time:1103 | latency: 22.146459341049194
Time quotient is: 0.6368215424673898| input type: 2| time:1159 | latency: 22.288753986358643
Time quotient is: 0.6469151292528424| input type: 2| time:1217 | latency: 22.642029523849487
Time quotient is: 0.6153979097093855| input type: 2| time:1272 | latency: 21.53892683982849
Time quotient is: 0.6260755334581648| input type: 2| time:1328 | latency: 21.912643671035767
Time quotient is: 0.9173298835754394| input type: 2| time:1395 | latency: 32.10654592514038
Time quotient is: 0.9449821131569999| input type: 2| time:1462 | latency: 33.074373960494995
Time quotient is: 0.9268478529793875| input type: 2| time:1529 | latency: 32.439674854278564
Time quotient is: 0.6445657798222133| input type: 2| time:1586 | latency: 22.559802293777466
Time quotient is: 0.6243318080902099| input type: 2| time:1642 | latency: 21.85161328315735
Time quotient is: 0.6192956924438476| input type: 2| time:1698 | latency: 21.675349235534668
Time quotient is: 0.6894895417349679| input type: 2| time:1757 | latency: 24.132133960723877
Time quotient is: 0.9364444119589669| input type: 2| time:1824 | latency: 32.77555441856384
Time quotient is: 0.9861424718584333| input type: 2| time:1893 | latency: 34.514986515045166
Time quotient is: 0.9291561603546142| input type: 2| time:1960 | latency: 32.5204656124115
Time quotient is: 0.9289316313607352| input type: 2| time:2027 | latency: 32.51260709762573
Time quotient is: 0.9192925657544817| input type: 2| time:2093 | latency: 32.17523980140686
Time quotient is: 0.903664527620588| input type: 2| time:2159 | latency: 31.62825846672058
Time quotient is: 0.9295324734279088| input type: 2| time:2225 | latency: 32.53363656997681
Time quotient is: 0.6485173293522426| input type: 2| time:2282 | latency: 22.69810652732849
Time quotient is: 0.6263320514133999| input type: 2| time:2339 | latency: 21.921621799468994
Time quotient is: 0.6323977197919574| input type: 2| time:2395 | latency: 22.133920192718506
Time quotient is: 0.6369869709014893| input type: 2| time:2453 | latency: 22.294543981552124
Time quotient is: 0.6360311712537493| input type: 2| time:2509 | latency: 22.261090993881226
Time quotient is: 0.6267469882965088| input type: 2| time:2566 | latency: 21.936144590377808
Time quotient is: 0.7276621205466134| input type: 2| time:2626 | latency: 25.46817421913147
Time quotient is: 0.6412832464490618| input type: 2| time:2683 | latency: 22.444913625717163
Time quotient is: 0.6293243408203125| input type: 2| time:2739 | latency: 22.026351928710938
Time quotient is: 0.6262902123587472| input type: 2| time:2796 | latency: 21.920157432556152
Time quotient is: 0.6332174573625837| input type: 2| time:2853 | latency: 22.16261100769043
Time quotient is: 0.6279547827584403| input type: 2| time:2909 | latency: 21.97841739654541
Time quotient is: 0.9222041198185512| input type: 2| time:2976 | latency: 32.27714419364929
Time quotient is: 0.9153398786272321| input type: 2| time:3043 | latency: 32.036895751953125
Time quotient is: 0.9384827954428536| input type: 2| time:3112 | latency: 32.84689784049988
Time quotient is: 0.9264076096670968| input type: 2| time:3179 | latency: 32.42426633834839
Time quotient is: 0.9215867042541503| input type: 2| time:3245 | latency: 32.255534648895264
Time quotient is: 0.922662319455828| input type: 2| time:3311 | latency: 32.29318118095398
Time quotient is: 0.9191413061959403| input type: 2| time:3378 | latency: 32.16994571685791
Time quotient is: 0.922610432761056| input type: 2| time:3444 | latency: 32.29136514663696
Time quotient is: 0.9404255185808454| input type: 2| time:3512 | latency: 32.91489315032959
Time quotient is: 0.9148410252162389| input type: 2| time:3578 | latency: 32.01943588256836
Time quotient is: 0.8813127790178571| input type: 2| time:3643 | latency: 30.845947265625
Time quotient is: 0.9223941734858921| input type: 2| time:3710 | latency: 32.283796072006226
Time quotient is: 0.9360810484204973| input type: 2| time:3777 | latency: 32.76283669471741
Time quotient is: 0.8958939756665911| input type: 2| time:3843 | latency: 31.35628914833069
Time quotient is: 0.9390746184757778| input type: 2| time:3910 | latency: 32.86761164665222
Time quotient is: 0.6497058527810233| input type: 2| time:3967 | latency: 22.739704847335815
Time quotient is: 0.6271692276000976| input type: 2| time:4023 | latency: 21.950922966003418
Time quotient is: 0.6353814397539411| input type: 2| time:4080 | latency: 22.23835039138794
Time quotient is: 0.6285245418548584| input type: 2| time:4136 | latency: 21.998358964920044
Time quotient is: 0.6445973805018834| input type: 2| time:4193 | latency: 22.560908317565918
Time quotient is: 0.6228462627955845| input type: 2| time:4249 | latency: 21.79961919784546
Time quotient is: 0.6468193190438407| input type: 2| time:4306 | latency: 22.638676166534424
Time quotient is: 0.6303038052150182| input type: 2| time:4365 | latency: 22.060633182525635
Time quotient is: 0.6232495784759522| input type: 2| time:4421 | latency: 21.813735246658325
Time quotient is: 0.6377515929085867| input type: 2| time:4477 | latency: 22.321305751800537
Time quotient is: 0.641196768624442| input type: 2| time:4534 | latency: 22.44188690185547
Time quotient is: 0.6207377297537667| input type: 2| time:4590 | latency: 21.725820541381836
Time quotient is: 0.6959044797079904| input type: 2| time:4649 | latency: 24.356656789779663
Time quotient is: 0.632614837374006| input type: 2| time:4705 | latency: 22.14151930809021
Time quotient is: 0.6335169110979353| input type: 2| time:4762 | latency: 22.173091888427734
Time quotient is: 0.9045276369367327| input type: 2| time:4827 | latency: 31.658467292785645
Time quotient is: 0.8790335042136056| input type: 2| time:4892 | latency: 30.766172647476196
Time quotient is: 0.911340297971453| input type: 2| time:4958 | latency: 31.896910429000854
Time quotient is: 0.9310885974339076| input type: 2| time:5025 | latency: 32.58810091018677
Time quotient is: 0.9260991164616176| input type: 2| time:5092 | latency: 32.413469076156616
Time quotient is: 0.9440572329929897| input type: 2| time:5159 | latency: 33.04200315475464
Time quotient is: 0.9463595049721855| input type: 2| time:5227 | latency: 33.12258267402649
Time quotient is: 0.9419422830854144| input type: 2| time:5294 | latency: 32.9679799079895
Time quotient is: 0.9656127657209124| input type: 2| time:5362 | latency: 33.796446800231934
Time quotient is: 0.9385246549333844| input type: 2| time:5429 | latency: 32.84836292266846
Time quotient is: 0.9383946895599365| input type: 2| time:5497 | latency: 32.84381413459778
Time quotient is: 0.9503579957144601| input type: 2| time:5564 | latency: 33.2625298500061
Time quotient is: 0.9387526648385184| input type: 2| time:5632 | latency: 32.856343269348145
Time quotient is: 0.9408029079437256| input type: 2| time:5699 | latency: 32.928101778030396
Time quotient is: 0.9241718019757952| input type: 2| time:5766 | latency: 32.34601306915283
Time quotient is: 0.9246524674551827| input type: 2| time:5832 | latency: 32.3628363609314
Time quotient is: 0.9787652901240758| input type: 2| time:5901 | latency: 34.25678515434265
Time quotient is: 0.6645528861454555| input type: 2| time:5959 | latency: 23.259351015090942
Time quotient is: 0.9305025577545166| input type: 2| time:6026 | latency: 32.56758952140808
Time quotient is: 0.9570353644234794| input type: 2| time:6095 | latency: 33.49623775482178
Time quotient is: 1.0030569621494838| input type: 2| time:6164 | latency: 35.106993675231934
Time quotient is: 0.9170433180672782| input type: 2| time:6231 | latency: 32.096516132354736
Time quotient is: 1.269196047101702| input type: 2| time:6310 | latency: 44.42186164855957
Time quotient is: 0.9282114710126604| input type: 2| time:6377 | latency: 32.487401485443115
Time quotient is: 1.012401785169329| input type: 2| time:6447 | latency: 35.434062480926514
Time quotient is: 0.9473689488002233| input type: 2| time:6515 | latency: 33.15791320800781
Time quotient is: 0.9643386363983154| input type: 2| time:6583 | latency: 33.75185227394104
Time quotient is: 0.9396586418151855| input type: 2| time:6651 | latency: 32.888052463531494
Time quotient is: 0.9312168393816267| input type: 2| time:6718 | latency: 32.592589378356934
Time quotient is: 0.6669257436479841| input type: 2| time:6775 | latency: 23.342401027679443
Time quotient is: 0.7084197929927281| input type: 2| time:6834 | latency: 24.794692754745483
Time quotient is: 0.7359452656337193| input type: 2| time:6895 | latency: 25.758084297180176
Time quotient is: 1.183590132849557| input type: 2| time:6970 | latency: 41.4256546497345
Time quotient is: 1.015124021257673| input type: 2| time:7040 | latency: 35.529340744018555
Time quotient is: 1.3027575629098074| input type: 2| time:7120 | latency: 45.59651470184326
Time quotient is: 0.7188879149300712| input type: 2| time:7179 | latency: 25.16107702255249
Time quotient is: 0.7152795791625977| input type: 2| time:7239 | latency: 25.034785270690918
Time quotient is: 0.6865636825561523| input type: 2| time:7298 | latency: 24.029728889465332
