Reward is: 7.780427360534668| input type: 2| time:4584
Reward is: 7.828497573307582| input type: 2| time:4641
Reward is: -5.176171840940203| input type: 2| time:4700
Reward is: -5.088331399645124| input type: 2| time:4762
Reward is: -5.149245929718018| input type: 2| time:4821
Reward is: -5.201728888920375| input type: 2| time:4882
Reward is: -5.145569031579154| input type: 2| time:4940
Reward is: -5.182832533972604| input type: 2| time:4999
Reward is: -5.143903909410749| input type: 2| time:5058
Reward is: -5.171953323909214| input type: 2| time:5116
Reward is: -5.210792085102626| input type: 2| time:5176
Reward is: -5.198934316635132| input type: 2| time:5234
Reward is: -5.14429783821106| input type: 2| time:5294
Reward is: -5.199513421739851| input type: 2| time:5358
Reward is: -5.170641613006592| input type: 2| time:5416
Reward is: -5.161383758272444| input type: 2| time:5474
Reward is: -5.1418859549931115| input type: 2| time:5533
Reward is: -5.079949855804443| input type: 2| time:5591
Reward is: -5.106946263994489| input type: 2| time:5651
Reward is: -5.091819844927107| input type: 2| time:5709
Reward is: 7.823676218305315| input type: 2| time:5709
Reward is: 7.625743641172137| input type: 2| time:5768
Reward is: -5.010148121760442| input type: 2| time:5825
Reward is: -5.027861576813918| input type: 2| time:5891
Reward is: 8.407304039368263| input type: 2| time:5957
Reward is: 8.117023412997906| input type: 2| time:6024
Reward is: 8.383837406451885| input type: 2| time:6097
Reward is: 8.42113579236544| input type: 2| time:6170
Reward is: 8.318998896158659| input type: 2| time:6242
Reward is: -5.012766507955698| input type: 2| time:6313
Reward is: 8.423235810720003| input type: 2| time:6313
Reward is: 8.471689325112562| input type: 2| time:6382
Reward is: 8.286125522393446| input type: 2| time:6455
Reward is: 8.377034223996676| input type: 2| time:6527
Reward is: 8.186762305406424| input type: 2| time:6600
Reward is: 8.35636096734267| input type: 2| time:6672
Reward is: 8.445030203232399| input type: 2| time:6744
Reward is: 8.204367087437557| input type: 2| time:6816
Reward is: 8.442298889160156| input type: 2| time:6886
Reward is: -5.011876225471497| input type: 2| time:6958
Reward is: 8.211260282076323| input type: 2| time:7031
Reward is: -5.004911120121296| input type: 2| time:7102
Reward is: -5.0188317115490255| input type: 2| time:7160
Reward is: 8.276271746708797| input type: 2| time:7219
Reward is: 8.36291947731605| input type: 2| time:7277
Reward is: 8.463824262985817| input type: 2| time:7334
Reward is: 8.309187430601854| input type: 2| time:7394
Reward is: 8.192983764868517| input type: 2| time:7451
Reward is: 8.084775557884804| input type: 2| time:7511
Reward is: 7.879230893575228| input type: 2| time:7569
Reward is: 8.042623611596914| input type: 2| time:7629
Reward is: 7.903851289015551| input type: 2| time:7687
Reward is: 8.138880555446331| input type: 2| time:7734
Reward is: 7.960258832344643| input type: 2| time:7793
Reward is: 8.16119136260106| input type: 2| time:7852
Reward is: 7.8659229553662815| input type: 2| time:7912
Reward is: 8.156401735085707| input type: 2| time:7970
Reward is: 8.115080558336699| input type: 2| time:8029
Reward is: 8.158438480817354| input type: 2| time:8088
Reward is: 8.228177703343905| input type: 2| time:8146
Reward is: 8.43007467343257| input type: 2| time:8162
Reward is: 8.187593872730549| input type: 2| time:8208
Reward is: 8.455555879152739| input type: 2| time:8264
Reward is: 8.224696306081919| input type: 2| time:8324
Reward is: -5.0158384671578045| input type: 2| time:8382
Reward is: 8.4416455580638| input type: 2| time:8441
Reward is: 8.416965438769413| input type: 2| time:8499
Reward is: 8.145032442533052| input type: 2| time:8562
Reward is: 8.376764600093548| input type: 2| time:8623
Reward is: -5.574884185424217| input type: 2| time:8682
