Time quotient is: 0.6698309830256871| input type: 2| time:1671 | latency:23.444084405899048
Time quotient is: 0.6372977801731654| input type: 2| time:1717 | latency:22.30542230606079
Time quotient is: 0.7171711036137172| input type: 2| time:1777 | latency:25.100988626480103
Time quotient is: 0.6955556392669677| input type: 2| time:1837 | latency:24.344447374343872
Time quotient is: 0.6897755486624582| input type: 2| time:1895 | latency:24.142144203186035
Time quotient is: 0.6873173236846923| input type: 2| time:1976 | latency:24.056106328964233
Time quotient is: 0.7294943128313337| input type: 2| time:2034 | latency:25.53230094909668
Time quotient is: 0.7511421884809222| input type: 2| time:2093 | latency:26.289976596832275
Time quotient is: 0.7133743967328753| input type: 2| time:2158 | latency:24.968103885650635
Time quotient is: 0.7247267314365932| input type: 2| time:2224 | latency:25.36543560028076
Time quotient is: 0.7441030842917306| input type: 2| time:2289 | latency:26.04360795021057
Time quotient is: 0.7212505272456577| input type: 2| time:2352 | latency:25.243768453598022
Time quotient is: 0.7139565876552036| input type: 2| time:2411 | latency:24.98848056793213
Time quotient is: 0.6759735107421875| input type: 2| time:2469 | latency:23.659072875976562
Time quotient is: 0.6705024855477469| input type: 2| time:2534 | latency:23.467586994171143
Time quotient is: 0.7143201214926583| input type: 2| time:2601 | latency:25.001204252243042
Time quotient is: 0.7154082298278809| input type: 2| time:2667 | latency:25.03928804397583
Time quotient is: 0.6949992724827357| input type: 2| time:2724 | latency:24.324974536895752
Time quotient is: 0.7244811466761998| input type: 2| time:2780 | latency:25.356840133666992
Time quotient is: 0.7323042392730713| input type: 2| time:2836 | latency:25.630648374557495
Time quotient is: 0.724604116167341| input type: 2| time:2909 | latency:25.361144065856934
Time quotient is: 1.1003423418317522| input type: 2| time:2909 | latency:38.51198196411133
Time quotient is: 1.109571933746338| input type: 2| time:2967 | latency:38.835017681121826
Time quotient is: 1.1598448072160994| input type: 2| time:3025 | latency:40.59456825256348
Time quotient is: 1.1225461619240897| input type: 2| time:3083 | latency:39.28911566734314
Time quotient is: 1.0967554228646414| input type: 2| time:3142 | latency:38.38643980026245
Time quotient is: 1.0840860298701696| input type: 2| time:3186 | latency:37.94301104545593
Time quotient is: 1.0703226838793074| input type: 2| time:3244 | latency:37.46129393577576
Time quotient is: 1.1697959423065185| input type: 2| time:3302 | latency:40.94285798072815
Time quotient is: 0.9147571223122734| input type: 2| time:3318 | latency:32.016499280929565
Time quotient is: 0.936129685810634| input type: 2| time:3362 | latency:32.76453900337219
Time quotient is: 0.9411063875470843| input type: 2| time:3419 | latency:32.93872356414795
Time quotient is: 0.9495522567204067| input type: 2| time:3486 | latency:33.23432898521423
Time quotient is: 0.9567515236990792| input type: 2| time:3550 | latency:33.48630332946777
Time quotient is: 0.9387745448521205| input type: 2| time:3619 | latency:32.85710906982422
Time quotient is: 0.9250965322766985| input type: 2| time:3685 | latency:32.37837862968445
Time quotient is: 0.9903808525630406| input type: 2| time:3753 | latency:34.66332983970642
Time quotient is: 0.9288028512682234| input type: 2| time:3820 | latency:32.50809979438782
Time quotient is: 0.9126571450914656| input type: 2| time:3887 | latency:31.943000078201294
Time quotient is: 0.9103693008422852| input type: 2| time:3954 | latency:31.86292552947998
Time quotient is: 0.9268091201782227| input type: 2| time:4020 | latency:32.43831920623779
Time quotient is: 0.9428325244358607| input type: 2| time:4087 | latency:32.99913835525513
Time quotient is: 1.1761718409402029| input type: 2| time:4145 | latency:41.166014432907104
Time quotient is: 1.0883313996451243| input type: 2| time:4206 | latency:38.091598987579346
Time quotient is: 1.1492459297180175| input type: 2| time:4238 | latency:40.223607540130615
Time quotient is: 1.2017288889203752| input type: 2| time:4245 | latency:42.060511112213135
Time quotient is: 1.1455690315791538| input type: 2| time:4292 | latency:40.094916105270386
Time quotient is: 1.182832533972604| input type: 2| time:4350 | latency:41.39913868904114
Time quotient is: 1.1439039094107493| input type: 2| time:4408 | latency:40.03663682937622
Time quotient is: 1.1719533239092146| input type: 2| time:4466 | latency:41.01836633682251
Time quotient is: 1.2107920851026261| input type: 2| time:4525 | latency:42.37772297859192
Time quotient is: 1.1989343166351318| input type: 2| time:4584 | latency:41.962701082229614
Time quotient is: 1.1442978382110596| input type: 2| time:4641 | latency:40.050424337387085
