Reward is: -5.524621438980103| input type: 2| time:80
Reward is: 7.547759631100822| input type: 2| time:138
Reward is: 4.437047012329101| input type: 2| time:196
Reward is: 4.1654198234521065| input type: 2| time:257
Reward is: 5.786971109053668| input type: 2| time:313
Reward is: 4.495626071818824| input type: 2| time:386
Reward is: 4.270746343612671| input type: 2| time:457
Reward is: -5.546175606110516| input type: 2| time:518
Reward is: 4.543190363179082| input type: 2| time:579
Reward is: 6.1546468320100205| input type: 2| time:640
Reward is: 6.09788263130188| input type: 2| time:700
Reward is: -5.842507867252126| input type: 2| time:767
Reward is: 5.290739741532699| input type: 2| time:834
Reward is: 4.943386977651844| input type: 2| time:904
Reward is: 4.266680475234986| input type: 2| time:975
Reward is: 4.362076654197267| input type: 2| time:1048
Reward is: 3.602275363104684| input type: 2| time:1120
Reward is: 6.102351978045552| input type: 2| time:1188
Reward is: -5.864079868092256| input type: 2| time:1255
Reward is: -5.892837342093973| input type: 2| time:1338
Reward is: 6.261756063461304| input type: 2| time:1404
Reward is: 6.842558093692945| input type: 2| time:1470
Reward is: 8.413466257207535| input type: 2| time:1538
Reward is: 7.004070422228645| input type: 2| time:1596
Reward is: -2| input type: 2| time:1612
Reward is: 7.0716303446713615| input type: 2| time:1658
Reward is: 6.385802839113318| input type: 2| time:1714
Reward is: 5.549047149658203| input type: 2| time:1771
Reward is: 5.67034201714599| input type: 2| time:1829
Reward is: 7.117059434161467| input type: 2| time:1888
Reward is: 5.535467475891114| input type: 2| time:1945
Reward is: 7.113722471629872| input type: 2| time:2004
Reward is: -5.400223142960492| input type: 2| time:2063
Reward is: 5.432397852224462| input type: 2| time:2121
Reward is: 4.411674041333406| input type: 2| time:2179
Reward is: 5.472751397671907| input type: 2| time:2250
Reward is: 4.891697042477057| input type: 2| time:2323
Reward is: -6| input type: 2| time:2394
Reward is: 3.2908842860630583| input type: 2| time:2453
Reward is: 3.239851555960519| input type: 2| time:2510
Reward is: 3.3778471625959| input type: 2| time:2567
Reward is: -5.406405000125661| input type: 2| time:2626
Reward is: -5.310553073883057| input type: 2| time:2684
Reward is: 7.490790942135979| input type: 2| time:2757
Reward is: 5.575763090133667| input type: 2| time:2816
Reward is: 6.867086284300861| input type: 2| time:2872
Reward is: 6.977080289055319| input type: 2| time:2929
Reward is: 5.99933211699776| input type: 2| time:2988
Reward is: 5.653915655265734| input type: 2| time:3045
Reward is: -5.345110135919907| input type: 2| time:3103
Reward is: 7.518582077587352| input type: 2| time:3161
Reward is: 5.986440679301387| input type: 2| time:3221
Reward is: -5.0491956823012405| input type: 2| time:3292
Reward is: -5.06190952833961| input type: 2| time:3363
Reward is: 4.778386865615845| input type: 2| time:3434
Reward is: 4.815977385437604| input type: 2| time:3501
Reward is: 8.457149218110477| input type: 2| time:3585
Reward is: -5.896552913329181| input type: 2| time:3652
Reward is: 6.3980918178558355| input type: 2| time:3724
Reward is: 5.547073547363281| input type: 2| time:3782
Reward is: -5.399440428789925| input type: 2| time:3841
Reward is: 5.48760697000167| input type: 2| time:3899
Reward is: 4.184413854598999| input type: 2| time:3967
Reward is: 5.496842856968151| input type: 2| time:4026
Reward is: -5.423314879922306| input type: 2| time:4085
Reward is: 4.7921821460723875| input type: 2| time:4157
Reward is: 4.995390842956247| input type: 2| time:4229
Reward is: 4.386124608827674| input type: 2| time:4287
Reward is: 5.401609122051912| input type: 2| time:4345
Reward is: 4.795811244964599| input type: 2| time:4417
Reward is: 4.42896675856217| input type: 2| time:4476
Reward is: 4.786981561660767| input type: 2| time:4548
Reward is: 5.438332812926348| input type: 2| time:4606
Reward is: 4.173223014831543| input type: 2| time:4673
Reward is: 4.394242404271098| input type: 2| time:4742
Reward is: 7.000531362450641| input type: 2| time:4827
Reward is: 6.2410918102264406| input type: 2| time:4893
Reward is: 6.264705533566683| input type: 2| time:4957
Reward is: -5.878115499720854| input type: 2| time:5025
Reward is: 6.2878353233337405| input type: 2| time:5108
Reward is: 8.29818453508265| input type: 2| time:5175
Reward is: 6.99100897623145| input type: 2| time:5244
Reward is: 5.9576440945412354| input type: 2| time:5312
Reward is: 6.913387184557707| input type: 2| time:5380
Reward is: 7.831860563334297| input type: 2| time:5447
Reward is: 6.303957353591919| input type: 2| time:5516
Reward is: 5.963494754532008| input type: 2| time:5584
Reward is: 8.445457353311426| input type: 2| time:5653
Reward is: -5.883286307839787| input type: 2| time:5720
Reward is: 3.926970924377441| input type: 2| time:5777
Reward is: 3.931874849319458| input type: 2| time:5834
Reward is: 4.066158534948109| input type: 2| time:5892
Reward is: -5.3282351213343| input type: 2| time:5949
Reward is: 3.576600360052926| input type: 2| time:6020
Reward is: 5.888322328567504| input type: 2| time:6108
Reward is: 6.390132228851319| input type: 2| time:6180
Reward is: 6.068700450137981| input type: 2| time:6252
Reward is: 6.09010200593078| input type: 2| time:6325
Reward is: 7.467804305693683| input type: 2| time:6382
Reward is: -5.387825769536636| input type: 2| time:6441
Reward is: 5.631705811880167| input type: 2| time:6497
Reward is: 7.091490850729101| input type: 2| time:6557
Reward is: 6.142335020977518| input type: 2| time:6618
Reward is: 5.572592115402221| input type: 2| time:6677
Reward is: 5.591109325408936| input type: 2| time:6737
Reward is: 6.174579851835677| input type: 2| time:6795
Reward is: 5.582912225723266| input type: 2| time:6854
Reward is: 5.565867057800293| input type: 2| time:6913
Reward is: 7.096586122232325| input type: 2| time:6972
Reward is: 5.5768227329254145| input type: 2| time:7031
Reward is: 5.531811071395874| input type: 2| time:7088
