Time quotient is: 1.5246214389801025| input type: 2| time:80
Time quotient is: 0.6825865437002743| input type: 2| time:138
Time quotient is: 0.17901567077636718| input type: 2| time:196
Time quotient is: 0.2551399411507023| input type: 2| time:257
Time quotient is: 0.6289903696845559| input type: 2| time:313
Time quotient is: 0.36520869060627464| input type: 2| time:386
Time quotient is: 0.29024878120422365| input type: 2| time:457
Time quotient is: 1.5461756061105167| input type: 2| time:518
Time quotient is: 0.38106345439302747| input type: 2| time:579
Time quotient is: 0.38488227733667346| input type: 2| time:640
Time quotient is: 0.19929421043395995| input type: 2| time:700
Time quotient is: 1.8425078672521256| input type: 2| time:767
Time quotient is: 0.46357991384423297| input type: 2| time:834
Time quotient is: 0.5144623258839482| input type: 2| time:904
Time quotient is: 0.2888934917449951| input type: 2| time:975
Time quotient is: 0.5492636466371841| input type: 2| time:1048
Time quotient is: 0.29599654960632327| input type: 2| time:1120
Time quotient is: 0.9626887545866125| input type: 2| time:1188
Time quotient is: 1.8640798680922563| input type: 2| time:1255
Time quotient is: 1.8928373420939726| input type: 2| time:1338
Time quotient is: 0.2539186878204346| input type: 2| time:1404
Time quotient is: 0.4475193645643151| input type: 2| time:1470
Time quotient is: 0.971155419069178| input type: 2| time:1538
Time quotient is: 0.668023474076215| input type: 2| time:1596
Time quotient is: 0.6905434482237872| input type: 2| time:1658
Time quotient is: 0.2952676130377728| input type: 2| time:1714
Time quotient is: 0.18301571655273438| input type: 2| time:1771
Time quotient is: 0.2234473390486634| input type: 2| time:1829
Time quotient is: 0.7056864780538222| input type: 2| time:1888
Time quotient is: 0.1784891586303711| input type: 2| time:1945
Time quotient is: 0.7045741572099573| input type: 2| time:2004
Time quotient is: 1.4002231429604923| input type: 2| time:2063
Time quotient is: 0.6774659507414874| input type: 2| time:2121
Time quotient is: 0.3372246804444686| input type: 2| time:2179
Time quotient is: 0.5242504658906356| input type: 2| time:2250
Time quotient is: 0.5591371093971141| input type: 2| time:2323
Time quotient is: 2.150469695820528| input type: 2| time:2394
Time quotient is: 0.19219952392578124| input type: 2| time:2453
Time quotient is: 0.17518861389160156| input type: 2| time:2510
Time quotient is: 0.22118714943672846| input type: 2| time:2567
Time quotient is: 1.4064050001256607| input type: 2| time:2626
Time quotient is: 1.3105530738830566| input type: 2| time:2684
Time quotient is: 0.663596980711993| input type: 2| time:2757
Time quotient is: 0.19192103004455566| input type: 2| time:2816
Time quotient is: 0.6223620947669534| input type: 2| time:2872
Time quotient is: 0.6590267630184398| input type: 2| time:2929
Time quotient is: 0.3331107056659201| input type: 2| time:2988
Time quotient is: 0.217971885088578| input type: 2| time:3045
Time quotient is: 1.3451101359199076| input type: 2| time:3103
Time quotient is: 0.6728606925291174| input type: 2| time:3161
Time quotient is: 0.3288135597671288| input type: 2| time:3221
Time quotient is: 1.0491956823012407| input type: 2| time:3292
Time quotient is: 1.0619095283396103| input type: 2| time:3363
Time quotient is: 0.29279562187194824| input type: 2| time:3434
Time quotient is: 0.3053257951458681| input type: 2| time:3501
Time quotient is: 0.9857164060368258| input type: 2| time:3585
Time quotient is: 1.8965529133291805| input type: 2| time:3652
Time quotient is: 0.2993639392852783| input type: 2| time:3724
Time quotient is: 0.18235784912109376| input type: 2| time:3782
Time quotient is: 1.3994404287899243| input type: 2| time:3841
Time quotient is: 0.6958689900005565| input type: 2| time:3899
Time quotient is: 0.26147128486633303| input type: 2| time:3967
Time quotient is: 0.6989476189893835| input type: 2| time:4026
Time quotient is: 1.4233148799223059| input type: 2| time:4085
Time quotient is: 0.2973940486907959| input type: 2| time:4157
Time quotient is: 0.36513028098541556| input type: 2| time:4229
Time quotient is: 0.328708202942558| input type: 2| time:4287
Time quotient is: 0.6672030406839707| input type: 2| time:4345
Time quotient is: 0.2986037483215332| input type: 2| time:4417
Time quotient is: 0.34298891952072363| input type: 2| time:4476
Time quotient is: 0.2956605205535889| input type: 2| time:4548
Time quotient is: 0.6794442709754495| input type: 2| time:4606
Time quotient is: 0.25774100494384766| input type: 2| time:4673
Time quotient is: 0.3314141347570327| input type: 2| time:4742
Time quotient is: 0.5001771208168804| input type: 2| time:4827
Time quotient is: 0.24703060340881347| input type: 2| time:4893
Time quotient is: 0.4215685111888941| input type: 2| time:4957
Time quotient is: 1.878115499720854| input type: 2| time:5025
Time quotient is: 0.26261177444458006| input type: 2| time:5108
Time quotient is: 0.932728178360883| input type: 2| time:5175
Time quotient is: 0.4970029920771502| input type: 2| time:5244
Time quotient is: 0.31921469818041165| input type: 2| time:5312
Time quotient is: 0.4711290615192358| input type: 2| time:5380
Time quotient is: 0.9439535211114323| input type: 2| time:5447
Time quotient is: 0.26798578453063965| input type: 2| time:5516
Time quotient is: 0.32116491817733617| input type: 2| time:5584
Time quotient is: 0.9818191177704755| input type: 2| time:5653
Time quotient is: 1.8832863078397863| input type: 2| time:5720
Time quotient is: 0.17565697479248046| input type: 2| time:5777
Time quotient is: 0.17729161643981933| input type: 2| time:5834
Time quotient is: 0.22205284498270275| input type: 2| time:5892
Time quotient is: 1.3282351213343002| input type: 2| time:5949
Time quotient is: 0.2874382152557373| input type: 2| time:6020
Time quotient is: 0.29610744285583496| input type: 2| time:6108
Time quotient is: 0.2967107429504395| input type: 2| time:6180
Time quotient is: 0.356233483379327| input type: 2| time:6252
Time quotient is: 0.36336733531026005| input type: 2| time:6325
Time quotient is: 0.6559347685645608| input type: 2| time:6382
Time quotient is: 1.3878257695366354| input type: 2| time:6441
Time quotient is: 0.21056860396005575| input type: 2| time:6497
Time quotient is: 0.6971636169097003| input type: 2| time:6557
Time quotient is: 0.3807783403258393| input type: 2| time:6618
Time quotient is: 0.19086403846740724| input type: 2| time:6677
Time quotient is: 0.19703644180297852| input type: 2| time:6737
Time quotient is: 0.22485995061189226| input type: 2| time:6795
Time quotient is: 0.19430407524108886| input type: 2| time:6854
Time quotient is: 0.18862235260009766| input type: 2| time:6913
Time quotient is: 0.6988620407441083| input type: 2| time:6972
Time quotient is: 0.19227424430847168| input type: 2| time:7031
Time quotient is: 0.17727035713195802| input type: 2| time:7088
Time quotient is: 0.6542266467038322| input type: 2| time:7145
Time quotient is: 1.4160427626441507| input type: 2| time:7204
Time quotient is: 0.34059384940327075| input type: 2| time:7263
Time quotient is: 1.3785552557776957| input type: 2| time:7322
Time quotient is: 0.34234590806822845| input type: 2| time:7380
Time quotient is: 1.3730834792642033| input type: 2| time:7439
Time quotient is: 0.22027476551463304| input type: 2| time:7498
Time quotient is: 0.19464228057861327| input type: 2| time:7558
Time quotient is: 1.4722042364232681| input type: 2| time:7618
Time quotient is: 0.18876624488830565| input type: 2| time:7677
Time quotient is: 0.17504076957702636| input type: 2| time:7733
Time quotient is: 1.6198904935051412| input type: 2| time:7796
Time quotient is: 0.18312674140930177| input type: 2| time:7854
Time quotient is: 0.32715908340785815| input type: 2| time:7912
Time quotient is: 0.1806702575683594| input type: 2| time:7969
Time quotient is: 0.18727988815307617| input type: 2| time:8027
Time quotient is: 0.22107982635498047| input type: 2| time:8085
Time quotient is: 0.22329480902662555| input type: 2| time:8143
Time quotient is: 0.3259866272193798| input type: 2| time:8200
Time quotient is: 0.6994374359355253| input type: 2| time:8259
Time quotient is: 0.673531875890844| input type: 2| time:8317
Time quotient is: 0.1749022445678711| input type: 2| time:8374
Time quotient is: 0.3056048413981562| input type: 2| time:8430
