Reward is: -5.283769257863362| input type: 1| time:74
Reward is: 5.0| input type: 1| time:125
Reward is: 5.4| input type: 4| time:194
Reward is: 3.9| input type: 3| time:255
Reward is: 3.5| input type: 1| time:307
Reward is: -5.558939561843872| input type: 4| time:394
Reward is: 4.5| input type: 3| time:453
Reward is: -5.325750764211019| input type: 1| time:505
Reward is: -5.395467519760132| input type: 1| time:559
Reward is: 3.5| input type: 3| time:619
Reward is: 4.5| input type: 2| time:690
Reward is: 4.5| input type: 1| time:741
Reward is: 6.0| input type: 3| time:799
Reward is: 4.5| input type: 3| time:860
Reward is: 3.5| input type: 4| time:933
Reward is: -5.552022495269775| input type: 4| time:1004
Reward is: 5.5| input type: 1| time:1072
Reward is: 5.5| input type: 4| time:1143
Reward is: 5.5| input type: 2| time:1198
Reward is: 5.5| input type: 4| time:1270
Reward is: -2| input type: 4| time:1284
Reward is: -2| input type: 4| time:1287
Reward is: -2| input type: 4| time:1290
Reward is: -2| input type: 4| time:1294
Reward is: -2| input type: 4| time:1297
Reward is: -2| input type: 4| time:1300
Reward is: -2| input type: 4| time:1303
Reward is: -2| input type: 4| time:1306
Reward is: 5.5| input type: 4| time:1367
Reward is: 5.0| input type: 3| time:1429
Reward is: 5.5| input type: 1| time:1482
Reward is: 5.5| input type: 1| time:1535
Reward is: 5.5| input type: 2| time:1591
Reward is: 5.5| input type: 4| time:1663
Reward is: 5.5| input type: 1| time:1716
Reward is: 5.5| input type: 1| time:1768
Reward is: 5.5| input type: 4| time:1840
Reward is: 5.5| input type: 4| time:1911
Reward is: -5.436292970881743| input type: 2| time:1968
Reward is: 5.5| input type: 3| time:2029
Reward is: 5.5| input type: 1| time:2083
Reward is: 5.5| input type: 2| time:2141
Reward is: 5.5| input type: 1| time:2195
Reward is: 5.5| input type: 4| time:2266
Reward is: 5.5| input type: 2| time:2322
Reward is: 5.5| input type: 2| time:2379
Reward is: 5.5| input type: 3| time:2450
Reward is: 7.0| input type: 4| time:2518
Reward is: 5.5| input type: 3| time:2579
Reward is: -5.972198781967164| input type: 4| time:2661
Reward is: 7.0| input type: 3| time:2719
Reward is: 7.0| input type: 2| time:2773
Reward is: 7.0| input type: 1| time:2823
Reward is: 7.0| input type: 3| time:2883
Reward is: 7.0| input type: 3| time:2943
Reward is: 7.0| input type: 1| time:2994
Reward is: 6.0| input type: 2| time:3047
Reward is: 5.4| input type: 2| time:3101
Reward is: 6.0| input type: 4| time:3170
Reward is: -5.431411755712409| input type: 3| time:3245
Reward is: 4.5| input type: 2| time:3299
Reward is: 3.9| input type: 1| time:3351
Reward is: 3.5| input type: 3| time:3410
Reward is: -2| input type: 2| time:3424
Reward is: -2| input type: 2| time:3428
Reward is: -2| input type: 2| time:3431
Reward is: -2| input type: 2| time:3434
Reward is: -2| input type: 2| time:3437
Reward is: -2| input type: 2| time:3440
Reward is: -2| input type: 2| time:3443
Reward is: 3.5| input type: 2| time:3487
Reward is: 3.5| input type: 2| time:3541
Reward is: 3.5| input type: 4| time:3611
Reward is: 3.5| input type: 3| time:3671
Reward is: 3.5| input type: 1| time:3723
Reward is: 3.5| input type: 2| time:3778
Reward is: 3.5| input type: 3| time:3837
Reward is: 3.5| input type: 4| time:3908
Reward is: 3.5| input type: 1| time:3961
Reward is: -5.344839881448185| input type: 2| time:4016
Reward is: 3.5| input type: 4| time:4087
Reward is: 3.5| input type: 2| time:4141
Reward is: 3.5| input type: 1| time:4192
Reward is: 3.5| input type: 3| time:4252
