Time quotient is: 1.2837692578633626| input type: 1| time:74
Time quotient is: 0.21539894833284265| input type: 1| time:125
Time quotient is: 0.6910041394057097| input type: 4| time:194
Time quotient is: 0.1712183547742439| input type: 3| time:255
Time quotient is: 0.23006719981922824| input type: 1| time:307
Time quotient is: 1.5589395618438722| input type: 4| time:394
Time quotient is: 0.16883373260498047| input type: 3| time:453
Time quotient is: 1.325750764211019| input type: 1| time:505
Time quotient is: 1.3954675197601318| input type: 1| time:559
Time quotient is: 0.6758635218550519| input type: 3| time:619
Time quotient is: 0.188747989654541| input type: 2| time:690
Time quotient is: 0.16753162253986706| input type: 1| time:741
Time quotient is: 0.2272170301069293| input type: 3| time:799
Time quotient is: 0.2503975880773444| input type: 3| time:860
Time quotient is: 0.7473277736593176| input type: 4| time:933
Time quotient is: 1.5520224952697754| input type: 4| time:1004
Time quotient is: 0.23817885623258703| input type: 1| time:1072
Time quotient is: 0.1948678183555603| input type: 4| time:1143
Time quotient is: 0.22188764174007675| input type: 2| time:1198
Time quotient is: 0.19817797660827638| input type: 4| time:1270
Time quotient is: 0.3808814123565075| input type: 4| time:1367
Time quotient is: 0.2647926221814072| input type: 3| time:1429
Time quotient is: 0.3755497412248091| input type: 1| time:1482
Time quotient is: 0.1872196630998091| input type: 1| time:1535
Time quotient is: 0.3364931051281915| input type: 2| time:1591
Time quotient is: 0.7295970210322628| input type: 4| time:1663
Time quotient is: 0.1847506132992831| input type: 1| time:1716
Time quotient is: 0.18456657149574973| input type: 1| time:1768
Time quotient is: 0.3850513743419273| input type: 4| time:1840
Time quotient is: 0.2736220530101231| input type: 4| time:1911
Time quotient is: 1.4362929708817427| input type: 2| time:1968
Time quotient is: 0.17169731458028156| input type: 3| time:2029
Time quotient is: 0.1988177949732| input type: 1| time:2083
Time quotient is: 0.358117231424304| input type: 2| time:2141
Time quotient is: 0.7951537414833352| input type: 1| time:2195
Time quotient is: 0.27953638178961615| input type: 4| time:2266
Time quotient is: 0.34130298573037854| input type: 2| time:2322
Time quotient is: 0.1883546085357666| input type: 2| time:2379
Time quotient is: 0.23443197481559985| input type: 3| time:2450
Time quotient is: 0.256579509803227| input type: 4| time:2518
Time quotient is: 0.7134346147862877| input type: 3| time:2579
Time quotient is: 1.9721987819671631| input type: 4| time:2661
Time quotient is: 0.3139845016526013| input type: 3| time:2719
Time quotient is: 0.212484607418764| input type: 2| time:2773
Time quotient is: 0.1621138659390536| input type: 1| time:2823
Time quotient is: 0.16442180691343367| input type: 3| time:2883
Time quotient is: 0.16884307861328124| input type: 3| time:2943
Time quotient is: 0.1691890759901567| input type: 1| time:2994
Time quotient is: 0.16932657432556153| input type: 2| time:3047
Time quotient is: 0.16924570083618165| input type: 2| time:3101
Time quotient is: 0.1834062147140503| input type: 4| time:3170
Time quotient is: 1.4314117557124089| input type: 3| time:3245
Time quotient is: 0.6403974855647367| input type: 2| time:3299
Time quotient is: 0.3235906037417325| input type: 1| time:3351
Time quotient is: 0.3306141888223043| input type: 3| time:3410
Time quotient is: 0.17437905502319337| input type: 2| time:3487
Time quotient is: 0.2149400456437787| input type: 2| time:3541
Time quotient is: 0.6846492202193649| input type: 4| time:3611
Time quotient is: 0.16531392155271588| input type: 3| time:3671
Time quotient is: 0.7184781939895065| input type: 1| time:3723
Time quotient is: 0.3246535563814467| input type: 2| time:3778
Time quotient is: 0.1621103200045499| input type: 3| time:3837
Time quotient is: 0.19152469396591187| input type: 4| time:3908
Time quotient is: 0.3401082082228227| input type: 1| time:3961
Time quotient is: 1.3448398814481848| input type: 2| time:4016
Time quotient is: 0.18985504269599915| input type: 4| time:4087
Time quotient is: 0.20923833245212592| input type: 2| time:4141
Time quotient is: 0.16809164394031872| input type: 1| time:4192
Time quotient is: 0.3335571899646666| input type: 3| time:4252
Time quotient is: 0.3629287691677318| input type: 1| time:4315
Time quotient is: 0.3308395728832338| input type: 3| time:4375
Time quotient is: 0.16652180498296565| input type: 1| time:4425
Time quotient is: 0.3352431080558083| input type: 1| time:4476
Time quotient is: 0.22658218776478486| input type: 1| time:4527
Time quotient is: 0.1663103840567849| input type: 1| time:4578
Time quotient is: 0.35798825235927806| input type: 4| time:4662
Time quotient is: 0.6828793552186754| input type: 4| time:4732
Time quotient is: 0.6913457005112259| input type: 1| time:4783
Time quotient is: 0.3680213736552818| input type: 4| time:4853
Time quotient is: 0.1800353717803955| input type: 4| time:4921
Time quotient is: 0.3307300784371116| input type: 1| time:4987
Time quotient is: 0.16290301265138568| input type: 3| time:5046
Time quotient is: 0.16898936791853472| input type: 1| time:5097
Time quotient is: 0.6783946752548218| input type: 4| time:5166
Time quotient is: 0.16979925632476806| input type: 1| time:5217
Time quotient is: 0.31755104006790535| input type: 3| time:5276
Time quotient is: 0.16634997454556552| input type: 3| time:5336
Time quotient is: 0.6378826113308177| input type: 2| time:5390
Time quotient is: 1.2425352732340496| input type: 1| time:5441
Time quotient is: 1.4636662508312024| input type: 3| time:5502
Time quotient is: 0.2654649870736258| input type: 4| time:5571
Time quotient is: 0.17530013084411622| input type: 2| time:5626
Time quotient is: 0.23465234354922646| input type: 3| time:5685
Time quotient is: 0.6459674133973963| input type: 2| time:5739
Time quotient is: 0.6921548225261547| input type: 4| time:5811
Time quotient is: 1.5215270614624024| input type: 4| time:5882
Time quotient is: 0.21232525584767165| input type: 2| time:5936
Time quotient is: 0.16664434490781843| input type: 3| time:5996
Time quotient is: 0.2261535784777473| input type: 1| time:6048
Time quotient is: 0.18958736658096315| input type: 4| time:6118
Time quotient is: 0.16081954204674923| input type: 3| time:6177
Time quotient is: 0.1662466135892001| input type: 1| time:6228
Time quotient is: 0.21055484940023983| input type: 1| time:6278
Time quotient is: 0.16326868028351754| input type: 3| time:6337
