Reward is: -5.5557730038960775| input type: 2| time:79
Reward is: 6.5739185395448105| input type: 2| time:139
Reward is: -6| input type: 2| time:210
Reward is: 6.590142830558445| input type: 2| time:281
Reward is: -5.231602332171272| input type: 2| time:337
Reward is: 6.103666655068259| input type: 2| time:393
Reward is: 5.677830307229051| input type: 2| time:451
Reward is: 6.0433042526245115| input type: 2| time:508
Reward is: 5.605576755931077| input type: 2| time:564
Reward is: 3.935029830932617| input type: 2| time:621
Reward is: 4.032156367440825| input type: 2| time:678
Reward is: 4.859394651910533| input type: 2| time:735
Reward is: -5.882492836783914| input type: 2| time:801
Reward is: 4.133947326660156| input type: 2| time:867
Reward is: 4.627349401473999| input type: 2| time:932
Reward is: 6.918424658153368| input type: 2| time:1018
Reward is: 6.235374902725219| input type: 2| time:1083
Reward is: 6.282845567703247| input type: 2| time:1151
Reward is: 5.7592450466156| input type: 2| time:1217
Reward is: 6.267831691741943| input type: 2| time:1285
Reward is: 4.637184791564941| input type: 2| time:1351
Reward is: 4.143728374481201| input type: 2| time:1417
Reward is: -5.934683393029606| input type: 2| time:1485
Reward is: 3.0926297353108723| input type: 2| time:1551
Reward is: -6| input type: 2| time:1621
Reward is: -5.965180102516623| input type: 2| time:1689
Reward is: -2| input type: 2| time:1705
Reward is: -5.860353161306942| input type: 2| time:1759
Reward is: -5.875163793563843| input type: 2| time:1842
Reward is: 8.03720812175585| input type: 2| time:1900
Reward is: 7.545724002838135| input type: 2| time:1958
Reward is: 6.18656522556416| input type: 2| time:2016
Reward is: 6.120792644500733| input type: 2| time:2077
Reward is: 7.847068513140959| input type: 2| time:2139
Reward is: 7.929087246165556| input type: 2| time:2203
Reward is: 6.149692363739014| input type: 2| time:2265
Reward is: -2| input type: 2| time:2282
Reward is: -5.329536199569702| input type: 2| time:2327
Reward is: 5.5630243911743165| input type: 2| time:2385
Reward is: 5.548370838165283| input type: 2| time:2443
Reward is: 6.012792234835418| input type: 2| time:2501
Reward is: -5.384397310369155| input type: 2| time:2560
Reward is: 6.128253536316955| input type: 2| time:2616
Reward is: -5.3635594424079445| input type: 2| time:2674
Reward is: 6.253185623168945| input type: 2| time:2741
Reward is: -5.343240134856281| input type: 2| time:2800
Reward is: 7.066312502412235| input type: 2| time:2859
Reward is: 6.997964473331676| input type: 2| time:2916
Reward is: 5.576861934661865| input type: 2| time:2975
Reward is: -5.408107897814583| input type: 2| time:3034
Reward is: 6.598248442399849| input type: 2| time:3107
Reward is: 6.397925632476807| input type: 2| time:3179
Reward is: 6.60051891410235| input type: 2| time:3252
Reward is: 6.587388964532648| input type: 2| time:3324
Reward is: 6.381180271148682| input type: 2| time:3395
Reward is: 7.473319018588347| input type: 2| time:3458
Reward is: 7.8499952414456535| input type: 2| time:3525
Reward is: -5.616548636380363| input type: 2| time:3588
Reward is: -5.473292757483089| input type: 2| time:3648
Reward is: 6.783048826715221| input type: 2| time:3712
Reward is: 7.5633385812535| input type: 2| time:3776
Reward is: 7.419944573851192| input type: 2| time:3839
Reward is: 6.075292193371316| input type: 2| time:3899
Reward is: 5.716143083572388| input type: 2| time:3964
Reward is: 5.82564478013122| input type: 2| time:4027
Reward is: 5.806008531051932| input type: 2| time:4090
Reward is: 6.089104063034058| input type: 2| time:4149
Reward is: 5.581529584884644| input type: 2| time:4209
Reward is: -5.310265863642973| input type: 2| time:4266
Reward is: 6.0379675693511965| input type: 2| time:4324
Reward is: 6.053726615905762| input type: 2| time:4382
Reward is: -5.3753407141741585| input type: 2| time:4440
Reward is: -5.349654351963716| input type: 2| time:4498
Reward is: 6.070233671188355| input type: 2| time:4556
Reward is: 6.512976449468861| input type: 2| time:4615
Reward is: 6.159692192540586| input type: 2| time:4674
Reward is: -5.442570924758911| input type: 2| time:4733
Reward is: 6.038714611053467| input type: 2| time:4791
Reward is: 6.469043410342673| input type: 2| time:4848
Reward is: 6.040338304519653| input type: 2| time:4906
Reward is: 6.064180599212646| input type: 2| time:4964
Reward is: 7.702619440415326| input type: 2| time:5023
Reward is: 6.251090369178254| input type: 2| time:5084
Reward is: 6.2940696558906035| input type: 2| time:5146
Reward is: 6.65961768316186| input type: 2| time:5208
Reward is: 7.765471802038305| input type: 2| time:5268
Reward is: 6.524311190066131| input type: 2| time:5327
Reward is: 6.547570601753566| input type: 2| time:5386
Reward is: -5.427138819414027| input type: 2| time:5445
Reward is: 6.219504182778516| input type: 2| time:5505
Reward is: -5.426184752408195| input type: 2| time:5564
Reward is: 7.675116132287418| input type: 2| time:5624
Reward is: 6.08689426612854| input type: 2| time:5683
Reward is: 7.733334688579335| input type: 2| time:5744
Reward is: 6.1452460193634035| input type: 2| time:5806
Reward is: 8.042960145894218| input type: 2| time:5869
Reward is: 5.720584518432617| input type: 2| time:5934
Reward is: 7.258354670861188| input type: 2| time:5995
Reward is: 6.401754913978206| input type: 2| time:6061
Reward is: 8.1133054003996| input type: 2| time:6126
Reward is: 6.373004583358765| input type: 2| time:6197
Reward is: 6.1291756992340085| input type: 2| time:6258
Reward is: 6.363090143203736| input type: 2| time:6329
Reward is: 6.119985927581787| input type: 2| time:6390
Reward is: 6.231326755523682| input type: 2| time:6455
Reward is: -5.614761100095861| input type: 2| time:6520
Reward is: 7.906974294606377| input type: 2| time:6582
Reward is: 7.645015162580154| input type: 2| time:6641
Reward is: 7.11860326062078| input type: 2| time:6713
Reward is: -5.852406712139354| input type: 2| time:6780
Reward is: 8.005952393307405| input type: 2| time:6843
Reward is: 7.7582866374184105| input type: 2| time:6903
Reward is: 7.62196726658765| input type: 2| time:6962
Reward is: 6.386500143051148| input type: 2| time:7034
Reward is: 6.5574729419449| input type: 2| time:7105
Reward is: 7.124951766884845| input type: 2| time:7178
Reward is: 7.664869462742525| input type: 2| time:7237
Reward is: -5.445990436217365| input type: 2| time:7297
Reward is: 6.588094897892164| input type: 2| time:7357
Reward is: 6.074540369033813| input type: 2| time:7416
Reward is: 7.730306274750653| input type: 2| time:7476
Reward is: 7.845824956893921| input type: 2| time:7538
Reward is: -5.488971499835744| input type: 2| time:7598
Reward is: 7.614421949667089| input type: 2| time:7657
Reward is: -5.466053387698006| input type: 2| time:7717
Reward is: -5.38966435544631| input type: 2| time:7775
Reward is: 6.107757474899292| input type: 2| time:7836
Reward is: 6.189639637771162| input type: 2| time:7894
Reward is: 6.081448532104492| input type: 2| time:7953
Reward is: 6.206528096523099| input type: 2| time:8012
Reward is: 7.670900225639343| input type: 2| time:8072
Reward is: 7.64954357287463| input type: 2| time:8131
Reward is: 6.077245283126831| input type: 2| time:8190
Reward is: 6.06622497177124| input type: 2| time:8248
Reward is: 7.715228641734404| input type: 2| time:8308
Reward is: 6.043613306526999| input type: 2| time:8381
Reward is: 6.062372284028137| input type: 2| time:8453
Reward is: 5.8737733345031735| input type: 2| time:8524
Reward is: 7.638237104696386| input type: 2| time:8583
Reward is: 5.886290710449218| input type: 2| time:8655
Reward is: 6.053447982639942| input type: 2| time:8726
Reward is: 5.866352848052978| input type: 2| time:8797
Reward is: 6.585649003153263| input type: 2| time:8869
Reward is: 7.593709931654089| input type: 2| time:8927
Reward is: 6.013821224564488| input type: 2| time:8997
Reward is: 6.048033177273945| input type: 2| time:9068
Reward is: 6.051643253530114| input type: 2| time:9139
Reward is: 7.642795450547162| input type: 2| time:9198
Reward is: -5.457394207225127| input type: 2| time:9257
Reward is: 6.081720066070557| input type: 2| time:9317
Reward is: 6.205474490100897| input type: 2| time:9376
Reward is: 6.587800575339276| input type: 2| time:9436
Reward is: 6.078354473114014| input type: 2| time:9495
Reward is: 7.690878370228935| input type: 2| time:9555
Reward is: 7.768487698891583| input type: 2| time:9616
Reward is: 6.5448259581690245| input type: 2| time:9675
Reward is: 6.553064657294232| input type: 2| time:9734
Reward is: 6.5203937965890635| input type: 2| time:9792
Reward is: 6.0976617603302| input type: 2| time:9852
Reward is: -5.416696576511159| input type: 2| time:9911
Reward is: 6.100237138748169| input type: 2| time:9971
Reward is: 6.571852134621661| input type: 2| time:10031
Reward is: 6.210256544131677| input type: 2| time:10090
Reward is: 6.134190093994141| input type: 2| time:10151
Reward is: 5.620665042877198| input type: 2| time:10214
Reward is: 5.628825481414795| input type: 2| time:10275
Reward is: 6.08543104171753| input type: 2| time:10335
Reward is: 6.065754304885864| input type: 2| time:10393
Reward is: 6.1016114196777345| input type: 2| time:10453
Reward is: -5.420142594505759| input type: 2| time:10512
Reward is: 6.081230808258057| input type: 2| time:10570
Reward is: -5.438239911023308| input type: 2| time:10630
Reward is: 6.17041867450603| input type: 2| time:10687
Reward is: 6.053548791885376| input type: 2| time:10745
Reward is: 6.069142122268676| input type: 2| time:10804
Reward is: 6.048229480743409| input type: 2| time:10862
Reward is: 7.569716677946203| input type: 2| time:10920
Reward is: 6.054879299645285| input type: 2| time:10991
Reward is: 6.5664942782858144| input type: 2| time:11062
Reward is: 5.881752721786499| input type: 2| time:11134
Reward is: 6.0660431639662065| input type: 2| time:11206
Reward is: 5.852641195297241| input type: 2| time:11276
Reward is: -5.260368010577034| input type: 2| time:11332
Reward is: 5.872034301757813| input type: 2| time:11403
Reward is: 6.041056447816127| input type: 2| time:11473
Reward is: -6| input type: 2| time:11545
Reward is: 6.090232231084583| input type: 2| time:11618
Reward is: 6.04897372468004| input type: 2| time:11689
Reward is: 6.462325572967529| input type: 2| time:11746
Reward is: 6.051562578201294| input type: 2| time:11804
Reward is: 6.068498706817627| input type: 2| time:11862
Reward is: 6.07700026512146| input type: 2| time:11921
Reward is: 6.049107345581055| input type: 2| time:11979
Reward is: 6.159538169508998| input type: 2| time:12036
Reward is: 6.016865196228028| input type: 2| time:12092
Reward is: 7.592521765652824| input type: 2| time:12150
Reward is: 5.850156133651733| input type: 2| time:12221
Reward is: 5.887873966217041| input type: 2| time:12293
Reward is: 6.440257549285889| input type: 2| time:12350
Reward is: 6.495270894921344| input type: 2| time:12407
Reward is: 5.881676149368286| input type: 2| time:12479
Reward is: 5.855245332717896| input type: 2| time:12549
Reward is: 5.879882802963257| input type: 2| time:12620
Reward is: 5.883925886154175| input type: 2| time:12694
Reward is: 6.052836258434555| input type: 2| time:12765
Reward is: 5.900725887298584| input type: 2| time:12838
Reward is: -5.2993879318237305| input type: 2| time:12895
Reward is: -5.382476624320535| input type: 2| time:12953
Reward is: 7.551629311898175| input type: 2| time:13011
Reward is: 6.022000083645571| input type: 2| time:13081
Reward is: 6.02688949547925| input type: 2| time:13152
Reward is: 6.074715757832944| input type: 2| time:13224
Reward is: 7.589818561778349| input type: 2| time:13284
Reward is: 5.869550281524658| input type: 2| time:13355
Reward is: 6.022167293770799| input type: 2| time:13425
Reward is: 7.472777520909029| input type: 2| time:13482
Reward is: 6.0695591735839844| input type: 2| time:13541
Reward is: 7.488435352549834| input type: 2| time:13598
Reward is: 6.042585191726684| input type: 2| time:13656
Reward is: 6.517766537873642| input type: 2| time:13714
Reward is: 6.136724240571549| input type: 2| time:13770
Reward is: 6.061995302589194| input type: 2| time:13841
Reward is: 6.100267824617404| input type: 2| time:13914
Reward is: 6.091381299842908| input type: 2| time:13987
Reward is: 5.916205806732178| input type: 2| time:14060
Reward is: 7.542205060229582| input type: 2| time:14118
Reward is: 6.53205100349758| input type: 2| time:14177
Reward is: -5.882205275928273| input type: 2| time:14244
Reward is: -5.919316838769352| input type: 2| time:14311
Reward is: 5.755457178115845| input type: 2| time:14378
Reward is: 6.30777003288269| input type: 2| time:14447
Reward is: 8.098911430524744| input type: 2| time:14507
Reward is: -5.450204386430628| input type: 2| time:14567
Reward is: 8.035879974779876| input type: 2| time:14625
Reward is: 9.078336393131929| input type: 2| time:14684
Reward is: 6.371126808166504| input type: 2| time:14755
Reward is: 9.130989292088676| input type: 2| time:14814
Reward is: 9.098748718990999| input type: 2| time:14872
Reward is: -5.3806780506582825| input type: 2| time:14931
Reward is: 9.166499193976907| input type: 2| time:14990
Reward is: 6.369276361465454| input type: 2| time:15062
Reward is: 6.3637066822052| input type: 2| time:15132
Reward is: 7.120984782343326| input type: 2| time:15204
Reward is: 7.114796482998392| input type: 2| time:15276
Reward is: 6.535649142219025| input type: 2| time:15347
Reward is: 6.532263781260518| input type: 2| time:15417
Reward is: 6.339715076446533| input type: 2| time:15487
Reward is: 6.359507158279419| input type: 2| time:15558
Reward is: 6.386266088485717| input type: 2| time:15629
Reward is: 6.383747661590576| input type: 2| time:15701
Reward is: 6.547306741325601| input type: 2| time:15772
Reward is: 6.381176568984985| input type: 2| time:15843
Reward is: 7.806012013379265| input type: 2| time:15905
Reward is: 6.644634360852448| input type: 2| time:15966
Reward is: 7.778124023886288| input type: 2| time:16026
Reward is: 7.704971390611985| input type: 2| time:16086
Reward is: 6.104610160827637| input type: 2| time:16146
Reward is: 6.128040370941162| input type: 2| time:16207
Reward is: -5.523536920547485| input type: 2| time:16268
Reward is: -6| input type: 2| time:16340
Reward is: 6.379542615890503| input type: 2| time:16411
Reward is: 6.5960462715314785| input type: 2| time:16472
Reward is: 7.706395065083223| input type: 2| time:16532
Reward is: 7.692595783401938| input type: 2| time:16591
Reward is: 7.645586967468262| input type: 2| time:16651
Reward is: 6.105011121749878| input type: 2| time:16711
Reward is: 6.55745123780292| input type: 2| time:16770
Reward is: 6.220710201170838| input type: 2| time:16829
Reward is: 6.063755182266235| input type: 2| time:16887
Reward is: 7.710468993467443| input type: 2| time:16947
Reward is: 6.072437162399292| input type: 2| time:17006
Reward is: 6.237288523646234| input type: 2| time:17066
Reward is: 6.081764268875122| input type: 2| time:17125
Reward is: 6.573060468562598| input type: 2| time:17197
Reward is: 6.391214107513427| input type: 2| time:17269
Reward is: -6| input type: 2| time:17341
Reward is: 6.589667237323264| input type: 2| time:17413
Reward is: -6| input type: 2| time:17483
Reward is: 6.383094799041748| input type: 2| time:17555
Reward is: 6.534124793358219| input type: 2| time:17625
Reward is: 6.346833433151245| input type: 2| time:17695
Reward is: 6.374828479766846| input type: 2| time:17767
Reward is: 9.006630385623259| input type: 2| time:17825
Reward is: 8.022368234136831| input type: 2| time:17883
Reward is: 7.562650621414185| input type: 2| time:17941
Reward is: 9.101702367558199| input type: 2| time:18000
Reward is: 7.6033112335205075| input type: 2| time:18060
Reward is: 7.579131160736084| input type: 2| time:18119
Reward is: 6.5554152692405925| input type: 2| time:18190
Reward is: 6.3571648616790775| input type: 2| time:18261
Reward is: 6.5528032941725645| input type: 2| time:18332
Reward is: 7.062094190846318| input type: 2| time:18402
Reward is: 6.405422960281372| input type: 2| time:18475
Reward is: 6.404238759994507| input type: 2| time:18547
Reward is: 7.115547522254612| input type: 2| time:18619
Reward is: 6.416310548782349| input type: 2| time:18693
Reward is: 7.794869549134198| input type: 2| time:18753
Reward is: 6.199640225438238| input type: 2| time:18812
Reward is: 7.7384313064463| input type: 2| time:18873
Reward is: 6.2228009492448235| input type: 2| time:18932
Reward is: -6| input type: 2| time:19005
Reward is: 6.391172668457031| input type: 2| time:19077
Reward is: 5.776899883270263| input type: 2| time:19123
Reward is: 6.396922677993774| input type: 2| time:19196
Reward is: 7.75390874638277| input type: 2| time:19256
Reward is: 7.808868597535526| input type: 2| time:19317
Reward is: 6.63441104474275| input type: 2| time:19378
Reward is: -5.52715851278866| input type: 2| time:19438
Reward is: -5.405092295478372| input type: 2| time:19497
Reward is: 6.185062487148544| input type: 2| time:19556
Reward is: 7.71453881964964| input type: 2| time:19616
Reward is: -6| input type: 2| time:19688
Reward is: -6| input type: 2| time:19760
Reward is: 6.379533781051636| input type: 2| time:19831
Reward is: 7.886339713545406| input type: 2| time:19892
Reward is: 6.5820781073523955| input type: 2| time:19964
Reward is: 6.43730177116394| input type: 2| time:20038
Reward is: 6.383538932800293| input type: 2| time:20109
Reward is: 6.59166180508808| input type: 2| time:20181
Reward is: 6.619295884104608| input type: 2| time:20254
Reward is: 6.41884174156189| input type: 2| time:20328
Reward is: -5.111599017592037| input type: 2| time:20400
Reward is: 6.3803975353240965| input type: 2| time:20472
Reward is: 6.615533680591769| input type: 2| time:20545
Reward is: 6.5912803237878| input type: 2| time:20617
Reward is: 6.606170288567404| input type: 2| time:20690
Reward is: 7.153508124144181| input type: 2| time:20762
Reward is: 7.166107965552289| input type: 2| time:20835
Reward is: 7.097523046576459| input type: 2| time:20907
Reward is: 6.584284386588532| input type: 2| time:20979
Reward is: 6.569832602750908| input type: 2| time:21051
Reward is: -6| input type: 2| time:21122
Reward is: 6.592695744141288| input type: 2| time:21182
Reward is: 7.698489364455728| input type: 2| time:21242
Reward is: 6.112443986146346| input type: 2| time:21302
Reward is: -5.5150242412791535| input type: 2| time:21363
Reward is: 5.624877841949463| input type: 2| time:21423
Reward is: 6.102335859298706| input type: 2| time:21484
Reward is: 6.222229487687638| input type: 2| time:21543
Reward is: 6.2343339966338815| input type: 2| time:21603
Reward is: 5.619615688323974| input type: 2| time:21664
Reward is: 7.0873160081751205| input type: 2| time:21723
Reward is: 6.0634829511920225| input type: 2| time:21794
Reward is: 5.859783704757691| input type: 2| time:21864
Reward is: 6.055944773757342| input type: 2| time:21936
Reward is: 6.060175356657609| input type: 2| time:21995
Reward is: 6.048020311023878| input type: 2| time:22054
Reward is: 6.094559731690779| input type: 2| time:22114
Reward is: 5.736748394456882| input type: 2| time:22174
Reward is: 6.188237764302967| input type: 2| time:22233
Reward is: 6.565651354582414| input type: 2| time:22292
Reward is: 6.554654007372649| input type: 2| time:22351
Reward is: 6.217287216371703| input type: 2| time:22411
Reward is: 6.595778942108154| input type: 2| time:22471
Reward is: 5.866090955734252| input type: 2| time:22541
Reward is: 6.045165293425033| input type: 2| time:22612
Reward is: 5.8842418689727785| input type: 2| time:22684
Reward is: -6| input type: 2| time:22757
Reward is: 6.045878320064359| input type: 2| time:22828
Reward is: 5.929880941390991| input type: 2| time:22902
Reward is: 6.076037307387416| input type: 2| time:22974
Reward is: -5.810033615897684| input type: 2| time:23040
Reward is: -5.832982484032126| input type: 2| time:23106
Reward is: 5.7830003490448| input type: 2| time:23174
Reward is: 7.60184846906101| input type: 2| time:23232
Reward is: 7.8193336935604325| input type: 2| time:23293
Reward is: 5.625224546432495| input type: 2| time:23354
Reward is: 7.451990891905392| input type: 2| time:23417
Reward is: 5.611903606414795| input type: 2| time:23477
Reward is: 6.379156520843506| input type: 2| time:23549
Reward is: 6.388099660873413| input type: 2| time:23621
Reward is: 7.245823769008412| input type: 2| time:23681
Reward is: 6.150711069936338| input type: 2| time:23742
Reward is: 6.2163173219432| input type: 2| time:23805
Reward is: 6.394881229400635| input type: 2| time:23878
Reward is: 6.066556210656768| input type: 2| time:23949
Reward is: -6| input type: 2| time:24021
Reward is: 7.74193908887751| input type: 2| time:24081
Reward is: 7.746321019004373| input type: 2| time:24141
Reward is: -5.276762990390553| input type: 2| time:24198
Reward is: 6.056837434768677| input type: 2| time:24256
Reward is: -5.420101656633265| input type: 2| time:24315
Reward is: 6.068639060725337| input type: 2| time:24374
Reward is: 6.2746050612440385| input type: 2| time:24436
Reward is: 7.653754178215475| input type: 2| time:24495
Reward is: -5.466479329501881| input type: 2| time:24555
Reward is: 6.1097991695404055| input type: 2| time:24615
Reward is: 6.587310744720755| input type: 2| time:24687
Reward is: 7.1312644481658936| input type: 2| time:24759
Reward is: -6| input type: 2| time:24832
Reward is: 7.790178712676553| input type: 2| time:24892
Reward is: -6| input type: 2| time:24966
Reward is: 6.6320022914720616| input type: 2| time:25026
Reward is: 6.117431497573852| input type: 2| time:25089
Reward is: 7.595064758300781| input type: 2| time:25149
Reward is: 7.715332630768563| input type: 2| time:25208
Reward is: 8.031144308007281| input type: 2| time:25267
Reward is: 7.571051357269287| input type: 2| time:25325
Reward is: 8.031754472981328| input type: 2| time:25384
Reward is: 7.560726549148559| input type: 2| time:25442
