Time quotient is: 0.6180738380977085| input type: 2| time:81 | latency: 21.6325843334198
Time quotient is: 0.6106654507773263| input type: 2| time:137 | latency: 21.37329077720642
Time quotient is: 0.6519874708993094| input type: 2| time:194 | latency: 22.81956148147583
Time quotient is: 0.6755649771009172| input type: 2| time:253 | latency: 23.644774198532104
Time quotient is: 0.6023455824170794| input type: 2| time:308 | latency: 21.08209538459778
Time quotient is: 0.6010266440255302| input type: 2| time:363 | latency: 21.035932540893555
Time quotient is: 0.6947110039847237| input type: 2| time:422 | latency: 24.314885139465332
Time quotient is: 0.8946982996804373| input type: 2| time:488 | latency: 31.314440488815308
Time quotient is: 0.880918196269444| input type: 2| time:553 | latency: 30.832136869430542
Time quotient is: 0.8933941159929548| input type: 2| time:619 | latency: 31.268794059753418
Time quotient is: 0.6396187850407191| input type: 2| time:675 | latency: 22.38665747642517
Time quotient is: 0.6732880864824567| input type: 2| time:734 | latency: 23.565083026885986
Time quotient is: 0.6069054058619908| input type: 2| time:789 | latency: 21.241689205169678
Time quotient is: 0.8927779333932059| input type: 2| time:854 | latency: 31.247227668762207
Time quotient is: 0.9590059280395508| input type: 2| time:922 | latency: 33.56520748138428
Time quotient is: 0.8874168395996094| input type: 2| time:988 | latency: 31.059589385986328
Time quotient is: 0.9787959916251047| input type: 2| time:1056 | latency: 34.25785970687866
Time quotient is: 0.8966862882886614| input type: 2| time:1122 | latency: 31.38402009010315
Time quotient is: 0.8869131973811558| input type: 2| time:1188 | latency: 31.041961908340454
Time quotient is: 0.9678598744528634| input type: 2| time:1256 | latency: 33.87509560585022
Time quotient is: 0.9208952086312431| input type: 2| time:1323 | latency: 32.231332302093506
Time quotient is: 0.9457227775028774| input type: 2| time:1391 | latency: 33.10029721260071
Time quotient is: 0.9378408227648054| input type: 2| time:1458 | latency: 32.82442879676819
Time quotient is: 0.9682790960584368| input type: 2| time:1527 | latency: 33.88976836204529
Time quotient is: 0.8962243488856725| input type: 2| time:1593 | latency: 31.367852210998535
Time quotient is: 0.9602204867771693| input type: 2| time:1661 | latency: 33.60771703720093
Time quotient is: 0.8895079953329904| input type: 2| time:1726 | latency: 31.132779836654663
Time quotient is: 0.8842627457209996| input type: 2| time:1792 | latency: 30.949196100234985
Time quotient is: 0.8855626242501395| input type: 2| time:1857 | latency: 30.994691848754883
Time quotient is: 0.9491374424525669| input type: 2| time:1925 | latency: 33.219810485839844
Time quotient is: 0.8864196981702532| input type: 2| time:1990 | latency: 31.024689435958862
Time quotient is: 0.9063515322549003| input type: 2| time:2056 | latency: 31.72230362892151
Time quotient is: 0.8970906598227365| input type: 2| time:2121 | latency: 31.398173093795776
Time quotient is: 0.8818751062665667| input type: 2| time:2187 | latency: 30.865628719329834
Time quotient is: 0.8835150105612618| input type: 2| time:2252 | latency: 30.923025369644165
Time quotient is: 0.9081349645342146| input type: 2| time:2318 | latency: 31.78472375869751
Time quotient is: 0.9309578827449254| input type: 2| time:2385 | latency: 32.58352589607239
Time quotient is: 0.8897942883627755| input type: 2| time:2451 | latency: 31.142800092697144
