Reward is: -5.508475875854492| input type: 2| time:80
Reward is: -5.191687934538898| input type: 2| time:135
Reward is: 5.520992859451561| input type: 2| time:206
Reward is: 5.5210186604414515| input type: 2| time:263
Reward is: 5.575483479476443| input type: 2| time:318
Reward is: -5.187430297627168| input type: 2| time:373
Reward is: 5.5106295729668995| input type: 2| time:439
Reward is: 5.509854732782654| input type: 2| time:497
Reward is: -2| input type: 2| time:514
Reward is: 7.00955521767377| input type: 2| time:557
Reward is: -2| input type: 2| time:573
Reward is: -2| input type: 2| time:578
Reward is: -5.238318639643052| input type: 2| time:621
Reward is: -2| input type: 2| time:638
Reward is: -2| input type: 2| time:642
Reward is: 7.071696153689549| input type: 2| time:685
Reward is: 6.020722173710126| input type: 2| time:740
Reward is: 7.020679798254544| input type: 2| time:811
Reward is: 7.009753566175771| input type: 2| time:869
Reward is: 5.4124093837443725| input type: 2| time:926
Reward is: 5.509637966626513| input type: 2| time:998
Reward is: -2| input type: 2| time:1014
Reward is: -2| input type: 2| time:1018
Reward is: 3.9096101153810987| input type: 2| time:1062
Reward is: 5.521766354795158| input type: 2| time:1135
Reward is: 5.574931968972409| input type: 2| time:1191
Reward is: 5.577190196348314| input type: 2| time:1247
Reward is: 5.509664584667998| input type: 2| time:1303
Reward is: 5.50962656032272| input type: 2| time:1359
Reward is: 3.9096657673568598| input type: 2| time:1415
Reward is: 3.2238830243926535| input type: 2| time:1471
Reward is: 2.843067390909132| input type: 2| time:1528
Reward is: -2| input type: 2| time:1545
Reward is: 3.226468705562256| input type: 2| time:1588
Reward is: 2.91332096952177| input type: 2| time:1645
Reward is: 7.020328502628245| input type: 2| time:1716
Reward is: 5.512287637286707| input type: 2| time:1773
Reward is: 7.0122292397926| input type: 2| time:1829
Reward is: 6.076103324784759| input type: 2| time:1885
Reward is: 7.00964223706942| input type: 2| time:1957
Reward is: 5.509729997117541| input type: 2| time:2013
Reward is: 5.520843222151449| input type: 2| time:2069
Reward is: 5.509604438608882| input type: 2| time:2125
Reward is: 7.009602421506644| input type: 2| time:2181
Reward is: 5.509582663991986| input type: 2| time:2236
Reward is: -5.352203439263737| input type: 2| time:2294
Reward is: -5.2473211568944595| input type: 2| time:2350
Reward is: -5.245182303821339| input type: 2| time:2406
Reward is: -2| input type: 2| time:2422
Reward is: 3.2239315952520506| input type: 2| time:2466
Reward is: 3.9123664807664875| input type: 2| time:2523
Reward is: -5.296683493782492| input type: 2| time:2596
Reward is: 5.5214603019840185| input type: 2| time:2653
Reward is: 4.575716587323456| input type: 2| time:2709
Reward is: -5.246778151568245| input type: 2| time:2765
Reward is: 3.9804898154564095| input type: 2| time:2821
Reward is: 3.978068034729977| input type: 2| time:2877
Reward is: 7.009569011346058| input type: 2| time:2948
Reward is: 6.074825489865833| input type: 2| time:3004
Reward is: 6.02084026126149| input type: 2| time:3059
Reward is: -5.185654836542466| input type: 2| time:3115
Reward is: 3.9097252048073243| input type: 2| time:3172
Reward is: 3.5095428828118| input type: 2| time:3227
Reward is: -2| input type: 2| time:3243
Reward is: 3.5209259649068065| input type: 2| time:3287
Reward is: -2| input type: 2| time:3304
Reward is: -2| input type: 2| time:3308
Reward is: -2| input type: 2| time:3312
Reward is: -2| input type: 2| time:3317
Reward is: -2| input type: 2| time:3321
Reward is: -5.312726161059212| input type: 2| time:3366
Reward is: -5.334677345612469| input type: 2| time:3439
Reward is: 5.576501471032713| input type: 2| time:3495
Reward is: 5.5095853440300395| input type: 2| time:3550
Reward is: -5.212405471240773| input type: 2| time:3606
Reward is: 5.5095960577401675| input type: 2| time:3661
Reward is: 5.512165661407931| input type: 2| time:3717
Reward is: 7.076811945607752| input type: 2| time:3773
Reward is: 5.509643350772861| input type: 2| time:3830
Reward is: 7.009680860511558| input type: 2| time:3886
Reward is: 5.479030852754016| input type: 2| time:3942
Reward is: 4.723810008434812| input type: 2| time:3997
Reward is: -5.287833283929264| input type: 2| time:4054
Reward is: -2| input type: 2| time:4071
Reward is: -2| input type: 2| time:4075
Reward is: -2| input type: 2| time:4079
Reward is: 2.9126883423081806| input type: 2| time:4123
Reward is: 4.342920395970018| input type: 2| time:4179
Reward is: 2.8542926553223253| input type: 2| time:4235
Reward is: 4.404754439148207| input type: 2| time:4290
Reward is: 2.8456017301604466| input type: 2| time:4346
Reward is: 4.34295585320278| input type: 2| time:4402
Reward is: 2.9078473926233226| input type: 2| time:4457
Reward is: 2.854189020222679| input type: 2| time:4513
Reward is: 2.8456086902431728| input type: 2| time:4570
Reward is: 4.342949470758767| input type: 2| time:4626
Reward is: 2.9105352156858237| input type: 2| time:4682
Reward is: 2.8455127697502327| input type: 2| time:4737
Reward is: 2.8429559666740647| input type: 2| time:4793
Reward is: -5.267486670437981| input type: 2| time:4849
Reward is: 2.709575840115645| input type: 2| time:4904
Reward is: 2.603059106140554| input type: 2| time:4960
Reward is: 2.6030673953194823| input type: 2| time:5015
Reward is: 2.919323272419597| input type: 2| time:5087
Reward is: 2.845681932673672| input type: 2| time:5144
Reward is: -5.295465904123643| input type: 2| time:5201
Reward is: -2| input type: 2| time:5217
Reward is: -5.245933097951553| input type: 2| time:5261
Reward is: 2.8455005831695424| input type: 2| time:5317
Reward is: 2.84293625886571| input type: 2| time:5372
Reward is: 5.009758822097173| input type: 2| time:5445
Reward is: 5.512267839375407| input type: 2| time:5502
Reward is: 5.509670770804337| input type: 2| time:5559
Reward is: 5.509709325597295| input type: 2| time:5616
Reward is: 5.50967807222418| input type: 2| time:5672
Reward is: 7.020838464424992| input type: 2| time:5730
Reward is: -5.278208872851204| input type: 2| time:5787
Reward is: 5.513915212698964| input type: 2| time:5853
Reward is: 5.510180369998851| input type: 2| time:5914
Reward is: 7.009636628503505| input type: 2| time:5971
Reward is: -5.209935426712036| input type: 2| time:6026
Reward is: 5.781064149415042| input type: 2| time:6091
Reward is: -5.205886672524845| input type: 2| time:6146
Reward is: 5.510034346845338| input type: 2| time:6206
Reward is: 5.523324495321253| input type: 2| time:6267
Reward is: -5.244174157871919| input type: 2| time:6323
Reward is: 5.526310110426395| input type: 2| time:6389
Reward is: 7.009587055339503| input type: 2| time:6445
Reward is: -5.2237406758701095| input type: 2| time:6501
Reward is: -5.239298708298627| input type: 2| time:6556
Reward is: 5.509691065292946| input type: 2| time:6613
Reward is: 5.520805983124971| input type: 2| time:6669
Reward is: 5.577913005641559| input type: 2| time:6725
Reward is: 5.509700405180887| input type: 2| time:6781
Reward is: 5.520924778856733| input type: 2| time:6837
Reward is: 5.509647077387307| input type: 2| time:6893
Reward is: 5.509669935644972| input type: 2| time:6950
Reward is: 5.512321028369511| input type: 2| time:7006
Reward is: 5.509799557019698| input type: 2| time:7064
Reward is: 5.509617445208543| input type: 2| time:7120
Reward is: 5.512223576986384| input type: 2| time:7176
Reward is: 5.57834351743921| input type: 2| time:7232
Reward is: 5.526546502217963| input type: 2| time:7298
Reward is: 5.837068327252105| input type: 2| time:7364
Reward is: -5.825963679481955| input type: 2| time:7430
Reward is: 5.510612683126742| input type: 2| time:7496
Reward is: 5.510681035307031| input type: 2| time:7562
Reward is: 5.010823029323203| input type: 2| time:7630
Reward is: 5.513929315977154| input type: 2| time:7696
Reward is: 5.510696064850523| input type: 2| time:7763
