Time quotient is: 1.5084758758544923| input type: 2| time:80
Time quotient is: 1.1916879345388973| input type: 2| time:135
Time quotient is: 0.30963413266168127| input type: 2| time:206
Time quotient is: 0.31048157595206| input type: 2| time:263
Time quotient is: 0.6103549424339744| input type: 2| time:318
Time quotient is: 1.1874302976271685| input type: 2| time:373
Time quotient is: 0.24738274765014648| input type: 2| time:439
Time quotient is: 0.18820731353759765| input type: 2| time:497
Time quotient is: 0.16276109313964843| input type: 2| time:557
Time quotient is: 1.238318639643052| input type: 2| time:621
Time quotient is: 0.5897720701554242| input type: 2| time:685
Time quotient is: 0.30061615031698474| input type: 2| time:740
Time quotient is: 0.29918302660403046| input type: 2| time:811
Time quotient is: 0.17978718185424805| input type: 2| time:869
Time quotient is: 0.21762933082950925| input type: 2| time:926
Time quotient is: 0.16994939804077147| input type: 2| time:998
Time quotient is: 0.16754381370544433| input type: 2| time:1062
Time quotient is: 0.33416716948799463| input type: 2| time:1135
Time quotient is: 0.6074870965060066| input type: 2| time:1191
Time quotient is: 0.6189702048021204| input type: 2| time:1247
Time quotient is: 0.17223550987243652| input type: 2| time:1303
Time quotient is: 0.16896588897705078| input type: 2| time:1359
Time quotient is: 0.17233679389953613| input type: 2| time:1415
Time quotient is: 0.16643310356140137| input type: 2| time:1471
Time quotient is: 0.1781433448791504| input type: 2| time:1528
Time quotient is: 0.20309079735024463| input type: 2| time:1588
Time quotient is: 0.6322961134069106| input type: 2| time:1645
Time quotient is: 0.2870722508084947| input type: 2| time:1716
Time quotient is: 0.2098775673838495| input type: 2| time:1773
Time quotient is: 0.20610454707469755| input type: 2| time:1829
Time quotient is: 0.6135285181157729| input type: 2| time:1885
Time quotient is: 0.17031701850891112| input type: 2| time:1957
Time quotient is: 0.17780037307739258| input type: 2| time:2013
Time quotient is: 0.3046778699626093| input type: 2| time:2069
Time quotient is: 0.16705178451538086| input type: 2| time:2125
Time quotient is: 0.1668768138885498| input type: 2| time:2181
Time quotient is: 0.16515908241271973| input type: 2| time:2236
Time quotient is: 1.3522034392637365| input type: 2| time:2294
Time quotient is: 1.2473211568944595| input type: 2| time:2350
Time quotient is: 1.2451823038213394| input type: 2| time:2406
Time quotient is: 0.17063044548034667| input type: 2| time:2466
Time quotient is: 0.21491505567309926| input type: 2| time:2523
Time quotient is: 1.2966834937824923| input type: 2| time:2596
Time quotient is: 0.32467149651568866| input type: 2| time:2653
Time quotient is: 0.6115545385024127| input type: 2| time:2709
Time quotient is: 1.2467781515682446| input type: 2| time:2765
Time quotient is: 0.634590233073515| input type: 2| time:2821
Time quotient is: 0.623254705877865| input type: 2| time:2877
Time quotient is: 0.16396796798706054| input type: 2| time:2948
Time quotient is: 0.6069285378736609| input type: 2| time:3004
Time quotient is: 0.30457908174265985| input type: 2| time:3059
Time quotient is: 1.1856548365424662| input type: 2| time:3115
Time quotient is: 0.1773952159881592| input type: 2| time:3172
Time quotient is: 0.1616789016723633| input type: 2| time:3227
Time quotient is: 0.30742722317792365| input type: 2| time:3287
Time quotient is: 1.3127261610592114| input type: 2| time:3366
Time quotient is: 1.3346773456124699| input type: 2| time:3439
Time quotient is: 0.6155398803598741| input type: 2| time:3495
Time quotient is: 0.1653925018310547| input type: 2| time:3550
Time quotient is: 1.212405471240773| input type: 2| time:3606
Time quotient is: 0.16632431602478026| input type: 2| time:3661
Time quotient is: 0.20195560779386354| input type: 2| time:3717
Time quotient is: 0.6170938716215246| input type: 2| time:3773
Time quotient is: 0.17041283798217774| input type: 2| time:3830
Time quotient is: 0.1736271800994873| input type: 2| time:3886
Time quotient is: 0.6278445229810827| input type: 2| time:3942
Time quotient is: 0.1600427417755127| input type: 2| time:3997
Time quotient is: 1.2878332839292639| input type: 2| time:4054
Time quotient is: 0.6293647359399235| input type: 2| time:4123
Time quotient is: 0.16554211616516112| input type: 2| time:4179
Time quotient is: 0.30852946336718573| input type: 2| time:4235
Time quotient is: 0.5881922525518081| input type: 2| time:4290
Time quotient is: 0.20863842269749316| input type: 2| time:4346
Time quotient is: 0.16861694145202638| input type: 2| time:4402
Time quotient is: 0.6052857006297392| input type: 2| time:4457
Time quotient is: 0.3050934404566668| input type: 2| time:4513
Time quotient is: 0.20908712183387534| input type: 2| time:4570
Time quotient is: 0.1680651340484619| input type: 2| time:4626
Time quotient is: 0.6190278810613296| input type: 2| time:4682
Time quotient is: 0.2028582003510114| input type: 2| time:4737
