Reward is: -5.448843510945638| input type: 2| time:78
Reward is: 7.009743261325026| input type: 2| time:135
Reward is: 7.021280684183771| input type: 2| time:192
Reward is: -5.298901852439432| input type: 2| time:249
Reward is: 4.521160837976256| input type: 2| time:305
Reward is: -2| input type: 2| time:322
Reward is: 4.509673765168049| input type: 2| time:366
Reward is: 6.078009621456455| input type: 2| time:422
Reward is: 6.012415914584131| input type: 2| time:479
Reward is: 6.079469499016556| input type: 2| time:536
Reward is: -2| input type: 2| time:552
Reward is: 6.009716621444872| input type: 2| time:597
Reward is: 5.080779972132737| input type: 2| time:653
Reward is: -5.207001756219303| input type: 2| time:724
Reward is: 4.020885949663961| input type: 2| time:784
Reward is: -2| input type: 2| time:801
Reward is: 4.029191218098027| input type: 2| time:850
Reward is: -2| input type: 2| time:882
Reward is: -2| input type: 2| time:889
Reward is: -5.565495561150944| input type: 2| time:938
Reward is: -5.505090601303998| input type: 2| time:999
Reward is: 4.6246426664013525| input type: 2| time:1059
Reward is: 4.636958068301073| input type: 2| time:1120
Reward is: 4.510156497915972| input type: 2| time:1182
Reward is: 4.600397027821868| input type: 2| time:1242
Reward is: 4.632228841206658| input type: 2| time:1304
Reward is: 4.522919265411332| input type: 2| time:1364
Reward is: 4.510045132642362| input type: 2| time:1424
Reward is: -5.47625610407661| input type: 2| time:1484
Reward is: -5.492796841789694| input type: 2| time:1544
Reward is: 4.617315838112521| input type: 2| time:1604
Reward is: 3.9962867570838005| input type: 2| time:1663
Reward is: 3.5127561901480298| input type: 2| time:1722
Reward is: -2| input type: 2| time:1739
Reward is: -2| input type: 2| time:1743
Reward is: -2| input type: 2| time:1747
Reward is: -2| input type: 2| time:1751
Reward is: -2| input type: 2| time:1755
Reward is: -2| input type: 2| time:1760
Reward is: -2| input type: 2| time:1764
Reward is: -2| input type: 2| time:1768
Reward is: -2| input type: 2| time:1772
Reward is: -2| input type: 2| time:1776
Reward is: -2| input type: 2| time:1781
Reward is: -2| input type: 2| time:1785
Reward is: -2| input type: 2| time:1789
Reward is: -5.461619713727165| input type: 2| time:1837
Reward is: 3.6522478322137055| input type: 2| time:1899
Reward is: -5.232040279051837| input type: 2| time:1955
Reward is: 3.5100424047276215| input type: 2| time:2015
Reward is: 3.5211347834546656| input type: 2| time:2072
Reward is: 3.5095410901088258| input type: 2| time:2126
Reward is: 3.5232775606627036| input type: 2| time:2187
Reward is: 3.5232322128273608| input type: 2| time:2248
Reward is: 3.513092345629217| input type: 2| time:2310
Reward is: -5.372872254427742| input type: 2| time:2368
Reward is: 3.522196721774405| input type: 2| time:2427
Reward is: 3.6368738515944647| input type: 2| time:2491
Reward is: 3.510047938993911| input type: 2| time:2551
Reward is: 3.509694817455277| input type: 2| time:2608
Reward is: 3.5770022187111707| input type: 2| time:2664
Reward is: 3.5216302670801425| input type: 2| time:2721
Reward is: -5.381654262542725| input type: 2| time:2780
Reward is: 3.5097404534943952| input type: 2| time:2837
Reward is: 3.509872837187398| input type: 2| time:2896
Reward is: 3.512723420331448| input type: 2| time:2955
Reward is: 3.5121030285518287| input type: 2| time:3010
Reward is: 3.5131907545676477| input type: 2| time:3072
Reward is: 3.5772084948591685| input type: 2| time:3128
Reward is: 3.5217075845766526| input type: 2| time:3185
Reward is: -5.471629367155187| input type: 2| time:3245
Reward is: 3.5125994679781116| input type: 2| time:3303
Reward is: 3.5886239668998896| input type: 2| time:3361
Reward is: 3.5104852834962914| input type: 2| time:3425
Reward is: 3.509988216853971| input type: 2| time:3485
Reward is: -5.638788223266602| input type: 2| time:3548
Reward is: -5.625031359055463| input type: 2| time:3610
Reward is: 3.510286748550706| input type: 2| time:3673
Reward is: 3.523935215616951| input type: 2| time:3735
Reward is: 3.523842514743912| input type: 2| time:3797
Reward is: 7.024136156125926| input type: 2| time:3874
Reward is: 7.013047893410083| input type: 2| time:3936
Reward is: 7.023550412779223| input type: 2| time:3997
Reward is: 7.145765605806987| input type: 2| time:4059
Reward is: 5.6229244016383575| input type: 2| time:4120
Reward is: 7.010028976380613| input type: 2| time:4180
Reward is: 7.009895144292443| input type: 2| time:4239
Reward is: -2| input type: 2| time:4255
Reward is: -2| input type: 2| time:4259
Reward is: -2| input type: 2| time:4264
Reward is: -2| input type: 2| time:4268
Reward is: -2| input type: 2| time:4272
Reward is: -2| input type: 2| time:4276
Reward is: -2| input type: 2| time:4281
Reward is: -2| input type: 2| time:4285
Reward is: 7.010268812920214| input type: 2| time:4335
Reward is: 5.521034815969909| input type: 2| time:4392
Reward is: 5.509709869905624| input type: 2| time:4449
Reward is: 5.585221786628362| input type: 2| time:4506
Reward is: 5.521056308278799| input type: 2| time:4562
Reward is: 5.509760607636772| input type: 2| time:4620
Reward is: 5.509645712377081| input type: 2| time:4676
Reward is: 5.5097117083638185| input type: 2| time:4733
Reward is: 5.50958154950826| input type: 2| time:4789
Reward is: 5.520638606583072| input type: 2| time:4844
Reward is: 5.577691450116211| input type: 2| time:4900
Reward is: 5.509706864878855| input type: 2| time:4957
Reward is: 5.512253055542011| input type: 2| time:5013
Reward is: 5.520873108511645| input type: 2| time:5069
Reward is: 5.509683200889759| input type: 2| time:5126
Reward is: -2| input type: 2| time:5142
Reward is: 5.509534332922121| input type: 2| time:5185
Reward is: 5.509643036700935| input type: 2| time:5241
Reward is: 5.509572658452161| input type: 2| time:5297
Reward is: 5.509575272912596| input type: 2| time:5352
Reward is: 5.512104534117855| input type: 2| time:5408
Reward is: 5.509724478653745| input type: 2| time:5465
Reward is: -5.203838306314805| input type: 2| time:5520
Reward is: -5.283946906819063| input type: 2| time:5577
Reward is: -2| input type: 2| time:5593
Reward is: -2| input type: 2| time:5597
Reward is: -2| input type: 2| time:5602
Reward is: -2| input type: 2| time:5606
Reward is: -5.3540490935830505| input type: 2| time:5651
Reward is: 3.2240465915452283| input type: 2| time:5709
Reward is: 2.9151997859577095| input type: 2| time:5766
Reward is: -2| input type: 2| time:5782
Reward is: -2| input type: 2| time:5786
Reward is: -2| input type: 2| time:5790
Reward is: 2.845703482102081| input type: 2| time:5835
Reward is: 2.9133143208240426| input type: 2| time:5892
