Time quotient is: 1.4488435109456381| input type: 2| time:78
Time quotient is: 0.17891969299316407| input type: 2| time:135
Time quotient is: 0.3189714438673379| input type: 2| time:192
Time quotient is: 1.2989018524394316| input type: 2| time:249
Time quotient is: 0.315114380656809| input type: 2| time:305
Time quotient is: 0.17302106666564943| input type: 2| time:366
Time quotient is: 0.6229726006002987| input type: 2| time:422
Time quotient is: 0.21804086212972992| input type: 2| time:479
Time quotient is: 0.629898702397066| input type: 2| time:536
Time quotient is: 0.17666855239868165| input type: 2| time:597
Time quotient is: 0.6359027624130249| input type: 2| time:653
Time quotient is: 1.207001756219303| input type: 2| time:724
Time quotient is: 0.7566982367459465| input type: 2| time:784
Time quotient is: 0.772339287926169| input type: 2| time:850
Time quotient is: 1.5654955611509436| input type: 2| time:938
Time quotient is: 1.5050906013039982| input type: 2| time:999
Time quotient is: 0.7640313260695514| input type: 2| time:1059
Time quotient is: 0.785249857341542| input type: 2| time:1120
Time quotient is: 0.21232691955566407| input type: 2| time:1182
Time quotient is: 0.7070454639547011| input type: 2| time:1242
Time quotient is: 0.7775692168404075| input type: 2| time:1304
Time quotient is: 0.3676606399425562| input type: 2| time:1364
Time quotient is: 0.203594388961792| input type: 2| time:1424
Time quotient is: 1.4762561040766098| input type: 2| time:1484
Time quotient is: 1.4927968417896944| input type: 2| time:1544
Time quotient is: 0.749294168808881| input type: 2| time:1604
Time quotient is: 0.6945398765451768| input type: 2| time:1663
Time quotient is: 0.23889987908520746| input type: 2| time:1722
Time quotient is: 1.4616197137271656| input type: 2| time:1837
Time quotient is: 0.8068165288251989| input type: 2| time:1899
Time quotient is: 1.2320402790518368| input type: 2| time:1955
Time quotient is: 0.20337805366516112| input type: 2| time:2015
Time quotient is: 0.3142700679060342| input type: 2| time:2072
Time quotient is: 0.16152138710021974| input type: 2| time:2126
Time quotient is: 0.37739379855169763| input type: 2| time:2187
Time quotient is: 0.3761785099471825| input type: 2| time:2248
Time quotient is: 0.2584416773712751| input type: 2| time:2310
Time quotient is: 1.3728722544277416| input type: 2| time:2368
Time quotient is: 0.347076844477999| input type: 2| time:2427
Time quotient is: 0.7851177243625417| input type: 2| time:2491
Time quotient is: 0.20381682205200197| input type: 2| time:2551
Time quotient is: 0.17481685066223143| input type: 2| time:2608
Time quotient is: 0.6180400357526892| input type: 2| time:2664
Time quotient is: 0.32997805484827014| input type: 2| time:2721
Time quotient is: 1.3816542625427246| input type: 2| time:2780
Time quotient is: 0.17868300437927245| input type: 2| time:2837
Time quotient is: 0.1896959457397461| input type: 2| time:2896
Time quotient is: 0.23693962699001275| input type: 2| time:2955
Time quotient is: 0.19782574894358812| input type: 2| time:3010
Time quotient is: 0.2639740346704872| input type: 2| time:3072
Time quotient is: 0.6190605093451107| input type: 2| time:3128
Time quotient is: 0.332364521164825| input type: 2| time:3185
Time quotient is: 1.4716293671551872| input type: 2| time:3245
Time quotient is: 0.22943271248085986| input type: 2| time:3303
Time quotient is: 0.6681285465464872| input type: 2| time:3361
Time quotient is: 0.23702587509155273| input type: 2| time:3425
Time quotient is: 0.19905623626708985| input type: 2| time:3485
Time quotient is: 1.6387882232666016| input type: 2| time:3548
Time quotient is: 1.625031359055463| input type: 2| time:3610
Time quotient is: 0.22230042266845704| input type: 2| time:3673
Time quotient is: 0.3945008118947347| input type: 2| time:3735
Time quotient is: 0.39214660119319306| input type: 2| time:3797
Time quotient is: 0.3995417684748553| input type: 2| time:3874
Time quotient is: 0.25591529920263195| input type: 2| time:3936
Time quotient is: 0.3846072355906169| input type: 2| time:3997
Time quotient is: 0.7982256202136769| input type: 2| time:4059
Time quotient is: 0.7607329032000374| input type: 2| time:4120
Time quotient is: 0.2023114128112793| input type: 2| time:4180
Time quotient is: 0.1915226535797119| input type: 2| time:4239
Time quotient is: 0.22094208335876464| input type: 2| time:4335
Time quotient is: 0.3110111519910287| input type: 2| time:4392
Time quotient is: 0.17609606742858885| input type: 2| time:4449
Time quotient is: 0.654879745315103| input type: 2| time:4506
Time quotient is: 0.3117144073265186| input type: 2| time:4562
Time quotient is: 0.18037889671325683| input type: 2| time:4620
Time quotient is: 0.1706159496307373| input type: 2| time:4676
Time quotient is: 0.17625203514099122| input type: 2| time:4733
Time quotient is: 0.1650619773864746| input type: 2| time:4789
Time quotient is: 0.2977842973626178| input type: 2| time:4844
Time quotient is: 0.621428552795859| input type: 2| time:4900
Time quotient is: 0.17584100532531738| input type: 2| time:4957
