Reward is: -5.443092155456543| input type: 2| time:81
Reward is: -2| input type: 2| time:97
Reward is: -5.215675914988799| input type: 2| time:141
Reward is: 4.400807069778442| input type: 2| time:212
Reward is: 3.7132389785221647| input type: 2| time:267
Reward is: 3.4586524253524233| input type: 2| time:324
Reward is: 3.3572946160634354| input type: 2| time:380
Reward is: -2| input type: 2| time:396
Reward is: -2| input type: 2| time:401
Reward is: 3.2281257476806644| input type: 2| time:445
Reward is: 4.699602353806589| input type: 2| time:517
Reward is: 3.4635402539015585| input type: 2| time:573
Reward is: -5.239033797208| input type: 2| time:629
Reward is: -2| input type: 2| time:648
Reward is: 3.358029080708821| input type: 2| time:692
Reward is: 4.038137743438499| input type: 2| time:755
Reward is: 3.9936914616736807| input type: 2| time:816
Reward is: 5.310418404784857| input type: 2| time:879
Reward is: 5.007677262904597| input type: 2| time:938
Reward is: 3.4547096780141193| input type: 2| time:999
Reward is: -2| input type: 2| time:1015
Reward is: 7.674465068817138| input type: 2| time:1082
Reward is: 6.28294613060442| input type: 2| time:1143
Reward is: 6.290793416569533| input type: 2| time:1205
Reward is: 7.808515282238231| input type: 2| time:1266
Reward is: 6.2619264102676535| input type: 2| time:1327
Reward is: 7.860277267063365| input type: 2| time:1388
Reward is: 7.6578882217407225| input type: 2| time:1450
Reward is: 6.651479897291765| input type: 2| time:1512
Reward is: 6.273548406304665| input type: 2| time:1573
Reward is: 7.933003081994898| input type: 2| time:1635
Reward is: -5.509208679199219| input type: 2| time:1696
Reward is: 6.1518105621337895| input type: 2| time:1758
Reward is: 6.112820798873901| input type: 2| time:1818
Reward is: 6.245092547055587| input type: 2| time:1879
Reward is: 6.686496724253115| input type: 2| time:1941
Reward is: 7.849813075626598| input type: 2| time:2003
Reward is: -5.600809910718132| input type: 2| time:2065
Reward is: 4.427286011832101| input type: 2| time:2128
Reward is: 3.484672433217366| input type: 2| time:2190
Reward is: -2| input type: 2| time:2206
Reward is: -2| input type: 2| time:2211
Reward is: -2| input type: 2| time:2215
Reward is: -2| input type: 2| time:2219
Reward is: -2| input type: 2| time:2223
Reward is: -2| input type: 2| time:2227
Reward is: -2| input type: 2| time:2232
Reward is: -2| input type: 2| time:2236
Reward is: -2| input type: 2| time:2240
Reward is: -2| input type: 2| time:2244
Reward is: -2| input type: 2| time:2249
Reward is: -2| input type: 2| time:2253
Reward is: -2| input type: 2| time:2257
Reward is: -2| input type: 2| time:2261
Reward is: -2| input type: 2| time:2265
Reward is: -2| input type: 2| time:2269
Reward is: 3.9901094298431836| input type: 2| time:2318
Reward is: 3.57692278087332| input type: 2| time:2379
Reward is: 3.44483657391866| input type: 2| time:2439
Reward is: 3.6213998408765082| input type: 2| time:2501
Reward is: 3.9479281556779053| input type: 2| time:2561
Reward is: 3.4535991261800127| input type: 2| time:2621
Reward is: -5.483904572094188| input type: 2| time:2681
Reward is: 3.4547300027211505| input type: 2| time:2742
Reward is: 3.4589670804341632| input type: 2| time:2802
Reward is: 3.46108191426595| input type: 2| time:2863
Reward is: 3.461199279149373| input type: 2| time:2923
Reward is: 3.9724285153375156| input type: 2| time:2984
Reward is: -5.508033163407269| input type: 2| time:3044
Reward is: 3.467468306859334| input type: 2| time:3105
Reward is: 3.473067111333211| input type: 2| time:3166
Reward is: -5.569410169825835| input type: 2| time:3228
Reward is: 3.614021887671214| input type: 2| time:3290
Reward is: 4.029661102571349| input type: 2| time:3352
Reward is: 5.142058753499797| input type: 2| time:3413
Reward is: -2| input type: 2| time:3429
Reward is: -2| input type: 2| time:3433
Reward is: -2| input type: 2| time:3437
Reward is: -2| input type: 2| time:3441
Reward is: -2| input type: 2| time:3446
Reward is: -2| input type: 2| time:3450
Reward is: -2| input type: 2| time:3454
Reward is: -2| input type: 2| time:3458
Reward is: -2| input type: 2| time:3463
Reward is: -2| input type: 2| time:3467
Reward is: -2| input type: 2| time:3471
Reward is: -2| input type: 2| time:3475
Reward is: -2| input type: 2| time:3480
Reward is: -2| input type: 2| time:3484
Reward is: 3.455137549718221| input type: 2| time:3532
Reward is: -5.5763278848984665| input type: 2| time:3594
Reward is: 5.021124996390997| input type: 2| time:3653
Reward is: 3.962076867836109| input type: 2| time:3714
Reward is: 5.275119356080597| input type: 2| time:3777
Reward is: 5.13619622295978| input type: 2| time:3838
Reward is: 4.039779224257538| input type: 2| time:3900
Reward is: 3.4586190827687577| input type: 2| time:3961
Reward is: 5.137477288059159| input type: 2| time:4022
Reward is: 3.616466513729404| input type: 2| time:4083
Reward is: 5.220754723922878| input type: 2| time:4145
Reward is: -5.604593150755939| input type: 2| time:4207
Reward is: 3.4798631623586016| input type: 2| time:4269
Reward is: 4.914271721652909| input type: 2| time:4328
Reward is: 5.144725212387282| input type: 2| time:4390
Reward is: 3.4733981431325276| input type: 2| time:4452
Reward is: -2| input type: 2| time:4469
Reward is: -2| input type: 2| time:4473
Reward is: 3.466573733647664| input type: 2| time:4522
Reward is: -5.584270379122566| input type: 2| time:4584
Reward is: 5.033060132288465| input type: 2| time:4643
Reward is: 5.291929843379002| input type: 2| time:4706
Reward is: -5.561075182522044| input type: 2| time:4767
Reward is: -5.543290040072273| input type: 2| time:4828
Reward is: 3.4813623555501296| input type: 2| time:4890
Reward is: 3.5900734520267124| input type: 2| time:4951
Reward is: 3.5645127813407127| input type: 2| time:5011
Reward is: 3.9386853411577745| input type: 2| time:5071
Reward is: 5.268745270429873| input type: 2| time:5134
Reward is: 3.424224974950154| input type: 2| time:5194
Reward is: 3.6125038580601267| input type: 2| time:5255
Reward is: 3.9240514990212256| input type: 2| time:5315
Reward is: -2| input type: 2| time:5331
Reward is: 3.443479201634725| input type: 2| time:5379
Reward is: -5.531267039916095| input type: 2| time:5440
Reward is: 3.9544252381808516| input type: 2| time:5500
Reward is: 3.4309293931325273| input type: 2| time:5560
Reward is: 3.4456605370839433| input type: 2| time:5620
Reward is: 3.4648660233815507| input type: 2| time:5681
Reward is: 5.026363992223552| input type: 2| time:5741
Reward is: 5.141364597806743| input type: 2| time:5802
Reward is: 3.4578153184254963| input type: 2| time:5863
Reward is: 3.9071533541748487| input type: 2| time:5922
Reward is: -2| input type: 2| time:5939
Reward is: -2| input type: 2| time:5943
Reward is: -2| input type: 2| time:5947
Reward is: -2| input type: 2| time:5952
Reward is: -2| input type: 2| time:5956
Reward is: -2| input type: 2| time:5960
Reward is: -2| input type: 2| time:5964
Reward is: -2| input type: 2| time:5969
Reward is: -2| input type: 2| time:5973
Reward is: -2| input type: 2| time:5977
Reward is: -2| input type: 2| time:5981
Reward is: -2| input type: 2| time:5986
Reward is: -2| input type: 2| time:5990
Reward is: -2| input type: 2| time:5994
Reward is: -2| input type: 2| time:5999
Reward is: -2| input type: 2| time:6003
Reward is: -2| input type: 2| time:6007
Reward is: -2| input type: 2| time:6011
Reward is: -2| input type: 2| time:6016
Reward is: -2| input type: 2| time:6020
Reward is: -2| input type: 2| time:6024
Reward is: -2| input type: 2| time:6029
Reward is: 7.876042197732365| input type: 2| time:6094
Reward is: 6.558611621027407| input type: 2| time:6153
Reward is: -5.486583962159998| input type: 2| time:6216
Reward is: 7.68230079202091| input type: 2| time:6276
Reward is: -5.613741061266731| input type: 2| time:6338
Reward is: -5.524811422123628| input type: 2| time:6399
Reward is: 6.153612823486328| input type: 2| time:6462
Reward is: 6.5319454980933145| input type: 2| time:6520
Reward is: 7.847376767326804| input type: 2| time:6582
Reward is: 6.644706041916557| input type: 2| time:6643
Reward is: 6.625369921974514| input type: 2| time:6704
Reward is: 6.251631977488694| input type: 2| time:6765
Reward is: 6.215251262664795| input type: 2| time:6832
Reward is: 7.750993721625385| input type: 2| time:6892
Reward is: 6.138991342544555| input type: 2| time:6954
Reward is: -5.597726583480835| input type: 2| time:7016
Reward is: 6.144089445114136| input type: 2| time:7078
Reward is: 7.800238490104675| input type: 2| time:7140
Reward is: 6.166436019897461| input type: 2| time:7202
Reward is: 6.153819887161255| input type: 2| time:7264
Reward is: -5.55489597601049| input type: 2| time:7326
Reward is: 6.315410609384185| input type: 2| time:7389
Reward is: 6.595968630002893| input type: 2| time:7448
Reward is: -2| input type: 2| time:7464
Reward is: -2| input type: 2| time:7468
Reward is: -2| input type: 2| time:7472
Reward is: 6.670056861379872| input type: 2| time:7521
Reward is: 6.622889891914699| input type: 2| time:7582
Reward is: 6.27122451263724| input type: 2| time:7643
Reward is: -5.4744790021110985| input type: 2| time:7703
Reward is: 7.688832822967978| input type: 2| time:7762
Reward is: 7.8533052065793205| input type: 2| time:7824
Reward is: 6.65988450464995| input type: 2| time:7885
Reward is: 7.846595729098601| input type: 2| time:7947
Reward is: 6.1568339233398435| input type: 2| time:8010
Reward is: 6.67031803338424| input type: 2| time:8072
Reward is: 6.6850761848947275| input type: 2| time:8134
Reward is: 7.865894275553086| input type: 2| time:8196
Reward is: 6.111233972549439| input type: 2| time:8257
Reward is: 6.150494972229004| input type: 2| time:8319
Reward is: -5.609716134912827| input type: 2| time:8382
Reward is: 6.103101108551026| input type: 2| time:8442
Reward is: 6.161815925598145| input type: 2| time:8505
Reward is: 7.812170659794527| input type: 2| time:8566
Reward is: 6.113145942687988| input type: 2| time:8627
Reward is: 8.034994195489322| input type: 2| time:8691
Reward is: 6.1258261795043945| input type: 2| time:8752
Reward is: 4.488632966995239| input type: 2| time:8811
Reward is: 3.851711247580392| input type: 2| time:8873
Reward is: 5.208724480049282| input type: 2| time:8935
Reward is: -2| input type: 2| time:8951
Reward is: -2| input type: 2| time:8956
Reward is: -2| input type: 2| time:8960
Reward is: -2| input type: 2| time:8964
Reward is: -2| input type: 2| time:8968
Reward is: -2| input type: 2| time:8972
Reward is: -2| input type: 2| time:8977
Reward is: -2| input type: 2| time:8981
Reward is: -2| input type: 2| time:8985
Reward is: -2| input type: 2| time:8990
Reward is: -2| input type: 2| time:8994
Reward is: 6.671069383621216| input type: 2| time:9059
Reward is: 7.76255214915556| input type: 2| time:9119
Reward is: -5.482940295163322| input type: 2| time:9180
Reward is: 4.554442811965942| input type: 2| time:9242
