Time quotient is: 1.443092155456543| input type: 2| time:81
Time quotient is: 1.2156759149887983| input type: 2| time:141
Time quotient is: 0.16693568992614746| input type: 2| time:212
Time quotient is: 0.1663177547454834| input type: 2| time:267
Time quotient is: 0.20843969733969678| input type: 2| time:324
Time quotient is: 0.17465376091003418| input type: 2| time:380
Time quotient is: 0.1760419158935547| input type: 2| time:445
Time quotient is: 0.6220896734910852| input type: 2| time:517
Time quotient is: 0.21006897352274181| input type: 2| time:573
Time quotient is: 1.2390337972080006| input type: 2| time:629
Time quotient is: 0.1748985824584961| input type: 2| time:692
Time quotient is: 0.4016014700350554| input type: 2| time:755
Time quotient is: 0.38678604278011597| input type: 2| time:816
Time quotient is: 0.8256950238171745| input type: 2| time:879
Time quotient is: 0.724781309857088| input type: 2| time:938
Time quotient is: 0.20712544822692872| input type: 2| time:999
Time quotient is: 0.2248216896057129| input type: 2| time:1082
Time quotient is: 0.26098204353480664| input type: 2| time:1143
Time quotient is: 0.26359780552317796| input type: 2| time:1205
Time quotient is: 0.7695050940794104| input type: 2| time:1266
Time quotient is: 0.253975470089218| input type: 2| time:1327
Time quotient is: 0.7867590890211218| input type: 2| time:1388
Time quotient is: 0.21929607391357422| input type: 2| time:1450
Time quotient is: 0.383826632430588| input type: 2| time:1512
Time quotient is: 0.2578494687682217| input type: 2| time:1573
Time quotient is: 0.8110010273316327| input type: 2| time:1635
Time quotient is: 1.5092086791992188| input type: 2| time:1696
Time quotient is: 0.2172701873779297| input type: 2| time:1758
Time quotient is: 0.2042735996246338| input type: 2| time:1818
Time quotient is: 0.24836418235186233| input type: 2| time:1879
Time quotient is: 0.3954989080843718| input type: 2| time:1941
Time quotient is: 0.7832710252088659| input type: 2| time:2003
Time quotient is: 1.6008099107181324| input type: 2| time:2065
Time quotient is: 0.4043334325154622| input type: 2| time:2128
Time quotient is: 0.21711303329467774| input type: 2| time:2190
Time quotient is: 0.3855920321699502| input type: 2| time:2318
Time quotient is: 0.24786314917999563| input type: 2| time:2379
Time quotient is: 0.2038344135284424| input type: 2| time:2439
Time quotient is: 0.262688835847725| input type: 2| time:2501
Time quotient is: 0.37153160744819086| input type: 2| time:2561
Time quotient is: 0.20675526428222657| input type: 2| time:2621
Time quotient is: 1.483904572094188| input type: 2| time:2681
Time quotient is: 0.20713222312927246| input type: 2| time:2742
Time quotient is: 0.20854458236694337| input type: 2| time:2802
Time quotient is: 0.20924952697753907| input type: 2| time:2863
Time quotient is: 0.20928864860534668| input type: 2| time:2923
Time quotient is: 0.3796983940013941| input type: 2| time:2984
Time quotient is: 1.5080331634072697| input type: 2| time:3044
Time quotient is: 0.211378324508667| input type: 2| time:3105
Time quotient is: 0.213244592666626| input type: 2| time:3166
Time quotient is: 1.5694101698258345| input type: 2| time:3228
Time quotient is: 0.26022951811262707| input type: 2| time:3290
Time quotient is: 0.3987759230793386| input type: 2| time:3352
Time quotient is: 0.7695751400554881| input type: 2| time:3413
Time quotient is: 0.2072680721282959| input type: 2| time:3532
Time quotient is: 1.5763278848984663| input type: 2| time:3594
Time quotient is: 0.7292638876858879| input type: 2| time:3653
Time quotient is: 0.3762478448342586| input type: 2| time:3714
Time quotient is: 0.8139286742490881| input type: 2| time:3777
Time quotient is: 0.7676209632088157| input type: 2| time:3838
Time quotient is: 0.4021486303080683| input type: 2| time:3900
