Time quotient is: 2.2164865493774415| input type: 2| time:91
Time quotient is: 0.6547603537054623| input type: 2| time:147
Time quotient is: 0.6753014957203585| input type: 2| time:205
Time quotient is: 0.7263257573632633| input type: 2| time:264
Time quotient is: 1.1988384583417107| input type: 2| time:340
Time quotient is: 1.2964296411065495| input type: 2| time:418
Time quotient is: 1.2563912097145529| input type: 2| time:496
Time quotient is: 1.2627027315251969| input type: 2| time:573
Time quotient is: 0.7011520652210012| input type: 2| time:634
Time quotient is: 0.6693796760895673| input type: 2| time:691
Time quotient is: 0.7040377434562234| input type: 2| time:750
Time quotient is: 0.763113821254057| input type: 2| time:810
Time quotient is: 0.7354339711806354| input type: 2| time:870
Time quotient is: 1.2235736285938936| input type: 2| time:946
Time quotient is: 1.171385547694038| input type: 2| time:1020
Time quotient is: 1.2102834126528572| input type: 2| time:1095
Time quotient is: 1.2642154623480404| input type: 2| time:1188
Time quotient is: 1.2018933366326725| input type: 2| time:1268
Time quotient is: 1.1958867381600773| input type: 2| time:1343
Time quotient is: 1.3029070181005142| input type: 2| time:1422
Time quotient is: 1.2191467495525585| input type: 2| time:1497
Time quotient is: 1.2172918179455925| input type: 2| time:1573
Time quotient is: 0.6579162443385405| input type: 2| time:1634
Time quotient is: 0.6569406635621015| input type: 2| time:1691
Time quotient is: 0.6775889607036815| input type: 2| time:1749
Time quotient is: 0.6369720416910508| input type: 2| time:1805
Time quotient is: 0.6797721596325145| input type: 2| time:1863
Time quotient is: 0.6363134524401497| input type: 2| time:1919
Time quotient is: 0.6494511365890503| input type: 2| time:1976
Time quotient is: 0.6712445090798771| input type: 2| time:2033
Time quotient is: 0.6888758855707505| input type: 2| time:2091
Time quotient is: 0.6802244186401367| input type: 2| time:2149
Time quotient is: 0.6888516089495491| input type: 2| time:2207
Time quotient is: 1.215255197356729| input type: 2| time:2282
Time quotient is: 1.2006837971070234| input type: 2| time:2358
Time quotient is: 1.1750895486158484| input type: 2| time:2432
Time quotient is: 1.2030733893899357| input type: 2| time:2508
