Time quotient is: 1.2681337515513103| input type: 1| time:78
Time quotient is: 0.18240647506713867| input type: 2| time:133
Time quotient is: 0.2177456328012411| input type: 2| time:188
Time quotient is: 0.2139800474481675| input type: 2| time:258
Time quotient is: 0.32861813631924713| input type: 1| time:309
Time quotient is: 0.18564878821372985| input type: 4| time:378
Time quotient is: 0.18196251392364501| input type: 4| time:457
Time quotient is: 0.7053467609264232| input type: 1| time:508
Time quotient is: 0.18533288955688476| input type: 4| time:578
Time quotient is: 0.16628955060785466| input type: 3| time:641
Time quotient is: 1.3061042785644532| input type: 1| time:711
Time quotient is: 0.31415868968498417| input type: 3| time:772
Time quotient is: 0.2041637527132497| input type: 2| time:826
Time quotient is: 0.23137465694494413| input type: 3| time:884
Time quotient is: 0.34192695184187455| input type: 1| time:936
Time quotient is: 0.17182082176208496| input type: 2| time:989
Time quotient is: 0.21743526505035105| input type: 2| time:1044
Time quotient is: 0.21746585789848777| input type: 1| time:1095
Time quotient is: 0.3043631194294363| input type: 2| time:1151
Time quotient is: 0.17812356758117676| input type: 2| time:1230
Time quotient is: 0.6993023068816574| input type: 4| time:1301
Time quotient is: 0.22855027984170354| input type: 1| time:1353
Time quotient is: 0.1735823913054033| input type: 1| time:1404
Time quotient is: 1.3905044480373985| input type: 3| time:1463
Time quotient is: 0.17347320426594126| input type: 1| time:1515
Time quotient is: 0.16230967261574486| input type: 3| time:1575
Time quotient is: 0.36935942780737785| input type: 4| time:1645
Time quotient is: 0.21390975100322834| input type: 2| time:1700
Time quotient is: 1.2961127337287455| input type: 2| time:1757
Time quotient is: 0.6734261027088871| input type: 4| time:1826
Time quotient is: 0.17845057368278502| input type: 4| time:1894
Time quotient is: 0.627264586890616| input type: 3| time:1953
Time quotient is: 0.6062706779031193| input type: 2| time:2021
Time quotient is: 0.20832674363080192| input type: 1| time:2101
Time quotient is: 1.254319513545317| input type: 2| time:2155
Time quotient is: 1.2406712690989177| input type: 1| time:2207
Time quotient is: 0.16880630363117566| input type: 1| time:2302
Time quotient is: 1.193955659866333| input type: 1| time:2363
Time quotient is: 1.4774775791168213| input type: 4| time:2433
Time quotient is: 0.18540905833244323| input type: 4| time:2502
Time quotient is: 1.2546234130859375| input type: 2| time:2556
Time quotient is: 1.4268872988851447| input type: 3| time:2616
Time quotient is: 0.37385106086730957| input type: 4| time:2687
Time quotient is: 0.22694087308995864| input type: 1| time:2739
Time quotient is: 0.6650520913741168| input type: 2| time:2794
Time quotient is: 0.3669765696806066| input type: 4| time:2864
Time quotient is: 0.1753950958251953| input type: 2| time:2919
Time quotient is: 0.7151491244633993| input type: 4| time:3015
Time quotient is: 0.18580036997795105| input type: 4| time:3085
Time quotient is: 0.7129987257498281| input type: 4| time:3156
Time quotient is: 0.16110656622684363| input type: 3| time:3244
Time quotient is: 0.65809354549501| input type: 3| time:3303
Time quotient is: 0.2760903971535819| input type: 4| time:3374
