Time quotient is: 0.5735664042559537| input type: 2| time:82 | latency: 25.236921787261963
Time quotient is: 0.4995279203761708| input type: 2| time:138 | latency: 21.979228496551514
Time quotient is: 0.4877947894009677| input type: 2| time:194 | latency: 21.462970733642578
Time quotient is: 0.8101165565577421| input type: 2| time:263 | latency: 35.64512848854065
Time quotient is: 0.8243997530503706| input type: 2| time:334 | latency: 36.27358913421631
Time quotient is: 0.8361148725856434| input type: 2| time:405 | latency: 36.78905439376831
Time quotient is: 0.8163062225688588| input type: 2| time:475 | latency: 35.917473793029785
Time quotient is: 0.8422372937202454| input type: 2| time:546 | latency: 37.058440923690796
Time quotient is: 0.8245886726812883| input type: 2| time:617 | latency: 36.281901597976685
Time quotient is: 0.8193670944734053| input type: 2| time:687 | latency: 36.052152156829834
Time quotient is: 0.860215728933161| input type: 2| time:759 | latency: 37.84949207305908
Time quotient is: 0.836292483589866| input type: 2| time:831 | latency: 36.7968692779541
Time quotient is: 0.8384691097519614| input type: 2| time:902 | latency: 36.892640829086304
Time quotient is: 0.8502357710491527| input type: 2| time:973 | latency: 37.41037392616272
Time quotient is: 0.8803206519647078| input type: 2| time:1047 | latency: 38.734108686447144
Time quotient is: 0.8862501003525474| input type: 2| time:1135 | latency: 38.995004415512085
Time quotient is: 0.8367833278395913| input type: 2| time:1207 | latency: 36.81846642494202
Time quotient is: 0.8270555734634399| input type: 2| time:1277 | latency: 36.39044523239136
Time quotient is: 0.479785138910467| input type: 2| time:1333 | latency: 21.110546112060547
Time quotient is: 0.5133905898440968| input type: 2| time:1390 | latency: 22.58918595314026
Time quotient is: 0.5152822678739374| input type: 2| time:1447 | latency: 22.672419786453247
Time quotient is: 0.4859177957881581| input type: 2| time:1503 | latency: 21.380383014678955
Time quotient is: 0.4661175554448908| input type: 2| time:1557 | latency: 20.509172439575195
Time quotient is: 0.8268521536480297| input type: 2| time:1628 | latency: 36.381494760513306
Time quotient is: 0.9057772647250782| input type: 2| time:1703 | latency: 39.85419964790344
Time quotient is: 0.8291082869876515| input type: 2| time:1773 | latency: 36.480764627456665
Time quotient is: 0.5015621672977101| input type: 2| time:1830 | latency: 22.068735361099243
Time quotient is: 0.5321602712978016| input type: 2| time:1888 | latency: 23.41505193710327
Time quotient is: 0.49154625697569415| input type: 2| time:1944 | latency: 21.628035306930542
Time quotient is: 0.5059994188222018| input type: 2| time:2001 | latency: 22.26397442817688
Time quotient is: 0.5480869954282587| input type: 2| time:2059 | latency: 24.115827798843384
Time quotient is: 0.5017227963967756| input type: 2| time:2115 | latency: 22.07580304145813
Time quotient is: 0.5113360719247297| input type: 2| time:2172 | latency: 22.49878716468811
Time quotient is: 0.5667063918980685| input type: 2| time:2231 | latency: 24.935081243515015
Time quotient is: 0.5603511712767861| input type: 2| time:2290 | latency: 24.65545153617859
Time quotient is: 0.5369977029887113| input type: 2| time:2356 | latency: 23.627898931503296
