Reward is: 7.220699212767862| input type: 2| time:82
Reward is: 6.998583761128512| input type: 2| time:138
Reward is: 6.463384368202903| input type: 2| time:194
Reward is: 7.430349669673227| input type: 2| time:263
Reward is: 7.473199259151112| input type: 2| time:334
Reward is: 7.50834461775693| input type: 2| time:405
Reward is: 7.448918667706576| input type: 2| time:475
Reward is: 8.026711881160736| input type: 2| time:546
Reward is: 7.9737660180438645| input type: 2| time:617
Reward is: 7.958101283420216| input type: 2| time:687
Reward is: 6.480647186799483| input type: 2| time:759
Reward is: 6.408877450769598| input type: 2| time:831
Reward is: 5.915407329255885| input type: 2| time:902
Reward is: 5.264993027433173| input type: 2| time:973
Reward is: 5.855247670179837| input type: 2| time:1047
Reward is: 8.158750301057642| input type: 2| time:1135
Reward is: 7.510349983518774| input type: 2| time:1207
Reward is: 7.48116672039032| input type: 2| time:1277
Reward is: 6.9393554167314| input type: 2| time:1333
Reward is: 7.04017176953229| input type: 2| time:1390
Reward is: 7.045846803621812| input type: 2| time:1447
Reward is: 6.957753387364474| input type: 2| time:1503
Reward is: 6.898352666334672| input type: 2| time:1557
Reward is: 7.480556460944089| input type: 2| time:1628
Reward is: 7.717331794175235| input type: 2| time:1703
Reward is: 7.487324860962954| input type: 2| time:1773
Reward is: 6.50468650189313| input type: 2| time:1830
Reward is: 6.596480813893405| input type: 2| time:1888
Reward is: 6.974638770927083| input type: 2| time:1944
Reward is: 7.017998256466605| input type: 2| time:2001
Reward is: 6.644260986284776| input type: 2| time:2059
Reward is: 7.005168389190327| input type: 2| time:2115
Reward is: 7.03400821577419| input type: 2| time:2172
Reward is: 6.700119175694205| input type: 2| time:2231
Reward is: 6.681053513830358| input type: 2| time:2290
Reward is: -2| input type: 2| time:2306
Reward is: -2| input type: 2| time:2310
Reward is: 7.1109931089661345| input type: 2| time:2356
Reward is: 7.2352801669727675| input type: 2| time:2423
Reward is: 7.3058526136658415| input type: 2| time:2491
Reward is: 7.222723364830017| input type: 2| time:2558
Reward is: 7.6161461960185655| input type: 2| time:2623
Reward is: 7.989196425134486| input type: 2| time:2694
Reward is: 8.42850682410327| input type: 2| time:2749
Reward is: 6.962491859089244| input type: 2| time:2805
Reward is: 6.973431484265761| input type: 2| time:2861
Reward is: 6.976205636154521| input type: 2| time:2917
Reward is: 6.949512129480189| input type: 2| time:2973
Reward is: 6.997553614052859| input type: 2| time:3029
Reward is: 6.511802711270072| input type: 2| time:3086
Reward is: 7.038028018041091| input type: 2| time:3143
Reward is: 6.884870128198104| input type: 2| time:3197
Reward is: 6.958031036637046| input type: 2| time:3253
Reward is: 6.505632508884776| input type: 2| time:3310
Reward is: -2| input type: 2| time:3326
Reward is: 6.99417134848508| input type: 2| time:3370
Reward is: 6.599793033166366| input type: 2| time:3428
Reward is: 6.5432085015557035| input type: 2| time:3485
Reward is: 4.889571246233853| input type: 2| time:3541
Reward is: 5.9975938439369205| input type: 2| time:3606
Reward is: 6.034144842624665| input type: 2| time:3672
Reward is: 9.251527607440948| input type: 2| time:3754
Reward is: 7.708044724030929| input type: 2| time:3821
Reward is: 7.685730305584994| input type: 2| time:3888
Reward is: 7.727938554503702| input type: 2| time:3955
