Time quotient is: 0.6418292590550014| input type: 2| time:79 | latency: 22.46402406692505
Time quotient is: 0.6140346390860422| input type: 2| time:135 | latency: 21.491212368011475
Time quotient is: 0.6264343397957938| input type: 2| time:191 | latency: 21.925201892852783
Time quotient is: 0.5958776473999023| input type: 2| time:246 | latency: 20.855717658996582
Time quotient is: 0.6644731044769288| input type: 2| time:305 | latency: 23.256558656692505
Time quotient is: 0.6283164024353027| input type: 2| time:361 | latency: 21.991074085235596
Time quotient is: 0.6822868074689593| input type: 2| time:419 | latency: 23.880038261413574
Time quotient is: 0.6069818564823696| input type: 2| time:475 | latency: 21.244364976882935
Time quotient is: 0.6125361238207135| input type: 2| time:531 | latency: 21.438764333724976
Time quotient is: 0.5964092935834612| input type: 2| time:586 | latency: 20.874325275421143
Time quotient is: 0.6129022189549037| input type: 2| time:642 | latency: 21.45157766342163
Time quotient is: 0.596138334274292| input type: 2| time:697 | latency: 20.86484169960022
Time quotient is: 0.6119425977979388| input type: 2| time:752 | latency: 21.417990922927856
Time quotient is: 0.601350212097168| input type: 2| time:808 | latency: 21.04725742340088
Time quotient is: 0.6107536111559186| input type: 2| time:864 | latency: 21.376376390457153
Time quotient is: 0.6957823004041399| input type: 2| time:923 | latency: 24.352380514144897
Time quotient is: 0.5980630125318255| input type: 2| time:978 | latency: 20.93220543861389
Time quotient is: 0.6280773571559362| input type: 2| time:1034 | latency: 21.982707500457764
Time quotient is: 0.6193598134177072| input type: 2| time:1091 | latency: 21.67759346961975
Time quotient is: 0.6100769315447127| input type: 2| time:1146 | latency: 21.35269260406494
Time quotient is: 0.6183605602809361| input type: 2| time:1202 | latency: 21.642619609832764
Time quotient is: 0.6159073761531285| input type: 2| time:1258 | latency: 21.556758165359497
Time quotient is: 0.6007428577968053| input type: 2| time:1313 | latency: 21.026000022888184
Time quotient is: 0.6401619366237096| input type: 2| time:1370 | latency: 22.405667781829834
Time quotient is: 0.601910046168736| input type: 2| time:1426 | latency: 21.06685161590576
Time quotient is: 0.6087885243552071| input type: 2| time:1482 | latency: 21.30759835243225
Time quotient is: 0.6784192493983677| input type: 2| time:1540 | latency: 23.74467372894287
Time quotient is: 0.6082745824541365| input type: 2| time:1596 | latency: 21.289610385894775
Time quotient is: 0.6167891774858747| input type: 2| time:1652 | latency: 21.587621212005615
Time quotient is: 0.622480481011527| input type: 2| time:1708 | latency: 21.786816835403442
Time quotient is: 0.6033390658242362| input type: 2| time:1763 | latency: 21.116867303848267
Time quotient is: 0.6212607588086809| input type: 2| time:1819 | latency: 21.744126558303833
Time quotient is: 0.6069121837615967| input type: 2| time:1875 | latency: 21.241926431655884
Time quotient is: 0.6008744716644288| input type: 2| time:1930 | latency: 21.030606508255005
Time quotient is: 0.6895161492483957| input type: 2| time:1989 | latency: 24.133065223693848
Time quotient is: 0.6105821950095041| input type: 2| time:2045 | latency: 21.37037682533264
Time quotient is: 0.6122955117906843| input type: 2| time:2101 | latency: 21.43034291267395
Time quotient is: 0.6843714373452323| input type: 2| time:2159 | latency: 23.95300030708313
Time quotient is: 0.6114444392068046| input type: 2| time:2215 | latency: 21.40055537223816
Time quotient is: 0.6216574873243059| input type: 2| time:2271 | latency: 21.758012056350708
Time quotient is: 0.6089459487370082| input type: 2| time:2327 | latency: 21.313108205795288
Time quotient is: 0.6147415910448347| input type: 2| time:2383 | latency: 21.515955686569214
Time quotient is: 0.619539315359933| input type: 2| time:2439 | latency: 21.683876037597656
Time quotient is: 0.6087997300284249| input type: 2| time:2494 | latency: 21.307990550994873
Time quotient is: 0.6029122352600098| input type: 2| time:2550 | latency: 21.101928234100342
Time quotient is: 0.6306257588522775| input type: 2| time:2607 | latency: 22.071901559829712
Time quotient is: 0.6232863221849714| input type: 2| time:2663 | latency: 21.815021276474
Time quotient is: 0.5907070568629673| input type: 2| time:2718 | latency: 20.674746990203857
Time quotient is: 0.6673856871468681| input type: 2| time:2776 | latency: 23.35849905014038
Time quotient is: 0.6209353787558419| input type: 2| time:2832 | latency: 21.732738256454468
Time quotient is: 0.6068635259355818| input type: 2| time:2888 | latency: 21.24022340774536
Time quotient is: 0.6100328172956194| input type: 2| time:2943 | latency: 21.35114860534668
Time quotient is: 0.6308948176247733| input type: 2| time:2999 | latency: 22.081318616867065
Time quotient is: 0.6068405219486781| input type: 2| time:3055 | latency: 21.239418268203735
Time quotient is: 0.6078448363712856| input type: 2| time:3111 | latency: 21.274569272994995
Time quotient is: 0.6039437225886753| input type: 2| time:3166 | latency: 21.138030290603638
Time quotient is: 0.6878082343510219| input type: 2| time:3225 | latency: 24.073288202285767
Time quotient is: 0.6308412211281913| input type: 2| time:3281 | latency: 22.079442739486694
Time quotient is: 0.6058102812085833| input type: 2| time:3337 | latency: 21.203359842300415
Time quotient is: 0.6764078072139195| input type: 2| time:3395 | latency: 23.674273252487183
Time quotient is: 0.6237459250858852| input type: 2| time:3451 | latency: 21.83110737800598
Time quotient is: 0.6076211520603725| input type: 2| time:3507 | latency: 21.266740322113037
Time quotient is: 0.6003958089011056| input type: 2| time:3562 | latency: 21.013853311538696
Time quotient is: 0.6130116326468331| input type: 2| time:3618 | latency: 21.45540714263916
Time quotient is: 0.6073721136365619| input type: 2| time:3674 | latency: 21.258023977279663
Time quotient is: 0.6205573626926967| input type: 2| time:3730 | latency: 21.719507694244385
Time quotient is: 0.6373509202684675| input type: 2| time:3786 | latency: 22.307282209396362
Time quotient is: 0.6021867683955602| input type: 2| time:3842 | latency: 21.076536893844604
Time quotient is: 0.6054644516536167| input type: 2| time:3897 | latency: 21.191255807876587
Time quotient is: 0.6038102967398508| input type: 2| time:3953 | latency: 21.133360385894775
