Reward is: -5.586977863311768| input type: 2| time:81
Reward is: 5.0101533055445024| input type: 2| time:142
Reward is: 3.4131402636134305| input type: 2| time:204
Reward is: -5.216153986313763| input type: 2| time:259
Reward is: 3.9122670207470502| input type: 2| time:315
Reward is: 3.909663355247508| input type: 2| time:372
Reward is: 3.909663235648765| input type: 2| time:428
Reward is: -5.255431722192204| input type: 2| time:484
Reward is: -2| input type: 2| time:501
Reward is: 4.5097397682152405| input type: 2| time:546
Reward is: 5.509673865013595| input type: 2| time:602
Reward is: 5.50969050882902| input type: 2| time:659
Reward is: -5.289760463378009| input type: 2| time:716
Reward is: -5.206127713708317| input type: 2| time:771
Reward is: 6.009633486840188| input type: 2| time:827
Reward is: -2| input type: 2| time:843
Reward is: -2| input type: 2| time:848
Reward is: 5.412080479900041| input type: 2| time:891
Reward is: -5.290253555073457| input type: 2| time:948
Reward is: 5.521093740931833| input type: 2| time:1019
Reward is: 4.57633203301658| input type: 2| time:1075
Reward is: 4.298003168238944| input type: 2| time:1140
Reward is: 4.521164190216232| input type: 2| time:1197
Reward is: 4.026293414009773| input type: 2| time:1263
Reward is: 4.5096351826261865| input type: 2| time:1319
Reward is: 3.9121654745322227| input type: 2| time:1374
Reward is: 7.0096807515393165| input type: 2| time:1446
Reward is: 7.07736481128652| input type: 2| time:1502
Reward is: 7.009690358109115| input type: 2| time:1558
Reward is: -2| input type: 2| time:1575
Reward is: 7.012179510404476| input type: 2| time:1618
Reward is: 5.526283338239327| input type: 2| time:1684
Reward is: 5.510171679614316| input type: 2| time:1746
Reward is: 5.510044346238474| input type: 2| time:1806
Reward is: 7.009559719463584| input type: 2| time:1861
Reward is: 7.009597641016821| input type: 2| time:1917
Reward is: 7.0205285839812985| input type: 2| time:1973
Reward is: 7.009569249899674| input type: 2| time:2028
Reward is: -5.318549913518569| input type: 2| time:2086
Reward is: 7.021036151788296| input type: 2| time:2142
Reward is: -5.303188043482163| input type: 2| time:2199
Reward is: 7.012344367540613| input type: 2| time:2256
Reward is: 5.510032559563078| input type: 2| time:2316
Reward is: 7.021306146236454| input type: 2| time:2373
Reward is: 7.009662598120759| input type: 2| time:2429
Reward is: 7.009611625394083| input type: 2| time:2485
Reward is: 7.012302559045407| input type: 2| time:2541
Reward is: -2| input type: 2| time:2557
Reward is: -2| input type: 2| time:2562
Reward is: -2| input type: 2| time:2566
Reward is: -2| input type: 2| time:2570
Reward is: -2| input type: 2| time:2574
Reward is: 7.009550710204939| input type: 2| time:2617
Reward is: 7.0736904621937| input type: 2| time:2672
Reward is: 7.0095975437267715| input type: 2| time:2728
Reward is: 7.020519639073283| input type: 2| time:2783
Reward is: -5.211084071327658| input type: 2| time:2838
Reward is: 7.009548407297564| input type: 2| time:2893
Reward is: 7.009563487988875| input type: 2| time:2948
Reward is: 7.020779485141298| input type: 2| time:3004
Reward is: -5.292208082535687| input type: 2| time:3061
Reward is: 5.420393407381645| input type: 2| time:3116
Reward is: 5.009596511124361| input type: 2| time:3171
Reward is: -2| input type: 2| time:3188
Reward is: -2| input type: 2| time:3192
Reward is: -2| input type: 2| time:3196
Reward is: -2| input type: 2| time:3200
Reward is: -2| input type: 2| time:3205
Reward is: -2| input type: 2| time:3209
Reward is: -2| input type: 2| time:3213
Reward is: -2| input type: 2| time:3217
Reward is: -2| input type: 2| time:3222
Reward is: -5.425207446603214| input type: 2| time:3268
Reward is: 3.50992750899278| input type: 2| time:3328
Reward is: 3.509981282477659| input type: 2| time:3387
Reward is: 5.021043885397447| input type: 2| time:3444
Reward is: 3.5221005912486083| input type: 2| time:3502
Reward is: 3.5101042829276117| input type: 2| time:3563
Reward is: 3.526417762615728| input type: 2| time:3629
Reward is: -5.323957934099085| input type: 2| time:3686
Reward is: 3.5227199860565515| input type: 2| time:3746
Reward is: 5.009665320612918| input type: 2| time:3802
Reward is: 3.510713780971873| input type: 2| time:3869
Reward is: 5.012157736302444| input type: 2| time:3924
Reward is: 5.009659483617759| input type: 2| time:3980
Reward is: 5.009621703396639| input type: 2| time:4036
Reward is: 3.5129987450921867| input type: 2| time:4097
Reward is: 3.9234759364185177| input type: 2| time:4157
Reward is: 4.522958628058549| input type: 2| time:4217
Reward is: -5.469090139164644| input type: 2| time:4277
Reward is: -2| input type: 2| time:4294
Reward is: -2| input type: 2| time:4298
Reward is: -2| input type: 2| time:4303
Reward is: -2| input type: 2| time:4307
Reward is: -2| input type: 2| time:4311
Reward is: -2| input type: 2| time:4315
Reward is: -2| input type: 2| time:4320
Reward is: -2| input type: 2| time:4324
Reward is: 7.009687222689715| input type: 2| time:4368
Reward is: 7.009849390255389| input type: 2| time:4427
Reward is: 5.510251249094068| input type: 2| time:4489
Reward is: 7.009640122789438| input type: 2| time:4545
Reward is: 5.512654228447601| input type: 2| time:4604
Reward is: 5.509999400007963| input type: 2| time:4663
Reward is: 5.510062342272102| input type: 2| time:4724
Reward is: 7.009563014280568| input type: 2| time:4779
Reward is: 5.51011344073352| input type: 2| time:4840
Reward is: 7.0740924901910525| input type: 2| time:4895
Reward is: 7.0214076226008215| input type: 2| time:4952
Reward is: 7.0208513089718245| input type: 2| time:5008
Reward is: -2| input type: 2| time:5025
Reward is: -2| input type: 2| time:5029
Reward is: -2| input type: 2| time:5033
Reward is: -2| input type: 2| time:5038
Reward is: 6.009562829214554| input type: 2| time:5083
Reward is: 5.4095904240488055| input type: 2| time:5139
Reward is: -2| input type: 2| time:5155
Reward is: -2| input type: 2| time:5159
Reward is: -2| input type: 2| time:5163
Reward is: 5.4123137345749| input type: 2| time:5208
Reward is: 3.910008684015917| input type: 2| time:5268
Reward is: 4.056810439154426| input type: 2| time:5330
Reward is: 4.061492355350453| input type: 2| time:5393
Reward is: 5.409757744013411| input type: 2| time:5451
Reward is: 5.4096831536311605| input type: 2| time:5507
Reward is: 3.9127244326822117| input type: 2| time:5567
Reward is: 5.4122454837044955| input type: 2| time:5623
Reward is: 3.913006582218037| input type: 2| time:5684
Reward is: 3.9100556603754066| input type: 2| time:5744
Reward is: 5.409761537387028| input type: 2| time:5802
Reward is: 5.409621313795374| input type: 2| time:5858
Reward is: 3.9230174410112304| input type: 2| time:5918
Reward is: 3.910224698374428| input type: 2| time:5980
Reward is: 5.4095745472066765| input type: 2| time:6036
Reward is: 3.923895503841599| input type: 2| time:6098
Reward is: 5.409594098208114| input type: 2| time:6154
Reward is: 6.020855244296606| input type: 2| time:6210
Reward is: -5.220544604694142| input type: 2| time:6265
Reward is: -2| input type: 2| time:6282
Reward is: -2| input type: 2| time:6286
Reward is: -2| input type: 2| time:6290
Reward is: -2| input type: 2| time:6294
Reward is: -2| input type: 2| time:6299
Reward is: -2| input type: 2| time:6303
Reward is: -2| input type: 2| time:6307
Reward is: -2| input type: 2| time:6311
Reward is: -2| input type: 2| time:6315
Reward is: -2| input type: 2| time:6319
Reward is: -2| input type: 2| time:6323
Reward is: -2| input type: 2| time:6327
Reward is: -2| input type: 2| time:6331
Reward is: -2| input type: 2| time:6335
Reward is: -2| input type: 2| time:6340
Reward is: -2| input type: 2| time:6343
Reward is: -2| input type: 2| time:6348
Reward is: -2| input type: 2| time:6352
Reward is: -2| input type: 2| time:6356
Reward is: -2| input type: 2| time:6360
Reward is: -2| input type: 2| time:6363
Reward is: -2| input type: 2| time:6367
Reward is: 7.009704292738606| input type: 2| time:6412
Reward is: 7.009632857235662| input type: 2| time:6468
