Time quotient is: 1.5869778633117675| input type: 2| time:81
Time quotient is: 0.21207926177978514| input type: 2| time:142
Time quotient is: 0.26114588339351913| input type: 2| time:204
Time quotient is: 1.2161539863137638| input type: 2| time:259
Time quotient is: 0.20854964997004538| input type: 2| time:315
Time quotient is: 0.17213019752502443| input type: 2| time:372
Time quotient is: 0.17211995124816895| input type: 2| time:428
Time quotient is: 1.2554317221922033| input type: 2| time:484
Time quotient is: 0.17862521743774415| input type: 2| time:546
Time quotient is: 0.17302960205078124| input type: 2| time:602
Time quotient is: 0.17444995498657226| input type: 2| time:659
Time quotient is: 1.2897604633780086| input type: 2| time:716
Time quotient is: 1.2061277137083166| input type: 2| time:771
Time quotient is: 0.16956340599060057| input type: 2| time:827
Time quotient is: 0.1963284617488824| input type: 2| time:891
Time quotient is: 1.2902535550734575| input type: 2| time:948
Time quotient is: 0.31293582916259766| input type: 2| time:1019
Time quotient is: 0.6146864750806023| input type: 2| time:1075
Time quotient is: 0.9013038523056928| input type: 2| time:1140
Time quotient is: 0.31522286111030023| input type: 2| time:1197
Time quotient is: 0.44880670049916144| input type: 2| time:1263
Time quotient is: 0.16970956230163575| input type: 2| time:1319
Time quotient is: 0.20194334891235943| input type: 2| time:1374
Time quotient is: 0.17361787796020509| input type: 2| time:1446
Time quotient is: 0.6198302016538733| input type: 2| time:1502
Time quotient is: 0.17443711471557616| input type: 2| time:1558
Time quotient is: 0.202863042794385| input type: 2| time:1618
Time quotient is: 0.4485953994419264| input type: 2| time:1684
Time quotient is: 0.2135025577545166| input type: 2| time:1746
Time quotient is: 0.2035320358276367| input type: 2| time:1806
Time quotient is: 0.16315535926818847| input type: 2| time:1861
Time quotient is: 0.1664618434906006| input type: 2| time:1917
Time quotient is: 0.2940207840739817| input type: 2| time:1973
Time quotient is: 0.1639888095855713| input type: 2| time:2028
Time quotient is: 1.318549913518569| input type: 2| time:2086
Time quotient is: 0.3110549035279647| input type: 2| time:2142
Time quotient is: 1.3031880434821634| input type: 2| time:2199
Time quotient is: 0.2135086846583098| input type: 2| time:2256
Time quotient is: 0.20259631156921387| input type: 2| time:2316
Time quotient is: 0.319785311602164| input type: 2| time:2373
Time quotient is: 0.17206532859802245| input type: 2| time:2429
Time quotient is: 0.1676745948791504| input type: 2| time:2485
Time quotient is: 0.2108359059083809| input type: 2| time:2541
Time quotient is: 0.16236595726013184| input type: 2| time:2617
Time quotient is: 0.6008741995867561| input type: 2| time:2672
Time quotient is: 0.16645339393615724| input type: 2| time:2728
Time quotient is: 0.29371303406314575| input type: 2| time:2783
Time quotient is: 1.2110840713276583| input type: 2| time:2838
Time quotient is: 0.1621639347076416| input type: 2| time:2893
Time quotient is: 0.16348512077331542| input type: 2| time:2948
Time quotient is: 0.3025451052016106| input type: 2| time:3004
Time quotient is: 1.2922080825356876| input type: 2| time:3061
Time quotient is: 0.28934123896170355| input type: 2| time:3116
Time quotient is: 0.16636370277404786| input type: 2| time:3171
Time quotient is: 1.425207446603214| input type: 2| time:3268
Time quotient is: 0.19415837287902832| input type: 2| time:3328
Time quotient is: 0.1984997901916504| input type: 2| time:3387
Time quotient is: 0.3113080902376037| input type: 2| time:3444
Time quotient is: 0.3442368369171585| input type: 2| time:3502
Time quotient is: 0.20825653266906738| input type: 2| time:3563
Time quotient is: 0.45140117147694464| input type: 2| time:3629
Time quotient is: 1.3239579340990852| input type: 2| time:3686
Time quotient is: 0.3621143258136252| input type: 2| time:3746
Time quotient is: 0.1722985382080078| input type: 2| time:3802
Time quotient is: 0.25329815673828127| input type: 2| time:3869
Time quotient is: 0.20143539697221183| input type: 2| time:3924
Time quotient is: 0.17179837799072264| input type: 2| time:3980
Time quotient is: 0.1685463924407959| input type: 2| time:4036
Time quotient is: 0.25310191135962035| input type: 2| time:4097
Time quotient is: 0.38265492950660596| input type: 2| time:4157
Time quotient is: 0.36874478796254034| input type: 2| time:4217
Time quotient is: 1.469090139164644| input type: 2| time:4277
Time quotient is: 0.17416990852355957| input type: 2| time:4368
Time quotient is: 0.1877669792175293| input type: 2| time:4427
Time quotient is: 0.21960729598999024| input type: 2| time:4489
Time quotient is: 0.17013505172729493| input type: 2| time:4545
