Time quotient is: 1.4669253508249918| input type: 2| time:82
Time quotient is: 0.20193240017566866| input type: 2| time:138
Time quotient is: 1.2008846086614273| input type: 2| time:208
Time quotient is: 0.6100622415542603| input type: 2| time:268
Time quotient is: 1.2732033589307| input type: 2| time:324
Time quotient is: 0.16339743423461914| input type: 2| time:380
Time quotient is: 0.30424658457438153| input type: 2| time:436
Time quotient is: 0.16812062072753906| input type: 2| time:491
Time quotient is: 1.2610421461217545| input type: 2| time:548
Time quotient is: 1.2357734231387867| input type: 2| time:604
Time quotient is: 0.3000237768974857| input type: 2| time:659
Time quotient is: 0.1767899227142334| input type: 2| time:716
Time quotient is: 0.6367172633900362| input type: 2| time:772
Time quotient is: 0.7550502314287073| input type: 2| time:833
Time quotient is: 0.20141063117980956| input type: 2| time:893
Time quotient is: 1.5186550897710465| input type: 2| time:954
Time quotient is: 0.20211617460528625| input type: 2| time:1009
Time quotient is: 0.6186047932680916| input type: 2| time:1065
Time quotient is: 0.16968809700012208| input type: 2| time:1121
Time quotient is: 0.5955769454731661| input type: 2| time:1177
Time quotient is: 0.16549869918823243| input type: 2| time:1232
Time quotient is: 0.16771132469177247| input type: 2| time:1288
Time quotient is: 0.17187345695495607| input type: 2| time:1344
Time quotient is: 1.2128825748667997| input type: 2| time:1400
Time quotient is: 1.2103041480569279| input type: 2| time:1455
Time quotient is: 1.266362933551564| input type: 2| time:1512
Time quotient is: 0.37478766925093054| input type: 2| time:1572
Time quotient is: 0.6387962944367352| input type: 2| time:1629
Time quotient is: 0.21018357647275462| input type: 2| time:1685
Time quotient is: 0.17104347801208497| input type: 2| time:1741
Time quotient is: 0.31067804322726483| input type: 2| time:1798
Time quotient is: 0.21108865274966343| input type: 2| time:1870
Time quotient is: 0.1759797115325928| input type: 2| time:1927
Time quotient is: 0.6302472493227791| input type: 2| time:1983
Time quotient is: 0.6246872088488411| input type: 2| time:2039
Time quotient is: 0.20383966779245913| input type: 2| time:2095
Time quotient is: 0.17352086067199707| input type: 2| time:2151
Time quotient is: 1.24958537606632| input type: 2| time:2207
Time quotient is: 1.243325527976541| input type: 2| time:2263
Time quotient is: 0.1679038906097412| input type: 2| time:2319
Time quotient is: 0.20346791304430914| input type: 2| time:2375
Time quotient is: 0.16298585891723633| input type: 2| time:2430
Time quotient is: 0.18125075340270996| input type: 2| time:2488
Time quotient is: 0.20147090050780658| input type: 2| time:2544
Time quotient is: 0.17251405334472655| input type: 2| time:2601
Time quotient is: 0.18599124717712404| input type: 2| time:2659
Time quotient is: 0.17919427680969238| input type: 2| time:2717
Time quotient is: 0.17788630676269532| input type: 2| time:2774
Time quotient is: 0.1804278335571289| input type: 2| time:2831
Time quotient is: 0.17176019096374512| input type: 2| time:2888
Time quotient is: 1.23135744824129| input type: 2| time:2944
Time quotient is: 1.3023082368514116| input type: 2| time:3001
Time quotient is: 1.2467425851260914| input type: 2| time:3057
Time quotient is: 0.3061992292818816| input type: 2| time:3112
Time quotient is: 0.2051675481703675| input type: 2| time:3168
Time quotient is: 0.3850230134051779| input type: 2| time:3230
Time quotient is: 0.17688911628723145| input type: 2| time:3287
Time quotient is: 1.2337575800278608| input type: 2| time:3343
Time quotient is: 0.6225074108909158| input type: 2| time:3399
Time quotient is: 1.3137648806852453| input type: 2| time:3457
Time quotient is: 0.21612331242237276| input type: 2| time:3514
Time quotient is: 0.6166303578545066| input type: 2| time:3570
Time quotient is: 0.3029355069865351| input type: 2| time:3625
Time quotient is: 1.2578263563268326| input type: 2| time:3682
Time quotient is: 0.28925937500552856| input type: 2| time:3798
Time quotient is: 0.18665508270263673| input type: 2| time:3856
Time quotient is: 0.6259701532476089| input type: 2| time:3913
Time quotient is: 0.31529560987500177| input type: 2| time:3969
Time quotient is: 0.20300097372925396| input type: 2| time:4025
Time quotient is: 0.16509849166870116| input type: 2| time:4081
Time quotient is: 1.2512075620539047| input type: 2| time:4137
Time quotient is: 1.254288911819458| input type: 2| time:4193
Time quotient is: 0.1658627986907959| input type: 2| time:4249
Time quotient is: 0.1658412322998047| input type: 2| time:4342
Time quotient is: 0.16587647819519044| input type: 2| time:4398
Time quotient is: 0.21660223747920065| input type: 2| time:4455
Time quotient is: 0.17369539260864258| input type: 2| time:4512
Time quotient is: 0.305369332216788| input type: 2| time:4568
Time quotient is: 0.30923227296359296| input type: 2| time:4624
Time quotient is: 0.2065705373449233| input type: 2| time:4680
Time quotient is: 0.1683408260345459| input type: 2| time:4736
Time quotient is: 0.1763311138153076| input type: 2| time:4793
Time quotient is: 0.6598925169776467| input type: 2| time:4850
Time quotient is: 1.321728594162885| input type: 2| time:4908
Time quotient is: 0.2044364225517199| input type: 2| time:4964
Time quotient is: 0.3317612081334211| input type: 2| time:5041
Time quotient is: 0.6509467363357544| input type: 2| time:5100
Time quotient is: 0.18168939971923828| input type: 2| time:5158
Time quotient is: 1.3108416585361256| input type: 2| time:5216
Time quotient is: 0.16686671829223632| input type: 2| time:5276
Time quotient is: 1.2508814054376938| input type: 2| time:5331
Time quotient is: 0.17047476387023927| input type: 2| time:5387
Time quotient is: 0.31288633139237115| input type: 2| time:5444
Time quotient is: 0.30484239260355633| input type: 2| time:5500
Time quotient is: 0.3015494173851566| input type: 2| time:5556
Time quotient is: 0.2049234885613895| input type: 2| time:5611
Time quotient is: 1.2709722378674675| input type: 2| time:5668
