Time quotient is: 1.5132022857666017| input type: 2| time:80
Time quotient is: 0.21086179631427654| input type: 2| time:136
Time quotient is: 0.21379039125535096| input type: 2| time:193
Time quotient is: 1.3117269628188188| input type: 2| time:250
Time quotient is: 0.6376117678249583| input type: 2| time:308
Time quotient is: 0.16768996810913087| input type: 2| time:364
Time quotient is: 1.333091273027308| input type: 2| time:421
Time quotient is: 0.16357114791870117| input type: 2| time:476
Time quotient is: 0.4672840850940649| input type: 2| time:543
Time quotient is: 0.3209135254609932| input type: 2| time:611
Time quotient is: 0.26924762535095215| input type: 2| time:680
Time quotient is: 0.49347399974214856| input type: 2| time:749
Time quotient is: 0.26879439926147464| input type: 2| time:817
Time quotient is: 1.8785063098458683| input type: 2| time:884
Time quotient is: 1.9516012388117172| input type: 2| time:952
Time quotient is: 0.2701343460083008| input type: 2| time:1020
Time quotient is: 0.20482396847993425| input type: 2| time:1085
Time quotient is: 0.2151163087307828| input type: 2| time:1157
Time quotient is: 0.17542770195007323| input type: 2| time:1214
Time quotient is: 0.17793639755249024| input type: 2| time:1271
Time quotient is: 0.20529000041554274| input type: 2| time:1327
Time quotient is: 0.1723948574066162| input type: 2| time:1405
Time quotient is: 0.30529034310492914| input type: 2| time:1461
Time quotient is: 0.16600317192077638| input type: 2| time:1517
Time quotient is: 0.21050738825381382| input type: 2| time:1608
Time quotient is: 0.628037971608779| input type: 2| time:1664
Time quotient is: 1.2647625418270336| input type: 2| time:1720
Time quotient is: 0.3164173762003581| input type: 2| time:1806
Time quotient is: 1.2164776044733383| input type: 2| time:1861
Time quotient is: 0.16951890754699708| input type: 2| time:1917
Time quotient is: 0.21512938934622458| input type: 2| time:1974
Time quotient is: 0.21509708941561503| input type: 2| time:2031
Time quotient is: 1.2870568247402416| input type: 2| time:2088
Time quotient is: 0.6453081229153801| input type: 2| time:2144
Time quotient is: 0.16859624671936035| input type: 2| time:2200
Time quotient is: 0.625408922924715| input type: 2| time:2256
Time quotient is: 0.17114788246154786| input type: 2| time:2312
Time quotient is: 1.268739616169649| input type: 2| time:2368
Time quotient is: 0.17069652557373047| input type: 2| time:2424
Time quotient is: 0.31275885347006976| input type: 2| time:2480
Time quotient is: 0.16920535278320312| input type: 2| time:2535
Time quotient is: 1.3872224443099077| input type: 2| time:2594
Time quotient is: 1.2672288978801054| input type: 2| time:2650
Time quotient is: 0.17305286407470702| input type: 2| time:2707
Time quotient is: 0.62005036017474| input type: 2| time:2763
Time quotient is: 0.181126127243042| input type: 2| time:2850
Time quotient is: 0.3130280176798503| input type: 2| time:2907
Time quotient is: 1.2754462747012867| input type: 2| time:2963
Time quotient is: 1.2267421133377974| input type: 2| time:3040
Time quotient is: 0.6533490699880263| input type: 2| time:3098
Time quotient is: 0.3060246792392454| input type: 2| time:3154
Time quotient is: 0.21848154299467512| input type: 2| time:3220
Time quotient is: 0.17488407516479493| input type: 2| time:3277
Time quotient is: 0.3193477720454119| input type: 2| time:3333
Time quotient is: 0.2108183948739061| input type: 2| time:3390
Time quotient is: 1.3047223091125488| input type: 2| time:3447
Time quotient is: 1.2804592917947208| input type: 2| time:3504
Time quotient is: 0.18337843322753905| input type: 2| time:3562
Time quotient is: 0.179212064743042| input type: 2| time:3619
Time quotient is: 1.2988702689900118| input type: 2| time:3676
Time quotient is: 0.3399628210758817| input type: 2| time:3734
Time quotient is: 0.17466677093505859| input type: 2| time:3790
Time quotient is: 0.6449465401032392| input type: 2| time:3847
Time quotient is: 0.21363483354883286| input type: 2| time:3904
Time quotient is: 0.17743844413757323| input type: 2| time:3960
Time quotient is: 0.32110673448313837| input type: 2| time:4017
Time quotient is: 0.3231915563776873| input type: 2| time:4074
