Reward is: -5.513202285766601| input type: 2| time:80
Reward is: 6.13258538894283| input type: 2| time:136
Reward is: 7.641371173766053| input type: 2| time:193
Reward is: -5.311726962818819| input type: 2| time:250
Reward is: 8.912835303474875| input type: 2| time:308
Reward is: 7.5030699043273925| input type: 2| time:364
Reward is: -5.333091273027308| input type: 2| time:421
Reward is: 5.890713443756104| input type: 2| time:476
Reward is: 5.301852255282195| input type: 2| time:543
Reward is: 4.177026290668694| input type: 2| time:611
Reward is: 3.6410762093861893| input type: 2| time:680
Reward is: 4.694707713512161| input type: 2| time:749
Reward is: 3.520668912070138| input type: 2| time:817
Reward is: -5.878506309845868| input type: 2| time:884
Reward is: -5.951601238811717| input type: 2| time:952
Reward is: 3.1437363713582354| input type: 2| time:1020
Reward is: -2| input type: 2| time:1037
Reward is: -2| input type: 2| time:1041
Reward is: 3.4478052387731357| input type: 2| time:1085
Reward is: 6.145348926192348| input type: 2| time:1157
Reward is: 4.42628310585022| input type: 2| time:1214
Reward is: 3.748094906943185| input type: 2| time:1271
Reward is: 3.4492033345799613| input type: 2| time:1327
Reward is: -2| input type: 2| time:1344
Reward is: -2| input type: 2| time:1348
Reward is: -2| input type: 2| time:1353
Reward is: -2| input type: 2| time:1357
Reward is: -2| input type: 2| time:1361
Reward is: 3.731470286505563| input type: 2| time:1405
Reward is: 4.8158710293147875| input type: 2| time:1461
Reward is: 5.998009515762329| input type: 2| time:1517
Reward is: -2| input type: 2| time:1534
Reward is: -2| input type: 2| time:1538
Reward is: -2| input type: 2| time:1542
Reward is: -2| input type: 2| time:1546
Reward is: -2| input type: 2| time:1551
Reward is: -2| input type: 2| time:1555
Reward is: -2| input type: 2| time:1559
Reward is: -2| input type: 2| time:1563
Reward is: 4.531522164761442| input type: 2| time:1608
Reward is: 5.098399629112052| input type: 2| time:1664
Reward is: -5.264762541827034| input type: 2| time:1720
Reward is: -2| input type: 2| time:1737
Reward is: -2| input type: 2| time:1741
Reward is: -2| input type: 2| time:1745
Reward is: -2| input type: 2| time:1749
Reward is: -2| input type: 2| time:1753
Reward is: -2| input type: 2| time:1757
Reward is: -2| input type: 2| time:1762
Reward is: 3.7825854619344073| input type: 2| time:1806
Reward is: -5.216477604473338| input type: 2| time:1861
Reward is: 3.341890055974324| input type: 2| time:1917
Reward is: 3.4787215013720068| input type: 2| time:1974
Reward is: 3.478624601580178| input type: 2| time:2031
Reward is: -5.287056824740242| input type: 2| time:2088
Reward is: 4.769257702079473| input type: 2| time:2144
Reward is: 3.339122073491414| input type: 2| time:2200
Reward is: 4.709560102107478| input type: 2| time:2256
Reward is: 3.3467769807179764| input type: 2| time:2312
Reward is: -5.268739616169649| input type: 2| time:2368
Reward is: 3.3454229100545243| input type: 2| time:2424
Reward is: 3.771609893743542| input type: 2| time:2480
Reward is: 3.3409493916829422| input type: 2| time:2535
Reward is: -5.3872224443099075| input type: 2| time:2594
Reward is: -5.267228897880106| input type: 2| time:2650
Reward is: 4.419158592224121| input type: 2| time:2707
Reward is: 7.36015108052422| input type: 2| time:2763
Reward is: -2| input type: 2| time:2779
Reward is: -2| input type: 2| time:2784
Reward is: -2| input type: 2| time:2788
Reward is: -2| input type: 2| time:2792
Reward is: -2| input type: 2| time:2796
Reward is: -2| input type: 2| time:2801
Reward is: -2| input type: 2| time:2805
Reward is: 4.443378381729126| input type: 2| time:2850
Reward is: 4.153369767325265| input type: 2| time:2907
Reward is: -5.275446274701286| input type: 2| time:2963
Reward is: -2| input type: 2| time:2980
Reward is: -2| input type: 2| time:2984
