Time quotient is: 0.7225072928837367| input type: 2| time:82 | latency: 25.287755250930786
Time quotient is: 0.6709176676613944| input type: 2| time:140 | latency: 23.482118368148804
Time quotient is: 0.7146981034960066| input type: 2| time:204 | latency: 25.01443362236023
Time quotient is: 0.711315563746861| input type: 2| time:264 | latency: 24.896044731140137
Time quotient is: 0.679320968900408| input type: 2| time:322 | latency: 23.776233911514282
Time quotient is: 0.7138807569231306| input type: 2| time:382 | latency: 24.98582649230957
Time quotient is: 1.0004815510341099| input type: 2| time:451 | latency: 35.01685428619385
Time quotient is: 0.9720117909567697| input type: 2| time:520 | latency: 34.02041268348694
Time quotient is: 0.7674213545663017| input type: 2| time:582 | latency: 26.859747409820557
Time quotient is: 0.9646991457257952| input type: 2| time:650 | latency: 33.76447010040283
Time quotient is: 0.9087124279567174| input type: 2| time:717 | latency: 31.804934978485107
Time quotient is: 0.9112902300698417| input type: 2| time:783 | latency: 31.895158052444458
Time quotient is: 0.9163666793278286| input type: 2| time:850 | latency: 32.072833776474
Time quotient is: 0.6237875189099993| input type: 2| time:907 | latency: 21.832563161849976
Time quotient is: 0.6022790840693882| input type: 2| time:962 | latency: 21.07976794242859
Time quotient is: 0.6199176039014543| input type: 2| time:1019 | latency: 21.697116136550903
Time quotient is: 0.6101214204515729| input type: 2| time:1075 | latency: 21.354249715805054
Time quotient is: 0.5990514210292271| input type: 2| time:1130 | latency: 20.96679973602295
Time quotient is: 0.6389571802956717| input type: 2| time:1188 | latency: 22.36350131034851
Time quotient is: 0.5911508696419853| input type: 2| time:1242 | latency: 20.690280437469482
Time quotient is: 0.599507086617606| input type: 2| time:1297 | latency: 20.98274803161621
Time quotient is: 0.6039403642926897| input type: 2| time:1353 | latency: 21.13791275024414
Time quotient is: 0.6151191030229841| input type: 2| time:1409 | latency: 21.529168605804443
Time quotient is: 0.5861894948141916| input type: 2| time:1463 | latency: 20.516632318496704
Time quotient is: 0.6103786740984235| input type: 2| time:1518 | latency: 21.363253593444824
Time quotient is: 0.9142321246010917| input type: 2| time:1584 | latency: 31.998124361038208
Time quotient is: 1.1507560661860874| input type: 2| time:1660 | latency: 40.27646231651306
Time quotient is: 1.1363414560045515| input type: 2| time:1734 | latency: 39.7719509601593
Time quotient is: 1.0635403837476458| input type: 2| time:1805 | latency: 37.2239134311676
Time quotient is: 1.068977165222168| input type: 2| time:1877 | latency: 37.41420078277588
Time quotient is: 1.1606731619153703| input type: 2| time:1952 | latency: 40.623560667037964
Time quotient is: 1.0296017714909145| input type: 2| time:2022 | latency: 36.03606200218201
Time quotient is: 1.040867349079677| input type: 2| time:2094 | latency: 36.430357217788696
Time quotient is: 1.0292920998164585| input type: 2| time:2165 | latency: 36.02522349357605
Time quotient is: 0.9087842873164585| input type: 2| time:2232 | latency: 31.80745005607605
Time quotient is: 0.9056538718087332| input type: 2| time:2299 | latency: 31.697885513305664
Time quotient is: 0.6503909179142543| input type: 2| time:2357 | latency: 22.7636821269989
Time quotient is: 0.9332716464996338| input type: 2| time:2425 | latency: 32.66450762748718
Time quotient is: 0.8950928619929722| input type: 2| time:2491 | latency: 31.32825016975403
Time quotient is: 0.6699904441833496| input type: 2| time:2550 | latency: 23.449665546417236
Time quotient is: 0.6371267931801933| input type: 2| time:2610 | latency: 22.299437761306763
Time quotient is: 0.7090522561754499| input type: 2| time:2670 | latency: 24.816828966140747
Time quotient is: 1.0154381479535783| input type: 2| time:2741 | latency: 35.540335178375244
Time quotient is: 1.0506796836853027| input type: 2| time:2813 | latency: 36.773788928985596
Time quotient is: 1.0012758731842042| input type: 2| time:2883 | latency: 35.044655561447144
Time quotient is: 0.7474279063088554| input type: 2| time:2944 | latency: 26.159976720809937
Time quotient is: 0.6217243943895613| input type: 2| time:3001 | latency: 21.760353803634644
Time quotient is: 0.6074529920305525| input type: 2| time:3058 | latency: 21.260854721069336
Time quotient is: 0.6857378142220634| input type: 2| time:3117 | latency: 24.000823497772217
Time quotient is: 0.6308107989174979| input type: 2| time:3174 | latency: 22.078377962112427
Time quotient is: 0.611720255443028| input type: 2| time:3231 | latency: 21.41020894050598
Time quotient is: 0.9073926312582833| input type: 2| time:3297 | latency: 31.758742094039917
Time quotient is: 0.9110977240971156| input type: 2| time:3364 | latency: 31.888420343399048
Time quotient is: 0.9172744819096157| input type: 2| time:3431 | latency: 32.10460686683655
Time quotient is: 0.9266651698521206| input type: 2| time:3499 | latency: 32.43328094482422
Time quotient is: 0.9119428634643555| input type: 2| time:3565 | latency: 31.91800022125244
Time quotient is: 0.9029795033591134| input type: 2| time:3632 | latency: 31.60428261756897
Time quotient is: 0.9142845630645752| input type: 2| time:3699 | latency: 31.999959707260132
Time quotient is: 0.9203708648681641| input type: 2| time:3766 | latency: 32.21298027038574
Time quotient is: 0.9203896181924003| input type: 2| time:3835 | latency: 32.21363663673401
Time quotient is: 0.9173431055886405| input type: 2| time:3902 | latency: 32.10700869560242
Time quotient is: 0.9235363824026925| input type: 2| time:3970 | latency: 32.32377338409424
