Reward is: 7.66752187865121| input type: 2| time:82
Reward is: 7.512753002984184| input type: 2| time:140
Reward is: -2| input type: 2| time:157
Reward is: 7.14409431048802| input type: 2| time:204
Reward is: 7.133946691240583| input type: 2| time:264
Reward is: 7.037962906701225| input type: 2| time:322
Reward is: 7.141642270769392| input type: 2| time:382
Reward is: -5.00048155103411| input type: 2| time:451
Reward is: 7.91603537287031| input type: 2| time:520
Reward is: 7.802264063698905| input type: 2| time:582
Reward is: 7.894097437177385| input type: 2| time:650
Reward is: 8.226137283870152| input type: 2| time:717
Reward is: 6.633870690209525| input type: 2| time:783
Reward is: 8.249100037983485| input type: 2| time:850
Reward is: 7.371362556729998| input type: 2| time:907
Reward is: 7.306837252208165| input type: 2| time:962
Reward is: 7.359752811704363| input type: 2| time:1019
Reward is: 7.330364261354719| input type: 2| time:1075
Reward is: 7.297154263087681| input type: 2| time:1130
Reward is: 5.816871540887015| input type: 2| time:1188
Reward is: 5.673452608925956| input type: 2| time:1242
Reward is: 7.2985212598528175| input type: 2| time:1297
Reward is: 7.311821092878069| input type: 2| time:1353
Reward is: 7.345357309068953| input type: 2| time:1409
Reward is: 7.258568484442575| input type: 2| time:1463
Reward is: 7.33113602229527| input type: 2| time:1518
Reward is: 7.742696373803275| input type: 2| time:1584
Reward is: -5.150756066186087| input type: 2| time:1660
Reward is: -5.136341456004551| input type: 2| time:1734
Reward is: -5.063540383747646| input type: 2| time:1805
Reward is: -5.068977165222168| input type: 2| time:1877
Reward is: -5.16067316191537| input type: 2| time:1952
Reward is: -5.029601771490914| input type: 2| time:2022
Reward is: -5.040867349079677| input type: 2| time:2094
Reward is: -5.029292099816459| input type: 2| time:2165
Reward is: 7.726352861949376| input type: 2| time:2232
Reward is: 7.7169616154262| input type: 2| time:2299
Reward is: 7.451172753742763| input type: 2| time:2357
Reward is: 7.799814939498901| input type: 2| time:2425
Reward is: 8.185278585978917| input type: 2| time:2491
Reward is: 9.009971332550048| input type: 2| time:2550
Reward is: 8.91138037954058| input type: 2| time:2610
Reward is: 7.52715676852635| input type: 2| time:2670
Reward is: -5.015438147953578| input type: 2| time:2741
Reward is: -5.050679683685303| input type: 2| time:2813
Reward is: -5.001275873184204| input type: 2| time:2883
Reward is: 6.142283718926565| input type: 2| time:2944
Reward is: 5.765173183168684| input type: 2| time:3001
Reward is: 5.722358976091657| input type: 2| time:3058
Reward is: 5.957213442666189| input type: 2| time:3117
Reward is: 5.792432396752494| input type: 2| time:3174
Reward is: 5.735160766329084| input type: 2| time:3231
Reward is: 6.62217789377485| input type: 2| time:3297
Reward is: 6.6332931722913475| input type: 2| time:3364
Reward is: 6.651823445728847| input type: 2| time:3431
Reward is: 6.6799955095563615| input type: 2| time:3499
Reward is: 6.635828590393066| input type: 2| time:3565
Reward is: 6.608938510077341| input type: 2| time:3632
Reward is: 6.642853689193725| input type: 2| time:3699
Reward is: 6.161112594604493| input type: 2| time:3766
Reward is: 6.1611688545772| input type: 2| time:3835
Reward is: 6.152029316765921| input type: 2| time:3902
Reward is: 6.6706091472080775| input type: 2| time:3970
Reward is: 6.0958340440477645| input type: 2| time:4036
Reward is: 6.620412806102207| input type: 2| time:4103
Reward is: 6.6797384262084964| input type: 2| time:4171
Reward is: 6.688673993519375| input type: 2| time:4238
Reward is: 6.613999843597412| input type: 2| time:4305
Reward is: 6.595167078290666| input type: 2| time:4372
Reward is: 6.644912195205688| input type: 2| time:4441
Reward is: 6.600316081728254| input type: 2| time:4507
Reward is: 7.419386632101877| input type: 2| time:4566
Reward is: 7.551960427420481| input type: 2| time:4627
Reward is: 7.429730456215995| input type: 2| time:4685
Reward is: 7.523381219591414| input type: 2| time:4745
Reward is: 7.3518859454563685| input type: 2| time:4804
Reward is: 5.893126324244908| input type: 2| time:4862
Reward is: 5.900795991080148| input type: 2| time:4921
Reward is: 5.989153923307146| input type: 2| time:4980
Reward is: 6.0969186033521385| input type: 2| time:5043
Reward is: 6.068017993654523| input type: 2| time:5109
Reward is: 5.941240637642997| input type: 2| time:5168
Reward is: 5.93302868434361| input type: 2| time:5227
Reward is: 7.49579233442034| input type: 2| time:5286
Reward is: 5.869409608840942| input type: 2| time:5345
Reward is: 5.3010208266122| input type: 2| time:5404
Reward is: 4.949269067673455| input type: 2| time:5464
Reward is: -2| input type: 2| time:5481
Reward is: -2| input type: 2| time:5486
Reward is: 4.88484978448777| input type: 2| time:5532
Reward is: 4.764531324023292| input type: 2| time:5590
Reward is: 5.0272586663564045| input type: 2| time:5659
Reward is: 5.606458096277146| input type: 2| time:5727
Reward is: 5.525663257780529| input type: 2| time:5793
Reward is: 5.551978374662854| input type: 2| time:5860
Reward is: 5.546416852587745| input type: 2| time:5927
Reward is: 5.618914990198045| input type: 2| time:5995
Reward is: 5.534092873618716| input type: 2| time:6061
Reward is: 5.119528495697748| input type: 2| time:6128
Reward is: 5.272841928118751| input type: 2| time:6198
Reward is: 4.902814454124087| input type: 2| time:6259
Reward is: 5.542712318329584| input type: 2| time:6325
Reward is: 5.522084281558082| input type: 2| time:6391
Reward is: -5.277819858278547| input type: 2| time:6471
Reward is: -5.318611839839391| input type: 2| time:6552
Reward is: -5.36351398740496| input type: 2| time:6634
Reward is: -5.310820981434413| input type: 2| time:6714
Reward is: -5.319968754904611| input type: 2| time:6795
Reward is: -5.3130871840885705| input type: 2| time:6875
Reward is: -5.33364428792681| input type: 2| time:6957
Reward is: -5.357070282527379| input type: 2| time:7039
Reward is: -5.35791723387582| input type: 2| time:7122
Reward is: -5.336482279641288| input type: 2| time:7203
Reward is: 5.083794973010108| input type: 2| time:7270
Reward is: 5.152055731273832| input type: 2| time:7338
Reward is: 5.095156544730776| input type: 2| time:7406
Reward is: 5.229813226064046| input type: 2| time:7475
Reward is: -5.000470529283796| input type: 2| time:7545
Reward is: 5.758007585434687| input type: 2| time:7614
Reward is: -5.003756482260568| input type: 2| time:7684
Reward is: -5.046413387571063| input type: 2| time:7756
Reward is: -5.43015113558088| input type: 2| time:7841
Reward is: -5.418772683824812| input type: 2| time:7926
Reward is: -5.459055294309343| input type: 2| time:8012
Reward is: -5.505290508270264| input type: 2| time:8100
Reward is: 5.0705931163969495| input type: 2| time:8160
Reward is: 5.03400406610398| input type: 2| time:8220
Reward is: 5.0759453750792005| input type: 2| time:8281
Reward is: 5.192918073563348| input type: 2| time:8343
Reward is: 5.161189799081711| input type: 2| time:8405
Reward is: 5.168264352707635| input type: 2| time:8467
Reward is: 5.048528049105689| input type: 2| time:8527
Reward is: 5.10043336096264| input type: 2| time:8588
Reward is: 4.929868041901361| input type: 2| time:8647
Reward is: 5.043691939399356| input type: 2| time:8707
Reward is: 4.993474038441976| input type: 2| time:8767
Reward is: 4.952256200427101| input type: 2| time:8826
Reward is: 4.997184744335356| input type: 2| time:8886
Reward is: 5.1163816838037395| input type: 2| time:8947
Reward is: 5.345102589471| input type: 2| time:9006
Reward is: -5.020680475234985| input type: 2| time:9076
Reward is: -5.0291949612753735| input type: 2| time:9147
Reward is: -5.015785373960222| input type: 2| time:9217
Reward is: -5.032502658026559| input type: 2| time:9288
Reward is: 5.311425835745675| input type: 2| time:9347
Reward is: 5.387280341557094| input type: 2| time:9407
Reward is: 5.403651074000767| input type: 2| time:9467
Reward is: 5.506952353886196| input type: 2| time:9528
Reward is: 5.460320275170463| input type: 2| time:9589
Reward is: 5.363031026295253| input type: 2| time:9648
Reward is: 5.064215773627871| input type: 2| time:9709
Reward is: -2| input type: 2| time:9725
Reward is: -2| input type: 2| time:9729
Reward is: -2| input type: 2| time:9733
Reward is: -2| input type: 2| time:9737
Reward is: -2| input type: 2| time:9741
Reward is: 4.98476821127392| input type: 2| time:9789
Reward is: 5.077322978065127| input type: 2| time:9849
Reward is: 5.077224436260405| input type: 2| time:9910
Reward is: 5.001961385636102| input type: 2| time:9970
Reward is: 5.09157767749968| input type: 2| time:10031
Reward is: 5.004121130988711| input type: 2| time:10091
Reward is: 5.057817422775995| input type: 2| time:10151
Reward is: 4.994451936086018| input type: 2| time:10211
Reward is: 5.024579631714594| input type: 2| time:10271
Reward is: 5.070078397932507| input type: 2| time:10332
Reward is: 5.061884530385335| input type: 2| time:10392
Reward is: 5.162397682099115| input type: 2| time:10454
Reward is: 4.911567692529587| input type: 2| time:10513
Reward is: -2| input type: 2| time:10529
Reward is: 5.053576589766003| input type: 2| time:10577
Reward is: 5.213991060711088| input type: 2| time:10640
Reward is: 5.394048009599958| input type: 2| time:10700
Reward is: 5.424918937683106| input type: 2| time:10760
Reward is: 5.4106123106820245| input type: 2| time:10820
Reward is: 5.423492349897112| input type: 2| time:10880
Reward is: 5.466494199207851| input type: 2| time:10941
Reward is: 5.980572734560285| input type: 2| time:10999
Reward is: 6.132528407233102| input type: 2| time:11060
Reward is: 6.133130284718105| input type: 2| time:11120
Reward is: 6.117352070127215| input type: 2| time:11181
Reward is: 6.276894869123186| input type: 2| time:11242
Reward is: 6.015817655835832| input type: 2| time:11302
Reward is: 6.055010523114886| input type: 2| time:11361
Reward is: 6.054476881027222| input type: 2| time:11421
Reward is: 6.11950364112854| input type: 2| time:11481
Reward is: 6.140741586685181| input type: 2| time:11541
Reward is: 6.032634033475603| input type: 2| time:11601
Reward is: -5.447892107282366| input type: 2| time:11686
Reward is: 6.09967143876212| input type: 2| time:11746
Reward is: 7.592821264266968| input type: 2| time:11806
Reward is: -2| input type: 2| time:11822
Reward is: -2| input type: 2| time:11826
Reward is: -2| input type: 2| time:11831
Reward is: -2| input type: 2| time:11835
Reward is: -2| input type: 2| time:11839
Reward is: -2| input type: 2| time:11843
Reward is: -2| input type: 2| time:11847
Reward is: -2| input type: 2| time:11852
Reward is: -2| input type: 2| time:11856
Reward is: -2| input type: 2| time:11860
Reward is: 7.693675817762102| input type: 2| time:11908
Reward is: 7.908781746455601| input type: 2| time:11971
Reward is: 7.924360363824027| input type: 2| time:12035
Reward is: 7.837515769686018| input type: 2| time:12096
Reward is: 7.874648884364537| input type: 2| time:12159
Reward is: 7.906707096099853| input type: 2| time:12221
Reward is: 7.854529251371111| input type: 2| time:12283
Reward is: -2| input type: 2| time:12299
Reward is: -2| input type: 2| time:12303
Reward is: -2| input type: 2| time:12307
Reward is: 7.937906060900007| input type: 2| time:12358
Reward is: 7.857874747685024| input type: 2| time:12420
Reward is: 7.914510229655674| input type: 2| time:12483
Reward is: 7.8736766270228795| input type: 2| time:12546
Reward is: 7.931396334511893| input type: 2| time:12609
Reward is: 7.941048567635672| input type: 2| time:12672
Reward is: -5.2082918303353445| input type: 2| time:12750
Reward is: -5.155314949580601| input type: 2| time:12825
Reward is: -5.166976846967424| input type: 2| time:12901
Reward is: -5.184804480416434| input type: 2| time:12977
Reward is: -5.200734315599714| input type: 2| time:13054
Reward is: -5.139808307375227| input type: 2| time:13129
Reward is: -2| input type: 2| time:13146
Reward is: -5.19806045123509| input type: 2| time:13211
Reward is: -5.156591708319528| input type: 2| time:13287
Reward is: -5.211140952791487| input type: 2| time:13364
Reward is: -5.194984844752721| input type: 2| time:13441
Reward is: -5.181638322557722| input type: 2| time:13517
Reward is: -5.194661433356149| input type: 2| time:13594
Reward is: -5.162273761204311| input type: 2| time:13670
Reward is: -5.1745359829493935| input type: 2| time:13746
Reward is: -5.185673618316651| input type: 2| time:13823
Reward is: -5.2121242318834575| input type: 2| time:13901
Reward is: -5.192450966153826| input type: 2| time:13978
Reward is: -5.185660764149257| input type: 2| time:14054
Reward is: -5.176133230754307| input type: 2| time:14130
Reward is: -5.1981037208012175| input type: 2| time:14207
Reward is: -5.1599965776715955| input type: 2| time:14285
Reward is: -5.19033374786377| input type: 2| time:14364
Reward is: -5.192881229945591| input type: 2| time:14442
Reward is: -5.1795917442866735| input type: 2| time:14518
Reward is: -5.167602327891759| input type: 2| time:14594
Reward is: -5.208167832238334| input type: 2| time:14672
Reward is: -5.134395572117397| input type: 2| time:14747
Reward is: -5.1358502456120085| input type: 2| time:14822
Reward is: 7.026364094870431| input type: 2| time:14881
Reward is: -5.163138696125575| input type: 2| time:14958
Reward is: -5.1976337909698485| input type: 2| time:15035
Reward is: -5.194116394860404| input type: 2| time:15111
Reward is: -5.205131013052804| input type: 2| time:15187
Reward is: -5.164989696230207| input type: 2| time:15263
Reward is: -5.208642101287841| input type: 2| time:15339
Reward is: -5.188403034210205| input type: 2| time:15416
Reward is: -5.174183068956648| input type: 2| time:15491
Reward is: -5.175986848558699| input type: 2| time:15569
Reward is: -5.215430722917829| input type: 2| time:15646
Reward is: 7.949270241601127| input type: 2| time:15715
Reward is: 7.438116530009678| input type: 2| time:15778
Reward is: 7.45132143838065| input type: 2| time:15842
Reward is: 7.5338223252977645| input type: 2| time:15905
Reward is: 7.440066541944232| input type: 2| time:15968
Reward is: 7.446187884466989| input type: 2| time:16032
Reward is: 7.4015860080719| input type: 2| time:16094
Reward is: 7.500479636873518| input type: 2| time:16160
Reward is: 7.423696320397513| input type: 2| time:16222
Reward is: 7.469695806503296| input type: 2| time:16286
Reward is: 7.444723265511649| input type: 2| time:16349
Reward is: 7.479958071027483| input type: 2| time:16412
Reward is: 7.636432688576834| input type: 2| time:16478
Reward is: 7.548324319294521| input type: 2| time:16542
Reward is: 7.54509767804827| input type: 2| time:16606
Reward is: 7.493301820755005| input type: 2| time:16669
Reward is: 7.515879031590053| input type: 2| time:16733
Reward is: 7.495084708077567| input type: 2| time:16797
Reward is: 7.468648631232126| input type: 2| time:16860
Reward is: -2| input type: 2| time:16876
Reward is: 7.559131669998169| input type: 2| time:16929
Reward is: 7.530784041540963| input type: 2| time:16993
Reward is: 7.486397354943412| input type: 2| time:17056
Reward is: 7.588230092184885| input type: 2| time:17121
Reward is: 7.504940870829991| input type: 2| time:17185
Reward is: 7.535467147827148| input type: 2| time:17249
Reward is: 7.537853710991996| input type: 2| time:17313
Reward is: 7.492857238224575| input type: 2| time:17376
Reward is: 7.473356219700404| input type: 2| time:17440
Reward is: 7.537055710383823| input type: 2| time:17504
Reward is: 7.469938952582224| input type: 2| time:17567
Reward is: 7.488832412447248| input type: 2| time:17631
Reward is: 7.456103249958583| input type: 2| time:17694
Reward is: 7.5251266343253| input type: 2| time:17758
Reward is: 7.543463318688529| input type: 2| time:17822
Reward is: 7.598565128871373| input type: 2| time:17887
Reward is: -5.096830688204085| input type: 2| time:17960
Reward is: 7.458889375414167| input type: 2| time:18025
Reward is: 7.545203556333269| input type: 2| time:18089
Reward is: 7.5269528661455425| input type: 2| time:18153
Reward is: 7.533577646527972| input type: 2| time:18217
Reward is: 7.474744735445295| input type: 2| time:18280
Reward is: 7.539817517144339| input type: 2| time:18344
Reward is: -5.129581506435688| input type: 2| time:18408
Reward is: -5.135902459804829| input type: 2| time:18472
Reward is: -5.141121772619394| input type: 2| time:18536
Reward is: -5.131867390412551| input type: 2| time:18600
Reward is: -5.1752394529489365| input type: 2| time:18665
Reward is: -5.1430249856068535| input type: 2| time:18730
Reward is: -5.116618422361521| input type: 2| time:18793
Reward is: -5.1333618347461405| input type: 2| time:18857
Reward is: -5.1421836981406575| input type: 2| time:18921
Reward is: -5.124193090658921| input type: 2| time:18985
Reward is: -5.133467857654278| input type: 2| time:19049
Reward is: -5.126033388651335| input type: 2| time:19113
Reward is: -5.128779805623568| input type: 2| time:19177
Reward is: -5.129304729975187| input type: 2| time:19241
Reward is: -5.141309132942787| input type: 2| time:19305
Reward is: -5.13997181562277| input type: 2| time:19370
Reward is: -5.127036067155691| input type: 2| time:19434
Reward is: -5.106943524800814| input type: 2| time:19498
Reward is: -5.083539843559265| input type: 2| time:19562
Reward is: -5.073526630034813| input type: 2| time:19625
Reward is: -5.060623517403236| input type: 2| time:19687
Reward is: -5.050703387994033| input type: 2| time:19749
Reward is: -5.075439205536476| input type: 2| time:19813
Reward is: -5.102435992314265| input type: 2| time:19877
Reward is: -5.076977473038894| input type: 2| time:19940
Reward is: -5.070943355560303| input type: 2| time:20003
Reward is: -5.03627282839555| input type: 2| time:20065
Reward is: -5.051433196434608| input type: 2| time:20128
Reward is: -5.053396114936241| input type: 2| time:20191
Reward is: -5.068800119253305| input type: 2| time:20253
Reward is: -5.075969732724703| input type: 2| time:20317
Reward is: -5.19270619062277| input type: 2| time:20383
Reward is: -5.204234838485718| input type: 2| time:20449
Reward is: -5.185924429159898| input type: 2| time:20515
Reward is: -5.208891336734478| input type: 2| time:20582
Reward is: -5.080257993478042| input type: 2| time:20645
Reward is: -5.090192162073576| input type: 2| time:20708
Reward is: -5.12765868810507| input type: 2| time:20773
Reward is: -5.091035045110262| input type: 2| time:20836
Reward is: -5.099698781967163| input type: 2| time:20900
Reward is: -5.135290356782766| input type: 2| time:20965
Reward is: -5.1824727058410645| input type: 2| time:21031
Reward is: -5.130496208484356| input type: 2| time:21095
Reward is: -5.134485483169556| input type: 2| time:21160
Reward is: -5.2652764320373535| input type: 2| time:21228
Reward is: -5.117221318758451| input type: 2| time:21293
Reward is: -5.166883642856892| input type: 2| time:21359
Reward is: -5.149802244626558| input type: 2| time:21424
Reward is: -5.146182628778311| input type: 2| time:21490
Reward is: 8.386352685781626| input type: 2| time:21550
Reward is: 8.267506590256325| input type: 2| time:21609
Reward is: 8.355422606834999| input type: 2| time:21669
Reward is: -5.00269156235915| input type: 2| time:21731
Reward is: -5.147138925699087| input type: 2| time:21795
Reward is: -5.098827041112459| input type: 2| time:21859
Reward is: -5.098186217821562| input type: 2| time:21923
Reward is: -5.084682959776658| input type: 2| time:21986
Reward is: -5.151712243373577| input type: 2| time:22051
Reward is: -5.10149099276616| input type: 2| time:22115
Reward is: -5.121415110734793| input type: 2| time:22179
Reward is: -5.107826746427095| input type: 2| time:22243
Reward is: -5.085187911987305| input type: 2| time:22306
Reward is: -5.088307958382827| input type: 2| time:22370
Reward is: -5.0517600407967205| input type: 2| time:22432
Reward is: -5.092011314172011| input type: 2| time:22496
Reward is: -5.063544108317449| input type: 2| time:22558
Reward is: -5.08270969757667| input type: 2| time:22622
Reward is: -5.0890087989660415| input type: 2| time:22685
Reward is: -5.095777429067171| input type: 2| time:22749
Reward is: -5.061407767809355| input type: 2| time:22811
Reward is: -5.0740572305826035| input type: 2| time:22874
Reward is: -5.075010868219229| input type: 2| time:22938
Reward is: -5.0682514539131756| input type: 2| time:23001
Reward is: -5.126754604853117| input type: 2| time:23065
Reward is: -5.0732888625218315| input type: 2| time:23128
Reward is: -5.062790155410767| input type: 2| time:23191
Reward is: -5.074555782171396| input type: 2| time:23254
Reward is: -5.170086823976957| input type: 2| time:23319
Reward is: -5.251464596161476| input type: 2| time:23387
Reward is: -5.243977840130146| input type: 2| time:23454
Reward is: -5.250643950242263| input type: 2| time:23522
Reward is: 6.7912070439412044| input type: 2| time:23583
Reward is: 5.107178785250737| input type: 2| time:23628
Reward is: 6.755264315238366| input type: 2| time:23688
Reward is: 6.51996525984544| input type: 2| time:23746
Reward is: 6.790348929625291| input type: 2| time:23806
Reward is: -5.022952960087703| input type: 2| time:23867
Reward is: 6.773926465327923| input type: 2| time:23927
Reward is: 6.670950491611775| input type: 2| time:23986
Reward is: -5.037086165868319| input type: 2| time:24048
Reward is: 6.650606390146109| input type: 2| time:24107
Reward is: 6.715798154244056| input type: 2| time:24167
Reward is: 6.703940066924462| input type: 2| time:24227
Reward is: -5.02636614212623| input type: 2| time:24288
Reward is: 6.75569965839386| input type: 2| time:24348
Reward is: 6.791419970072233| input type: 2| time:24408
Reward is: 6.758193920208857| input type: 2| time:24468
Reward is: 6.721571120849022| input type: 2| time:24528
Reward is: 8.425148844718933| input type: 2| time:24604
Reward is: 8.362841431911175| input type: 2| time:24664
Reward is: 8.408786131785465| input type: 2| time:24725
Reward is: -5.052330961594215| input type: 2| time:24787
Reward is: 8.326296925544739| input type: 2| time:24847
Reward is: 8.284920454025269| input type: 2| time:24906
Reward is: 8.358313863094036| input type: 2| time:24966
