Reward is: -5.584961175918579| input type: 2| time:80
Reward is: -5.239431717816521| input type: 2| time:136
Reward is: 5.542589752197266| input type: 2| time:194
Reward is: -5.30597697987276| input type: 2| time:253
Reward is: 3.630023125535953| input type: 2| time:309
Reward is: 3.7292138167790005| input type: 2| time:367
Reward is: 3.314176097052438| input type: 2| time:427
Reward is: 4.9068323825457085| input type: 2| time:501
Reward is: -6| input type: 2| time:572
Reward is: 3.8866397110995905| input type: 2| time:630
Reward is: 3.366426726659139| input type: 2| time:687
Reward is: -2| input type: 2| time:704
Reward is: 5.130674765891388| input type: 2| time:748
Reward is: 5.611808411456676| input type: 2| time:813
Reward is: 6.9456485458042305| input type: 2| time:897
Reward is: 5.780158386230469| input type: 2| time:965
Reward is: 5.935902882548212| input type: 2| time:1032
Reward is: 6.293140644073486| input type: 2| time:1101
Reward is: 7.754014535903931| input type: 2| time:1167
Reward is: -2| input type: 2| time:1183
Reward is: 7.7435514373779295| input type: 2| time:1237
Reward is: 6.915626204532126| input type: 2| time:1304
Reward is: 9.86925348113565| input type: 2| time:1372
Reward is: -2| input type: 2| time:1388
Reward is: -2| input type: 2| time:1392
Reward is: -5.411319466198192| input type: 2| time:1439
Reward is: 6.04663109588623| input type: 2| time:1497
Reward is: 7.7220211009979245| input type: 2| time:1561
Reward is: 6.855620622634888| input type: 2| time:1627
Reward is: 6.243746198654175| input type: 2| time:1693
Reward is: -5.069362023297478| input type: 2| time:1764
Reward is: 5.857037551879883| input type: 2| time:1835
Reward is: 6.56759702641031| input type: 2| time:1906
Reward is: 5.877241849899292| input type: 2| time:1977
Reward is: 5.910804012298584| input type: 2| time:2050
Reward is: -6| input type: 2| time:2122
Reward is: 6.366361654281616| input type: 2| time:2193
Reward is: -6| input type: 2| time:2264
Reward is: 6.612070078988677| input type: 2| time:2337
Reward is: 7.196957370509272| input type: 2| time:2410
Reward is: -6| input type: 2| time:2484
Reward is: 6.3516416797637945| input type: 2| time:2554
Reward is: 6.031878445912334| input type: 2| time:2625
Reward is: 4.285288637161255| input type: 2| time:2696
Reward is: -2| input type: 2| time:2729
Reward is: -2| input type: 2| time:2736
Reward is: 4.30056587600708| input type: 2| time:2796
Reward is: 4.9302494194196615| input type: 2| time:2866
Reward is: -6| input type: 2| time:2954
Reward is: -5.109679102897644| input type: 2| time:3027
Reward is: 6.624111921890922| input type: 2| time:3099
Reward is: -6| input type: 2| time:3172
Reward is: 6.597068983575572| input type: 2| time:3244
Reward is: 6.051935730628597| input type: 2| time:3314
Reward is: 6.6075059745622715| input type: 2| time:3386
Reward is: 6.6124764629032295| input type: 2| time:3459
Reward is: 5.878467054367065| input type: 2| time:3530
Reward is: 6.602754427039105| input type: 2| time:3602
Reward is: -6| input type: 2| time:3675
Reward is: 5.845897174835205| input type: 2| time:3745
Reward is: 6.3827805328369145| input type: 2| time:3817
Reward is: 7.104645086371381| input type: 2| time:3889
Reward is: -5.101415451835184| input type: 2| time:3961
Reward is: 6.576735223381265| input type: 2| time:4033
Reward is: 6.4190751953125| input type: 2| time:4106
Reward is: 6.400286056518555| input type: 2| time:4179
Reward is: 6.387201305389405| input type: 2| time:4251
Reward is: 6.623374258430259| input type: 2| time:4324
Reward is: 6.403733497619629| input type: 2| time:4397
Reward is: 7.193333833113961| input type: 2| time:4471
Reward is: 7.225589130235755| input type: 2| time:4546
Reward is: -5.128814907634959| input type: 2| time:4621
