Time quotient is: 1.584961175918579| input type: 2| time:80
Time quotient is: 1.239431717816521| input type: 2| time:136
Time quotient is: 0.18086325073242188| input type: 2| time:194
Time quotient is: 1.3059769798727596| input type: 2| time:253
Time quotient is: 0.3052458037500796| input type: 2| time:309
Time quotient is: 0.338309367497762| input type: 2| time:367
Time quotient is: 0.1999634609222412| input type: 2| time:427
Time quotient is: 0.5641822227533313| input type: 2| time:501
Time quotient is: 2.1407048561993767| input type: 2| time:572
Time quotient is: 0.22411799893795864| input type: 2| time:630
Time quotient is: 0.17769779777526856| input type: 2| time:687
Time quotient is: 0.6387963505352244| input type: 2| time:748
Time quotient is: 0.2991742323903204| input type: 2| time:813
Time quotient is: 0.48188284860141034| input type: 2| time:897
Time quotient is: 0.26005279541015625| input type: 2| time:965
Time quotient is: 0.3119676275160706| input type: 2| time:1032
Time quotient is: 0.26438021469116213| input type: 2| time:1101
Time quotient is: 0.2513381786346435| input type: 2| time:1167
Time quotient is: 0.24785047912597657| input type: 2| time:1237
Time quotient is: 0.47187540151070856| input type: 2| time:1304
Time quotient is: 0.9564178270452163| input type: 2| time:1372
Time quotient is: 1.4113194661981918| input type: 2| time:1439
Time quotient is: 0.18221036529541015| input type: 2| time:1497
Time quotient is: 0.2406737003326416| input type: 2| time:1561
Time quotient is: 0.4518735408782959| input type: 2| time:1627
Time quotient is: 0.2479153995513916| input type: 2| time:1693
Time quotient is: 1.069362023297478| input type: 2| time:1764
Time quotient is: 0.28567918395996095| input type: 2| time:1835
Time quotient is: 0.52253234213677| input type: 2| time:1906
Time quotient is: 0.29241394996643066| input type: 2| time:1977
Time quotient is: 0.30360133743286133| input type: 2| time:2050
Time quotient is: 2.1612329062293556| input type: 2| time:2122
Time quotient is: 0.2887872180938721| input type: 2| time:2193
Time quotient is: 2.147320537006154| input type: 2| time:2264
Time quotient is: 0.37069002632955905| input type: 2| time:2337
Time quotient is: 0.5656524568364241| input type: 2| time:2410
Time quotient is: 2.2494408944073845| input type: 2| time:2484
Time quotient is: 0.28388055992126465| input type: 2| time:2554
Time quotient is: 0.3439594819707778| input type: 2| time:2625
Time quotient is: 0.29509621238708494| input type: 2| time:2696
Time quotient is: 0.30018862533569335| input type: 2| time:2796
Time quotient is: 0.510083139806554| input type: 2| time:2866
Time quotient is: 2.204257039462819| input type: 2| time:2954
Time quotient is: 1.109679102897644| input type: 2| time:3027
Time quotient is: 0.5413706406303074| input type: 2| time:3099
Time quotient is: 2.2045334507437313| input type: 2| time:3172
Time quotient is: 0.532356327858524| input type: 2| time:3244
Time quotient is: 0.35064524354286564| input type: 2| time:3314
Time quotient is: 0.5358353248540906| input type: 2| time:3386
Time quotient is: 0.5374921543010767| input type: 2| time:3459
Time quotient is: 0.29282235145568847| input type: 2| time:3530
Time quotient is: 0.5342514756797017| input type: 2| time:3602
Time quotient is: 2.213895797729492| input type: 2| time:3675
Time quotient is: 0.2819657249450684| input type: 2| time:3745
Time quotient is: 0.29426017761230466| input type: 2| time:3817
Time quotient is: 0.5348816954571268| input type: 2| time:3889
Time quotient is: 1.1014154518351835| input type: 2| time:3961
Time quotient is: 0.35891174112708824| input type: 2| time:4033
Time quotient is: 0.3063583984375| input type: 2| time:4106
Time quotient is: 0.30009535217285155| input type: 2| time:4179
Time quotient is: 0.29573376846313476| input type: 2| time:4251
Time quotient is: 0.3744580861434196| input type: 2| time:4324
Time quotient is: 0.30124449920654295| input type: 2| time:4397
Time quotient is: 0.5644446110379868| input type: 2| time:4471
Time quotient is: 0.5751963767452516| input type: 2| time:4546
Time quotient is: 1.1288149076349594| input type: 2| time:4621
Time quotient is: 0.2871710681915283| input type: 2| time:4692
Time quotient is: 0.28510555267333987| input type: 2| time:4763
Time quotient is: 0.2830426559448242| input type: 2| time:4833
Time quotient is: 0.3478958097476404| input type: 2| time:4903
Time quotient is: 0.5242669202279353| input type: 2| time:4974
Time quotient is: 0.2485828857421875| input type: 2| time:5040
Time quotient is: 0.24244241714477538| input type: 2| time:5106
Time quotient is: 1.8526857740738814| input type: 2| time:5172
Time quotient is: 0.9449826198465684| input type: 2| time:5239
Time quotient is: 0.32553863756864976| input type: 2| time:5307
Time quotient is: 0.2617044544219971| input type: 2| time:5375
Time quotient is: 0.2547292194366455| input type: 2| time:5442
Time quotient is: 0.24141046333312988| input type: 2| time:5507
Time quotient is: 0.9102937123354744| input type: 2| time:5573
Time quotient is: 0.8893978876226089| input type: 2| time:5637
Time quotient is: 1.7858270897584803| input type: 2| time:5702
Time quotient is: 0.25901599311828616| input type: 2| time:5770
Time quotient is: 1.7687542718999527| input type: 2| time:5834
Time quotient is: 1.8039876152487362| input type: 2| time:5900
Time quotient is: 0.4689193566640218| input type: 2| time:5967
Time quotient is: 0.1730771255493164| input type: 2| time:6024
Time quotient is: 1.2800850727978874| input type: 2| time:6080
Time quotient is: 0.21024267650344997| input type: 2| time:6137
Time quotient is: 0.18279929733276368| input type: 2| time:6194
Time quotient is: 0.19244153976440428| input type: 2| time:6253
Time quotient is: 0.18501371574401856| input type: 2| time:6311
